academicsubjectdescriptorid,assessmentidentifier,namespace,createdate
"31","ACT English","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.085886"
"41","ACT Science","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.085569"
"35","ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.085568"
"32","ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.085555"
"43","ACT Writing","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.114410"
"37","ae049cb3-33d0-431f-b0f3-a751df7217ef","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.129917"
"37","39576404-04d2-4c06-a0e7-e2cb27968d01","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.129896"
"37","f3115910-9d0d-451c-b94f-e617657660f9","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.129921"
"37","f4863c33-6df0-41eb-9501-5ef2e46216c3","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.134981"
"34","01774fa3-06f1-47fe-8801-c8b1e65057f2","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.151744"
"34","3e0e2cac-847b-4ddd-93ec-925826552447","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.151806"
"34","19bcfe00-9c75-4d4f-ac2c-706e7479070f","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.154006"
"34","d128cfa6-b3df-430c-b671-c76d9822417d","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.156243"
"34","1a6a5d20-4758-4f45-848d-59f3f03ae425","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.168130"
"34","97e16cba-5fb0-438b-be0e-7f7fb6b591dc","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.168509"
"35","SAT Critical Reading","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.186221"
"43","SAT Writing","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.189876"
"37","SAT Mathematics","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.190086"
"37","MP-2013-Mathematics-Seventh grade","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.194426"
"37","SA-2011-Mathematics-Eighth grade","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.210737"
"37","SA-2011-Mathematics-Fifth grade","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.210814"
"35","SA-2011-Reading-Eighth grade","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.214260"
"35","SA-2011-Reading-Fifth grade","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.215137"
