assessmentidentifier,gradeleveldescriptorid,namespace,createdate
"ACT English","959","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.086733"
"ACT Composite","959","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.087030"
"ACT Science","959","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.086742"
"f3115910-9d0d-451c-b94f-e617657660f9","958","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.130396"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","958","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.130375"
"f4863c33-6df0-41eb-9501-5ef2e46216c3","958","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.135415"
"01774fa3-06f1-47fe-8801-c8b1e65057f2","958","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.152175"
"3e0e2cac-847b-4ddd-93ec-925826552447","958","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.152361"
"19bcfe00-9c75-4d4f-ac2c-706e7479070f","958","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.154450"
"97e16cba-5fb0-438b-be0e-7f7fb6b591dc","958","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.168954"
"SAT Critical Reading","959","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.186669"
"SAT Writing","959","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.190316"
"SAT Mathematics","959","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.190578"
"SA-2011-Mathematics-Fifth grade","944","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.211639"
"SA-2011-Reading-Eighth grade","943","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.214980"
"SA-2011-Reading-Fifth grade","944","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.215798"
"ACT Reading","959","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.086736"
"ACT Writing","959","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.114915"
"39576404-04d2-4c06-a0e7-e2cb27968d01","958","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.130398"
"d128cfa6-b3df-430c-b671-c76d9822417d","958","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.156759"
"1a6a5d20-4758-4f45-848d-59f3f03ae425","958","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.168563"
"MP-2013-Mathematics-Seventh grade","954","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.195486"
"SA-2011-Mathematics-Eighth grade","943","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:14.211142"
