assessmentidentifier,namespace,title,version,uri,publicationdate,publicationyear,publicationstatusdescriptorid,mandatingeducationorganizationid,begindate,enddate,createdate
"ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","ACT",,,,,,,,,"2020-11-13 14:16:14.085213"
"ACT Science","uri://ed-fi.org/Assessment/Assessment.xml","ACT",,,,,,,,,"2020-11-13 14:16:14.085142"
"ACT Writing","uri://ed-fi.org/Assessment/Assessment.xml","ACT",,,,,,,,,"2020-11-13 14:16:14.114317"
"39576404-04d2-4c06-a0e7-e2cb27968d01","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,,,,,,"2020-11-13 14:16:14.129845"
"f3115910-9d0d-451c-b94f-e617657660f9","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,,,,,,"2020-11-13 14:16:14.129877"
"01774fa3-06f1-47fe-8801-c8b1e65057f2","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,,,,,,"2020-11-13 14:16:14.151697"
"d128cfa6-b3df-430c-b671-c76d9822417d","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,,,,,,"2020-11-13 14:16:14.156195"
"1a6a5d20-4758-4f45-848d-59f3f03ae425","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,,,,,,"2020-11-13 14:16:14.167988"
"97e16cba-5fb0-438b-be0e-7f7fb6b591dc","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,,,,,,"2020-11-13 14:16:14.168459"
"SAT Critical Reading","uri://ed-fi.org/Assessment/Assessment.xml","SAT",,,,,,,,,"2020-11-13 14:16:14.186164"
"SA-2011-Mathematics-Eighth grade","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,"2011",,,,,"2020-11-13 14:16:14.210248"
"SA-2011-Reading-Fifth grade","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,"2011",,,,,"2020-11-13 14:16:14.214670"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","ACT",,,,,,,,,"2020-11-13 14:16:14.085162"
"f4863c33-6df0-41eb-9501-5ef2e46216c3","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,,,,,,"2020-11-13 14:16:14.134905"
"3e0e2cac-847b-4ddd-93ec-925826552447","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,,,,,,"2020-11-13 14:16:14.151751"
"SAT Mathematics","uri://ed-fi.org/Assessment/Assessment.xml","SAT",,,,,,,,,"2020-11-13 14:16:14.190044"
"SA-2011-Mathematics-Fifth grade","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,"2011",,,,,"2020-11-13 14:16:14.210273"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","ACT",,,,,,,,,"2020-11-13 14:16:14.085244"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,,,,,,"2020-11-13 14:16:14.129875"
"19bcfe00-9c75-4d4f-ac2c-706e7479070f","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,,,,,,"2020-11-13 14:16:14.153970"
"SAT Writing","uri://ed-fi.org/Assessment/Assessment.xml","SAT",,,,,,,,,"2020-11-13 14:16:14.189838"
"SA-2011-Reading-Eighth grade","uri://ed-fi.org/Assessment/Assessment.xml","State Essential Knowledge and Skills",,,,"2011",,,,,"2020-11-13 14:16:14.213757"
