assessmentidentifier,identificationcode,namespace,assessmentitemcategorydescriptorid,maxrawscore,itemtext,correctresponse,expectedtimeassessed,nomenclature,assessmentitemuri,discriminator,createdate,lastmodifieddate,id,changeversion
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848478","uri://ed-fi.org/Assessment/Assessment.xml","164","1.00000",,,,,,"NULL","2020-11-13 14:16:17.273474","2020-11-13 14:16:17.268194","51f981e5-c2c7-4004-b71d-b74d06a8ac4b","13343"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848481","uri://ed-fi.org/Assessment/Assessment.xml","164","1.00000",,,,,,"NULL","2020-11-13 14:16:17.273990","2020-11-13 14:16:17.268191","e0a5b441-be87-4a5e-a323-b3726c156591","13344"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848484","uri://ed-fi.org/Assessment/Assessment.xml","164","1.00000",,,,,,"NULL","2020-11-13 14:16:17.274807","2020-11-13 14:16:17.268190","10a5131c-c88f-4c02-aae8-90e6d53f5df3","13345"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848480","uri://ed-fi.org/Assessment/Assessment.xml","164","1.00000",,,,,,"NULL","2020-11-13 14:16:17.273472","2020-11-13 14:16:17.268191","368b6883-ccd5-4762-97bd-ff5047f5a5fb","13346"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848486","uri://ed-fi.org/Assessment/Assessment.xml","164","1.00000",,,,,,"NULL","2020-11-13 14:16:17.295198","2020-11-13 14:16:17.294755","64c61c48-e4d0-4d38-8a15-dfbb8ed01212","13347"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848487","uri://ed-fi.org/Assessment/Assessment.xml","164","1.00000",,,,,,"NULL","2020-11-13 14:16:17.295849","2020-11-13 14:16:17.295753","99cfb7b2-d904-494a-8ab5-1ce96147ef79","13348"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848489","uri://ed-fi.org/Assessment/Assessment.xml","164","1.00000",,,,,,"NULL","2020-11-13 14:16:17.296031","2020-11-13 14:16:17.295447","af062349-9bd1-4042-8c5e-1c3887501d3a","13349"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848488","uri://ed-fi.org/Assessment/Assessment.xml","164","1.00000",,,,,,"NULL","2020-11-13 14:16:17.297364","2020-11-13 14:16:17.297215","78bf9e5b-554d-42b4-b471-8dce115b3de4","13350"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848490","uri://ed-fi.org/Assessment/Assessment.xml","164","1.00000",,,,,,"NULL","2020-11-13 14:16:17.303429","2020-11-13 14:16:17.302456","2d045d70-dc0f-4faf-8e38-0008f12056ca","13351"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848491","uri://ed-fi.org/Assessment/Assessment.xml","164","1.00000",,,,,,"NULL","2020-11-13 14:16:17.303586","2020-11-13 14:16:17.303282","a3d78951-0794-4726-921e-55e8bae6aa79","13352"
