assessmentidentifier,identificationcode,learningstandardid,namespace,createdate
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848478","111.15.3.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.275980"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848481","111.15.3.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.275954"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848484","111.15.3.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.281434"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848484","111.15.3.15.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.281474"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848480","111.15.3.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.282783"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848486","111.15.3.10.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.296226"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848487","111.15.3.10.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.296956"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848489","111.15.3.1.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.297067"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848489","111.15.3.14.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.297088"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848488","111.15.3.1.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.298350"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848488","111.15.3.14.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.298393"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848490","111.15.3.1.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.304608"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848491","111.15.3.1.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.304739"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848491","111.15.3.14.C","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.304779"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848492","111.15.3.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.305356"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848492","111.15.3.15.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.305392"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848493","111.15.3.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.309759"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848493","111.15.3.14.D","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.309797"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848495","111.15.3.1.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.313034"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9850632","111.15.3.5.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.313204"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848495","111.15.3.14.C","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.313072"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9850728","111.15.3.5.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.314325"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9850932","111.15.3.15.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.321203"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9850932","111.15.3.3.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.321275"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9851446","111.15.3.5.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.322013"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9851566","111.15.3.5.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.323588"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9851332","111.15.3.5.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.325275"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9851990","111.15.3.3.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.329860"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9852162","111.15.3.3.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.330761"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9852312","111.15.3.3.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.330968"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9852692","111.15.3.10.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.336001"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9852854","111.15.3.1.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.337554"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9856666","111.15.3.1.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.339013"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9856666","111.15.3.14.C","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.339048"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9872514","111.15.3.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.340303"
"f3115910-9d0d-451c-b94f-e617657660f9","10850873","111.15.3.3.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.343826"
"f3115910-9d0d-451c-b94f-e617657660f9","10850875","111.15.3.13.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.345214"
"f3115910-9d0d-451c-b94f-e617657660f9","10850875","111.15.3.15.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.345253"
"f3115910-9d0d-451c-b94f-e617657660f9","10850876","111.15.3.13.B","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.346877"
"f3115910-9d0d-451c-b94f-e617657660f9","10850876","111.15.3.14.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:17.346916"
