assessmentidentifier,identificationcode,namespace,responsevalue,responsedescription,correctresponse,createdate
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848481","uri://ed-fi.org/Assessment/Assessment.xml","D",,"true","2020-11-13 14:16:17.281107"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848478","uri://ed-fi.org/Assessment/Assessment.xml","A",,"true","2020-11-13 14:16:17.281062"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848484","uri://ed-fi.org/Assessment/Assessment.xml","D",,"true","2020-11-13 14:16:17.281485"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848480","uri://ed-fi.org/Assessment/Assessment.xml","C",,"true","2020-11-13 14:16:17.282924"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848486","uri://ed-fi.org/Assessment/Assessment.xml","C",,"true","2020-11-13 14:16:17.296278"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848487","uri://ed-fi.org/Assessment/Assessment.xml","B",,"true","2020-11-13 14:16:17.296982"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848489","uri://ed-fi.org/Assessment/Assessment.xml","D",,"true","2020-11-13 14:16:17.297096"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848488","uri://ed-fi.org/Assessment/Assessment.xml","B",,"true","2020-11-13 14:16:17.298430"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848490","uri://ed-fi.org/Assessment/Assessment.xml","A",,"true","2020-11-13 14:16:17.304634"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848491","uri://ed-fi.org/Assessment/Assessment.xml","D",,"true","2020-11-13 14:16:17.304790"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848492","uri://ed-fi.org/Assessment/Assessment.xml","B",,"true","2020-11-13 14:16:17.305400"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848493","uri://ed-fi.org/Assessment/Assessment.xml","C",,"true","2020-11-13 14:16:17.309807"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848495","uri://ed-fi.org/Assessment/Assessment.xml","C",,"true","2020-11-13 14:16:17.313080"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9850632","uri://ed-fi.org/Assessment/Assessment.xml","A",,"true","2020-11-13 14:16:17.313242"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9850728","uri://ed-fi.org/Assessment/Assessment.xml","B",,"true","2020-11-13 14:16:17.314396"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9850932","uri://ed-fi.org/Assessment/Assessment.xml","D",,"true","2020-11-13 14:16:17.321286"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9851446","uri://ed-fi.org/Assessment/Assessment.xml","D",,"true","2020-11-13 14:16:17.322050"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9851566","uri://ed-fi.org/Assessment/Assessment.xml","C",,"true","2020-11-13 14:16:17.323636"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9851332","uri://ed-fi.org/Assessment/Assessment.xml","C",,"true","2020-11-13 14:16:17.325317"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9851990","uri://ed-fi.org/Assessment/Assessment.xml","A",,"true","2020-11-13 14:16:17.329897"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9852162","uri://ed-fi.org/Assessment/Assessment.xml","D",,"true","2020-11-13 14:16:17.330843"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9852312","uri://ed-fi.org/Assessment/Assessment.xml","B",,"true","2020-11-13 14:16:17.331008"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9852692","uri://ed-fi.org/Assessment/Assessment.xml","A",,"true","2020-11-13 14:16:17.336042"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9852854","uri://ed-fi.org/Assessment/Assessment.xml","C",,"true","2020-11-13 14:16:17.337636"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9856666","uri://ed-fi.org/Assessment/Assessment.xml","A",,"true","2020-11-13 14:16:17.339060"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9872514","uri://ed-fi.org/Assessment/Assessment.xml","A",,"true","2020-11-13 14:16:17.340340"
"f3115910-9d0d-451c-b94f-e617657660f9","10850873","uri://ed-fi.org/Assessment/Assessment.xml","B",,"true","2020-11-13 14:16:17.343859"
"f3115910-9d0d-451c-b94f-e617657660f9","10850875","uri://ed-fi.org/Assessment/Assessment.xml","A",,"true","2020-11-13 14:16:17.345262"
"f3115910-9d0d-451c-b94f-e617657660f9","10850876","uri://ed-fi.org/Assessment/Assessment.xml","H",,"true","2020-11-13 14:16:17.346927"
"f3115910-9d0d-451c-b94f-e617657660f9","10850883","uri://ed-fi.org/Assessment/Assessment.xml","G",,"true","2020-11-13 14:16:17.349462"
"f3115910-9d0d-451c-b94f-e617657660f9","10850884","uri://ed-fi.org/Assessment/Assessment.xml","A",,"true","2020-11-13 14:16:17.351845"
"f3115910-9d0d-451c-b94f-e617657660f9","10850885","uri://ed-fi.org/Assessment/Assessment.xml","G",,"true","2020-11-13 14:16:17.353090"
"f3115910-9d0d-451c-b94f-e617657660f9","10850887","uri://ed-fi.org/Assessment/Assessment.xml","C",,"true","2020-11-13 14:16:17.358148"
"f3115910-9d0d-451c-b94f-e617657660f9","10850888","uri://ed-fi.org/Assessment/Assessment.xml","J",,"true","2020-11-13 14:16:17.359240"
