assessmentidentifier,namespace,platformtypedescriptorid,createdate
"ACT Science","uri://ed-fi.org/Assessment/Assessment.xml","1739","2020-11-13 14:16:14.090808"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","1739","2020-11-13 14:16:14.090890"
"ACT Science","uri://ed-fi.org/Assessment/Assessment.xml","1738","2020-11-13 14:16:14.091786"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","1738","2020-11-13 14:16:14.091803"
"SAT Critical Reading","uri://ed-fi.org/Assessment/Assessment.xml","1739","2020-11-13 14:16:14.188233"
"SAT Critical Reading","uri://ed-fi.org/Assessment/Assessment.xml","1738","2020-11-13 14:16:14.188819"
"SAT Writing","uri://ed-fi.org/Assessment/Assessment.xml","1739","2020-11-13 14:16:14.191571"
"SAT Writing","uri://ed-fi.org/Assessment/Assessment.xml","1738","2020-11-13 14:16:14.192116"
"ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","1739","2020-11-13 14:16:14.090292"
"ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","1738","2020-11-13 14:16:14.092267"
"ACT Writing","uri://ed-fi.org/Assessment/Assessment.xml","1739","2020-11-13 14:16:14.116343"
"ACT Writing","uri://ed-fi.org/Assessment/Assessment.xml","1738","2020-11-13 14:16:14.116926"
"MP-2013-Mathematics-Seventh grade","uri://ed-fi.org/Assessment/Assessment.xml","1739","2020-11-13 14:16:14.196915"
"MP-2013-Mathematics-Seventh grade","uri://ed-fi.org/Assessment/Assessment.xml","1738","2020-11-13 14:16:14.198146"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","1739","2020-11-13 14:16:14.090295"
"ACT English","uri://ed-fi.org/Assessment/Assessment.xml","1738","2020-11-13 14:16:14.091790"
"SAT Mathematics","uri://ed-fi.org/Assessment/Assessment.xml","1739","2020-11-13 14:16:14.192084"
"SAT Mathematics","uri://ed-fi.org/Assessment/Assessment.xml","1738","2020-11-13 14:16:14.192674"
