assessmentidentifier,assessmentreportingmethoddescriptorid,namespace,minimumscore,maximumscore,resultdatatypetypedescriptorid,createdate
"ACT Science","213","uri://ed-fi.org/Assessment/Assessment.xml","1","36","2012","2020-11-13 14:16:14.091800"
"ACT Reading","213","uri://ed-fi.org/Assessment/Assessment.xml","1","36","2012","2020-11-13 14:16:14.092287"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","1","36","2012","2020-11-13 14:16:14.091820"
"ACT English","213","uri://ed-fi.org/Assessment/Assessment.xml","1","36","2012","2020-11-13 14:16:14.091805"
"ACT Writing","213","uri://ed-fi.org/Assessment/Assessment.xml","2","12","2012","2020-11-13 14:16:14.116980"
"39576404-04d2-4c06-a0e7-e2cb27968d01","214","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:14.132141"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","214","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:14.132118"
"f3115910-9d0d-451c-b94f-e617657660f9","214","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:14.132130"
"f4863c33-6df0-41eb-9501-5ef2e46216c3","214","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:14.137206"
"01774fa3-06f1-47fe-8801-c8b1e65057f2","214","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:14.153775"
"3e0e2cac-847b-4ddd-93ec-925826552447","214","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:14.153851"
"19bcfe00-9c75-4d4f-ac2c-706e7479070f","214","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:14.155807"
"d128cfa6-b3df-430c-b671-c76d9822417d","214","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:14.158910"
"1a6a5d20-4758-4f45-848d-59f3f03ae425","214","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:14.169971"
"97e16cba-5fb0-438b-be0e-7f7fb6b591dc","214","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:14.170221"
"SAT Critical Reading","229","uri://ed-fi.org/Assessment/Assessment.xml","1","100","2012","2020-11-13 14:16:14.188834"
"SAT Critical Reading","214","uri://ed-fi.org/Assessment/Assessment.xml","200","800","2012","2020-11-13 14:16:14.189481"
"SAT Critical Reading","230","uri://ed-fi.org/Assessment/Assessment.xml","1","100","2012","2020-11-13 14:16:14.189496"
"SAT Writing","229","uri://ed-fi.org/Assessment/Assessment.xml","1","100","2012","2020-11-13 14:16:14.192127"
"SAT Writing","214","uri://ed-fi.org/Assessment/Assessment.xml","2","8","2012","2020-11-13 14:16:14.192751"
"SAT Writing","230","uri://ed-fi.org/Assessment/Assessment.xml","1","100","2012","2020-11-13 14:16:14.192762"
"SAT Mathematics","229","uri://ed-fi.org/Assessment/Assessment.xml","1","100","2012","2020-11-13 14:16:14.192688"
"SAT Mathematics","214","uri://ed-fi.org/Assessment/Assessment.xml","200","800","2012","2020-11-13 14:16:14.193275"
"SAT Mathematics","230","uri://ed-fi.org/Assessment/Assessment.xml","1","100","2012","2020-11-13 14:16:14.193289"
"MP-2013-Mathematics-Seventh grade","214","uri://ed-fi.org/Assessment/Assessment.xml","0","25.5","2011","2020-11-13 14:16:14.198160"
"SA-2011-Mathematics-Eighth grade","214","uri://ed-fi.org/Assessment/Assessment.xml","0","50","2012","2020-11-13 14:16:14.212671"
"SA-2011-Mathematics-Eighth grade","221","uri://ed-fi.org/Assessment/Assessment.xml","100","950","2012","2020-11-13 14:16:14.213761"
"SA-2011-Mathematics-Fifth grade","214","uri://ed-fi.org/Assessment/Assessment.xml","0","44","2012","2020-11-13 14:16:14.213259"
"SA-2011-Mathematics-Fifth grade","221","uri://ed-fi.org/Assessment/Assessment.xml","100","875","2012","2020-11-13 14:16:14.214489"
"SA-2011-Reading-Eighth grade","227","uri://ed-fi.org/Assessment/Assessment.xml","849","1700","2012","2020-11-13 14:16:14.216718"
"SA-2011-Reading-Eighth grade","214","uri://ed-fi.org/Assessment/Assessment.xml","0","48","2012","2020-11-13 14:16:14.217782"
"SA-2011-Reading-Eighth grade","221","uri://ed-fi.org/Assessment/Assessment.xml","100","950","2012","2020-11-13 14:16:14.217796"
"SA-2011-Reading-Fifth grade","227","uri://ed-fi.org/Assessment/Assessment.xml","549","1700","2012","2020-11-13 14:16:14.217283"
"SA-2011-Reading-Fifth grade","214","uri://ed-fi.org/Assessment/Assessment.xml","0","42","2012","2020-11-13 14:16:14.218405"
"SA-2011-Reading-Fifth grade","221","uri://ed-fi.org/Assessment/Assessment.xml","100","875","2012","2020-11-13 14:16:14.218420"
