bellschedulename,classperiodname,schoolid,createdate
"Normal Schedule","01 - Traditional","255901107","2020-11-13 14:16:07.621690"
"Normal Schedule","01 - Traditional","255901044","2020-11-13 14:16:07.622390"
"Normal Schedule","01 - Traditional","255901001","2020-11-13 14:16:07.622496"
"Normal Schedule","02 - Traditional","255901107","2020-11-13 14:16:07.621971"
"Normal Schedule","02 - Traditional","255901001","2020-11-13 14:16:07.622518"
"Normal Schedule","02 - Traditional","255901044","2020-11-13 14:16:07.622431"
"Normal Schedule","03 - Traditional","255901107","2020-11-13 14:16:07.621989"
"Normal Schedule","03 - Traditional","255901001","2020-11-13 14:16:07.622526"
"Normal Schedule","03 - Traditional","255901044","2020-11-13 14:16:07.622475"
"Normal Schedule","04 - Traditional","255901107","2020-11-13 14:16:07.621997"
"Normal Schedule","04 - Traditional","255901044","2020-11-13 14:16:07.622512"
"Normal Schedule","05 - Traditional","255901107","2020-11-13 14:16:07.622004"
"Normal Schedule","04 - Traditional","255901001","2020-11-13 14:16:07.622534"
"Normal Schedule","05 - Traditional","255901044","2020-11-13 14:16:07.622522"
"Normal Schedule","06 - Traditional","255901107","2020-11-13 14:16:07.622012"
"Normal Schedule","05 - Traditional","255901001","2020-11-13 14:16:07.622543"
"Normal Schedule","06 - Traditional","255901044","2020-11-13 14:16:07.622529"
"Normal Schedule","06 - Traditional","255901001","2020-11-13 14:16:07.622550"
"Normal Schedule","07 - Traditional","255901107","2020-11-13 14:16:07.622020"
"Normal Schedule","07 - Traditional","255901044","2020-11-13 14:16:07.622538"
"Normal Schedule","07 - Traditional","255901001","2020-11-13 14:16:07.622557"
