classperiodname,schoolid,officialattendanceperiod,discriminator,createdate,lastmodifieddate,id,changeversion
"02 - Traditional","255901001",,"NULL","2020-11-13 14:15:11.975540","2020-11-13 14:15:11.972102","536dffe0-a0e1-4e31-90a6-894658ac8b1f","3088"
"03 - Traditional","255901044",,"NULL","2020-11-13 14:15:11.990498","2020-11-13 14:15:11.990303","6d5f0dae-7c77-4cfe-ac75-e95f262df955","3091"
"04 - Traditional","255901044",,"NULL","2020-11-13 14:15:11.998263","2020-11-13 14:15:11.998088","b266365c-5949-46da-b653-ffcc3227ff0a","3097"
"05 - Traditional","255901044",,"NULL","2020-11-13 14:15:12.008183","2020-11-13 14:15:12.007963","e8a31502-85e1-4fb5-8f2f-ff85b22c7b36","3101"
"06 - Traditional","255901044",,"NULL","2020-11-13 14:15:12.013854","2020-11-13 14:15:12.013562","23798f16-2fbc-4773-a2a9-99727d764e2d","3103"
"01 - Traditional","255901107",,"NULL","2020-11-13 14:15:11.975396","2020-11-13 14:15:11.972122","c41c7d4a-aeb5-472a-8043-7865743b5cfe","3090"
"01 - Traditional","255901044",,"NULL","2020-11-13 14:15:11.975395","2020-11-13 14:15:11.972111","86550f06-19f0-4d31-b141-9eacae83cc5d","3089"
"02 - Traditional","255901107",,"NULL","2020-11-13 14:15:11.991398","2020-11-13 14:15:11.991284","6ee012be-6ffd-404f-97b7-6b493dd42175","3093"
"02 - Traditional","255901044",,"NULL","2020-11-13 14:15:11.991841","2020-11-13 14:15:11.991551","fe5f8d31-b3b5-4f2b-b2d6-9a9481d1f449","3094"
"04 - Traditional","255901001",,"NULL","2020-11-13 14:15:11.998024","2020-11-13 14:15:11.997861","e39a1792-1529-4a8d-8d58-2b04a6b430b9","3095"
"04 - Traditional","255901107",,"NULL","2020-11-13 14:15:12.001251","2020-11-13 14:15:12.001116","7cd96177-488b-4e5c-9fb8-773f12f810e5","3098"
"05 - Traditional","255901001",,"NULL","2020-11-13 14:15:12.005863","2020-11-13 14:15:12.005692","11acbadf-199e-4902-8fac-4211a0cbc4b5","3099"
"05 - Traditional","255901107",,"NULL","2020-11-13 14:15:12.008227","2020-11-13 14:15:12.008093","7db59fb9-7799-4a09-9843-3fcc7000086b","3100"
"06 - Traditional","255901001",,"NULL","2020-11-13 14:15:12.009542","2020-11-13 14:15:12.009277","9e49fd36-2966-4977-943c-62d21e536ce1","3102"
"06 - Traditional","255901107",,"NULL","2020-11-13 14:15:12.015024","2020-11-13 14:15:12.014609","625283d4-1478-401e-97df-e5c9c2e870f8","3104"
"07 - Traditional","255901044",,"NULL","2020-11-13 14:15:12.019258","2020-11-13 14:15:12.019091","c74df172-c827-4ba1-be2e-211f0da7ed7c","3106"
"01 - Traditional","255901001",,"NULL","2020-11-13 14:15:11.975452","2020-11-13 14:15:11.972119","596cc836-3a32-41c3-ac91-b50ccc84f7f5","3087"
"03 - Traditional","255901001",,"NULL","2020-11-13 14:15:11.990536","2020-11-13 14:15:11.990303","f78aaebd-138f-4f07-801f-a81e668f44cc","3092"
"03 - Traditional","255901107",,"NULL","2020-11-13 14:15:11.997961","2020-11-13 14:15:11.996589","a84e0a7c-c24c-424d-aca6-4ca123f5d539","3096"
"07 - Traditional","255901001",,"NULL","2020-11-13 14:15:12.017631","2020-11-13 14:15:12.017342","0e457a33-1a8b-45ce-96e6-f70eebc7af4b","3105"
"07 - Traditional","255901107",,"NULL","2020-11-13 14:15:12.021251","2020-11-13 14:15:12.021049","d0b5270c-9fe5-4c32-8e11-2b055c3dcdf6","3107"
