coursecode,educationorganizationid,coursetitle,numberofparts,academicsubjectdescriptorid,coursedescription,timerequiredforcompletion,datecourseadopted,highschoolcourserequirement,coursegpaapplicabilitydescriptorid,coursedefinedbydescriptorid,minimumavailablecredits,minimumavailablecredittypedescriptorid,minimumavailablecreditconversion,maximumavailablecredits,maximumavailablecredittypedescriptorid,maximumavailablecreditconversion,careerpathwaydescriptorid,maxcompletionsforcredit,discriminator,createdate,lastmodifieddate,id,changeversion
"ART-02","255901107","Art, Grade 2","1","40","Art, Grade 2",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.023983","2020-11-13 14:15:34.010609","49bdf13f-4884-4bd8-a1b7-1dd4bbb1a51c","8734"
"03100500","255901001","Algebra I","1","37","Algebra I",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.028177","2020-11-13 14:15:34.010598","161a0be2-1b62-4e45-9144-3a04e0ef73e4","8737"
"ART-04","255901107","Art, Grade 4","1","40","Art, Grade 4",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.051851","2020-11-13 14:15:34.051609","5ccf0030-2f33-40a3-bfc5-b1070a0d573a","8740"
"ART-05","255901107","Art, Grade 5","1","40","Art, Grade 5",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.053330","2020-11-13 14:15:34.053164","4788a421-8c66-4c27-a060-ec3f9098001b","8741"
"ART-1","255901001","Art I","1","40","Art I",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.063221","2020-11-13 14:15:34.062838","7e7d101b-323b-4dec-a64f-777fbc5fb3c3","8742"
"BAND-07","255901044","Music/Band, Grade 7","1","40","Music/Band, Grade 7",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.065440","2020-11-13 14:15:34.065265","b7a5ad17-5ba9-48d0-9b9e-5acfaa7afe3c","8745"
"BAND-08","255901044","Music/Band, Grade 8","1","40","Music/Band, Grade 8",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.074934","2020-11-13 14:15:34.074290","16c4ed92-7aa3-4ca4-b1f9-9edeab55eb56","8746"
"CREAT-WR","255901001","Creative/Imaginative Writing","1","34","Creative Writing",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.076638","2020-11-13 14:15:34.076455","492687d4-28d4-4841-8272-1fa5f4e0d714","8748"
"ECO-FE","255901001","Economics With Free System Emphasis","1","38","Free Enterprise",,,"true","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.086219","2020-11-13 14:15:34.085908","03209b69-3c2f-46e3-b09b-8f7064fe1c19","8750"
"ELA-02","255901107","English Language Arts, Grade 2","1","34","English Language Art",,,"false","614","610",,,,,,,,,"NULL","2020-11-13 14:15:34.088931","2020-11-13 14:15:34.088772","42750ead-5e43-443c-abfc-f9881a385df0","8753"
