coursecode,courseidentificationsystemdescriptorid,educationorganizationid,identificationcode,assigningorganizationidentificationcode,coursecatalogurl,createdate
"ART-01","618","255901107","ART-01",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.030795"
"03100500","618","255901001","ALG-1",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.030558"
"03100500","624","255901001","03100500",,,"2020-11-13 14:15:34.030946"
"ART-03","618","255901107","ART-03",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.053123"
"ART-05","618","255901107","ART-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.054415"
"ART3-EM","618","255901001","ART3-EM",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.065478"
"BAND-07","618","255901044","BAND-07",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.066494"
"CREAT-WR","618","255901001","CREAT-WR",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.077700"
"BIO","618","255901001","BIO",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.077729"
"ELA-03","618","255901107","ELA-03",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.089799"
"ELA-02","618","255901107","ELA-02",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.089953"
"ELA-05","618","255901107","ELA-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.099889"
"ELA-06","618","255901044","ELA-06",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.102144"
"ENG-3","618","255901001","ENG-3",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.114775"
"ENG-2","618","255901001","ENG-2",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.116083"
"GEOM","618","255901001","GEOM",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.127016"
"GOVT","618","255901001","GOVT",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.129022"
"HLTH-ED","618","255901001","HLTH-ED",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.139211"
"HUMT","618","255901001","HUMT",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.140557"
"MATH-02","618","255901107","MATH-02",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.155296"
"MATH-04","618","255901107","MATH-04",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.155824"
"MATH-05","618","255901107","MATH-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.167556"
"MATH-06","618","255901044","MATH-06",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.168790"
"MUS-02","618","255901107","MUS-02",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.180364"
"MUS-04","618","255901107","MUS-04",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.183667"
"MUS-05","618","255901107","MUS-05",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.191804"
"PE-01","618","255901107","PE-01",,"http://www.GBISD.edu/coursecatalog","2020-11-13 14:15:34.195207"
