courseattemptresultdescriptorid,coursecode,courseeducationorganizationid,educationorganizationid,schoolyear,studentusi,termdescriptorid,attemptedcredits,attemptedcredittypedescriptorid,attemptedcreditconversion,earnedcredits,earnedcredittypedescriptorid,earnedcreditconversion,whentakengradeleveldescriptorid,methodcreditearneddescriptorid,finallettergradeearned,finalnumericgradeearned,courserepeatcodedescriptorid,coursetitle,alternativecoursetitle,alternativecoursecode,externaleducationorganizationid,assigningorganizationidentificationcode,coursecatalogurl,discriminator,createdate,lastmodifieddate,id,changeversion
"608","03100500","255901001","255901001","2011","422","2333","1.000",,,"1.000",,,"950","1648","A","100.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.060445","2020-11-13 14:21:24.049125","0ac1039d-b0a2-429a-b820-78ebfe991d18","90401"
"608","03100500","255901001","255901001","2011","442","2333","1.000",,,"1.000",,,"950","1648","C","71.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.060445","2020-11-13 14:21:24.049118","46acfb06-f08e-446c-bd2a-36e11fba433e","90402"
"608","03100500","255901001","255901001","2011","443","2333","1.000",,,"1.000",,,"950","1648","C","78.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.060446","2020-11-13 14:21:24.049103","f9f5ba81-aeb0-4ca9-a626-0c25842f2171","90403"
"608","03100500","255901001","255901001","2011","442","2330","1.000",,,"1.000",,,"950","1648","B","84.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.061835","2020-11-13 14:21:24.049108","ac062fbe-6aea-400a-b3cc-0931e826358e","90404"
"608","03100500","255901001","255901001","2011","456","2330","1.000",,,"1.000",,,"950","1648","A","99.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.088798","2020-11-13 14:21:24.088605","2fd23885-f7f4-443c-9178-927014cc073f","90405"
"608","03100500","255901001","255901001","2011","456","2333","1.000",,,"1.000",,,"950","1648","C","70.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.088791","2020-11-13 14:21:24.088609","0e567d8d-4d1c-4612-b408-c11e5974434c","90407"
"608","03100500","255901001","255901001","2011","489","2333","1.000",,,"1.000",,,"950","1648","C","74.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.088804","2020-11-13 14:21:24.088648","5e3f1fc8-e409-4913-91c8-abe05a0f2844","90408"
"608","03100500","255901001","255901001","2011","483","2333","1.000",,,"1.000",,,"950","1648","D","60.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.088792","2020-11-13 14:21:24.088630","70300dc2-6b83-4399-abc7-4171cb973448","90406"
"608","03100500","255901001","255901001","2011","496","2330","1.000",,,"1.000",,,"950","1648","B","87.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.103091","2020-11-13 14:21:24.102869","da1d07de-e8bb-473c-9483-855d0620d7ab","90409"
"608","03100500","255901001","255901001","2011","498","2330","1.000",,,"1.000",,,"950","1648","D","69.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.105140","2020-11-13 14:21:24.104912","1cd9214a-1b42-4131-8a97-04462e370dea","90410"
"608","03100500","255901001","255901001","2011","496","2333","1.000",,,"1.000",,,"950","1648","C","75.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.105347","2020-11-13 14:21:24.105147","3458cc81-d563-4f90-82f1-c30f944d2b8d","90411"
"608","03100500","255901001","255901001","2011","508","2330","1.000",,,"1.000",,,"950","1648","D","65.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.106954","2020-11-13 14:21:24.106772","71d24eb9-1226-42b2-8e73-2cee1ac39258","90412"
"608","03100500","255901001","255901001","2011","508","2333","1.000",,,"1.000",,,"950","1648","C","77.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.121392","2020-11-13 14:21:24.121129","015ef991-e009-4e2a-8087-c22d7af099d7","90413"
"608","03100500","255901001","255901001","2011","512","2333","1.000",,,"1.000",,,"950","1648","C","70.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.125231","2020-11-13 14:21:24.125038","11051b59-7211-41a4-860d-90855c6f5fbf","90414"
"608","03100500","255901001","255901001","2011","512","2330","1.000",,,"1.000",,,"950","1648","C","79.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.125268","2020-11-13 14:21:24.125087","c6c13113-15c9-467a-a90c-dbd2d5d50362","90415"
"608","03100500","255901001","255901001","2011","513","2330","1.000",,,"1.000",,,"950","1648","C","77.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.126464","2020-11-13 14:21:24.126216","a3797914-fae1-4b5f-b470-f9c122a41f7c","90416"
"608","03100500","255901001","255901001","2011","513","2333","1.000",,,"1.000",,,"950","1648","B","84.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.136245","2020-11-13 14:21:24.135924","0a29be27-42a1-4817-98a5-ee7a06c9dba4","90417"
"608","03100500","255901001","255901001","2011","520","2330","1.000",,,"1.000",,,"950","1648","A","100.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.138508","2020-11-13 14:21:24.138345","bee32512-926f-4dff-8831-8ade488bded1","90418"
"608","03100500","255901001","255901001","2011","520","2333","1.000",,,"1.000",,,"950","1648","A","95.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.140954","2020-11-13 14:21:24.140798","cb5f0330-4ce8-4808-83c3-602b661575a8","90419"
"608","03100500","255901001","255901001","2011","526","2330","1.000",,,"1.000",,,"950","1648","D","61.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.142658","2020-11-13 14:21:24.142494","144929a4-f51e-492b-a7aa-996fcbb621eb","90420"
"608","03100500","255901001","255901001","2011","526","2333","1.000",,,"1.000",,,"950","1648","D","61.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.151194","2020-11-13 14:21:24.151015","66d46ea4-2abb-4696-aa4e-b9e1b9d5d5e4","90421"
"608","03100500","255901001","255901001","2011","529","2330","1.000",,,"1.000",,,"950","1648","C","79.00",,,,,,"255901","http://www.GBISD.edu/coursecatalog","NULL","2020-11-13 14:21:24.152790","2020-11-13 14:21:24.152594","10a1e374-c37b-4a91-8c18-2648e136927e","90422"
