academicsubjectdescriptorid,courseattemptresultdescriptorid,coursecode,courseeducationorganizationid,educationorganizationid,schoolyear,studentusi,termdescriptorid,createdate
"37","608","03100500","255901001","255901001","2011","442","2333","2020-11-13 14:21:24.064072"
"37","608","03100500","255901001","255901001","2011","442","2330","2020-11-13 14:21:24.064316"
"37","608","03100500","255901001","255901001","2011","422","2333","2020-11-13 14:21:24.063987"
"37","608","03100500","255901001","255901001","2011","456","2333","2020-11-13 14:21:24.090366"
"37","608","03100500","255901001","255901001","2011","489","2333","2020-11-13 14:21:24.090417"
"37","608","03100500","255901001","255901001","2011","483","2333","2020-11-13 14:21:24.090378"
"37","608","03100500","255901001","255901001","2011","498","2330","2020-11-13 14:21:24.106659"
"37","608","03100500","255901001","255901001","2011","496","2333","2020-11-13 14:21:24.106826"
"37","608","03100500","255901001","255901001","2011","508","2330","2020-11-13 14:21:24.108387"
"37","608","03100500","255901001","255901001","2011","508","2333","2020-11-13 14:21:24.123187"
"37","608","03100500","255901001","255901001","2011","512","2330","2020-11-13 14:21:24.126741"
"37","608","03100500","255901001","255901001","2011","513","2330","2020-11-13 14:21:24.127955"
"37","608","03100500","255901001","255901001","2011","513","2333","2020-11-13 14:21:24.137878"
"37","608","03100500","255901001","255901001","2011","520","2330","2020-11-13 14:21:24.140184"
"37","608","03100500","255901001","255901001","2011","526","2330","2020-11-13 14:21:24.144118"
"37","608","03100500","255901001","255901001","2011","526","2333","2020-11-13 14:21:24.152766"
"37","608","03100500","255901001","255901001","2011","529","2330","2020-11-13 14:21:24.154352"
"37","608","03100500","255901001","255901001","2011","531","2330","2020-11-13 14:21:24.159498"
"37","608","03100500","255901001","255901001","2011","550","2330","2020-11-13 14:21:24.168788"
"37","608","03100500","255901001","255901001","2011","554","2330","2020-11-13 14:21:24.169786"
"37","608","03100500","255901001","255901001","2011","571","2330","2020-11-13 14:21:24.183059"
"37","608","03100500","255901001","255901001","2011","571","2333","2020-11-13 14:21:24.185636"
"37","608","03100500","255901001","255901001","2011","573","2330","2020-11-13 14:21:24.193572"
"37","608","03100500","255901001","255901001","2011","588","2333","2020-11-13 14:21:24.199690"
"37","608","03100500","255901001","255901001","2011","627","2330","2020-11-13 14:21:24.201978"
"37","608","03100500","255901001","255901001","2011","628","2330","2020-11-13 14:21:24.212203"
"37","608","03100500","255901001","255901001","2011","635","2330","2020-11-13 14:21:24.218710"
"37","608","03100500","255901001","255901001","2011","641","2330","2020-11-13 14:21:24.225050"
"37","608","03100500","255901001","255901001","2011","656","2333","2020-11-13 14:21:24.230091"
"37","608","03100500","255901001","255901001","2011","662","2330","2020-11-13 14:21:24.251318"
"37","608","03100500","255901001","255901001","2011","657","2333","2020-11-13 14:21:24.252982"
"37","608","03100500","255901001","255901001","2011","663","2330","2020-11-13 14:21:24.256279"
"37","608","03100500","255901001","255901001","2011","663","2333","2020-11-13 14:21:24.265744"
"37","608","03100500","255901001","255901001","2011","692","2333","2020-11-13 14:21:24.892138"
"37","608","03100500","255901001","255901001","2011","692","2330","2020-11-13 14:21:24.892292"
"37","608","03100500","255901001","255901001","2011","666","2333","2020-11-13 14:21:24.892384"
"37","608","03100500","255901001","255901001","2011","696","2330","2020-11-13 14:21:24.906261"
"37","608","03100500","255901001","255901001","2011","696","2333","2020-11-13 14:21:24.908490"
"37","608","03100500","255901001","255901001","2011","710","2333","2020-11-13 14:21:24.914085"
"37","608","03100500","255901001","255901001","2011","728","2330","2020-11-13 14:21:24.923648"
"37","608","03100500","255901001","255901001","2011","735","2330","2020-11-13 14:21:24.931895"
"37","608","03100500","255901001","255901001","2011","761","2330","2020-11-13 14:21:24.945299"
"37","608","03100500","255901001","255901001","2011","761","2333","2020-11-13 14:21:24.951427"
"37","608","03100500","255901001","255901001","2011","800","2330","2020-11-13 14:21:24.956268"
"37","608","03100500","255901001","255901001","2011","805","2333","2020-11-13 14:21:24.962840"
"37","608","03100500","255901001","255901001","2011","817","2330","2020-11-13 14:21:24.973033"
"37","608","03100500","255901001","255901001","2011","829","2333","2020-11-13 14:21:24.979779"
"37","608","03100500","255901001","255901001","2011","841","2333","2020-11-13 14:21:24.991656"
"37","608","03100500","255901001","255901001","2011","843","2333","2020-11-13 14:21:25.000991"
"37","608","03100500","255901001","255901001","2011","875","2330","2020-11-13 14:21:25.002549"
"37","608","03100500","255901001","255901001","2011","879","2333","2020-11-13 14:21:25.018904"
"37","608","03100500","255901001","255901001","2011","880","2330","2020-11-13 14:21:25.019877"
"37","608","03100500","255901001","255901001","2011","916","2330","2020-11-13 14:21:25.032092"
"37","608","03100500","255901001","255901001","2011","916","2333","2020-11-13 14:21:25.034703"
"37","608","03100500","255901001","255901001","2011","954","2330","2020-11-13 14:21:25.045386"
"37","608","03100500","255901001","255901001","2011","954","2333","2020-11-13 14:21:25.048488"
"37","608","03100500","255901001","255901001","2011","957","2330","2020-11-13 14:21:25.053203"
"37","608","03100500","255901001","255901001","2012","2","2333","2020-11-13 14:21:25.064251"
"37","608","03100500","255901001","255901001","2012","27","2330","2020-11-13 14:21:25.066241"
"37","608","03100500","255901001","255901001","2012","28","2330","2020-11-13 14:21:25.078487"
"37","608","03100500","255901001","255901001","2012","43","2330","2020-11-13 14:21:25.081523"
"37","608","03100500","255901001","255901001","2012","43","2333","2020-11-13 14:21:25.089812"
"37","608","03100500","255901001","255901001","2012","54","2333","2020-11-13 14:21:25.094202"
"37","608","03100500","255901001","255901001","2012","61","2333","2020-11-13 14:21:25.097002"
"37","608","03100500","255901001","255901001","2012","85","2330","2020-11-13 14:21:25.105972"
"37","608","03100500","255901001","255901001","2012","98","2333","2020-11-13 14:21:25.112140"
"37","608","03100500","255901001","255901001","2012","120","2330","2020-11-13 14:21:25.129171"
"37","608","03100500","255901001","255901001","2012","118","2330","2020-11-13 14:21:25.133153"
"37","608","03100500","255901001","255901001","2012","136","2333","2020-11-13 14:21:25.146086"
"37","608","03100500","255901001","255901001","2012","149","2333","2020-11-13 14:21:25.148311"
"37","608","03100500","255901001","255901001","2012","154","2330","2020-11-13 14:21:25.156888"
"37","608","03100500","255901001","255901001","2012","195","2330","2020-11-13 14:21:25.162203"
"37","608","03100500","255901001","255901001","2012","195","2333","2020-11-13 14:21:25.163599"
"37","608","03100500","255901001","255901001","2012","211","2330","2020-11-13 14:21:25.172797"
