courseattemptresultdescriptorid,coursecode,courseeducationorganizationid,courseidentificationsystemdescriptorid,educationorganizationid,schoolyear,studentusi,termdescriptorid,identificationcode,assigningorganizationidentificationcode,coursecatalogurl,createdate
"608","03100500","255901001","624","255901001","2011","442","2333","03100500",,,"2020-11-13 14:21:24.064329"
"608","03100500","255901001","624","255901001","2011","443","2333","03100500",,,"2020-11-13 14:21:24.064324"
"608","03100500","255901001","624","255901001","2011","442","2330","03100500",,,"2020-11-13 14:21:24.064361"
"608","03100500","255901001","624","255901001","2011","422","2333","03100500",,,"2020-11-13 14:21:24.064347"
"608","03100500","255901001","624","255901001","2011","489","2333","03100500",,,"2020-11-13 14:21:24.090458"
"608","03100500","255901001","624","255901001","2011","456","2333","03100500",,,"2020-11-13 14:21:24.090410"
"608","03100500","255901001","624","255901001","2011","456","2330","03100500",,,"2020-11-13 14:21:24.090507"
"608","03100500","255901001","624","255901001","2011","483","2333","03100500",,,"2020-11-13 14:21:24.090468"
"608","03100500","255901001","624","255901001","2011","496","2330","03100500",,,"2020-11-13 14:21:24.104781"
"608","03100500","255901001","624","255901001","2011","498","2330","03100500",,,"2020-11-13 14:21:24.106710"
"608","03100500","255901001","624","255901001","2011","496","2333","03100500",,,"2020-11-13 14:21:24.106882"
"608","03100500","255901001","624","255901001","2011","508","2330","03100500",,,"2020-11-13 14:21:24.108458"
"608","03100500","255901001","624","255901001","2011","508","2333","03100500",,,"2020-11-13 14:21:24.123233"
"608","03100500","255901001","624","255901001","2011","512","2333","03100500",,,"2020-11-13 14:21:24.126754"
"608","03100500","255901001","624","255901001","2011","512","2330","03100500",,,"2020-11-13 14:21:24.127349"
"608","03100500","255901001","624","255901001","2011","513","2330","03100500",,,"2020-11-13 14:21:24.128015"
"608","03100500","255901001","624","255901001","2011","513","2333","03100500",,,"2020-11-13 14:21:24.137925"
"608","03100500","255901001","624","255901001","2011","520","2330","03100500",,,"2020-11-13 14:21:24.140318"
"608","03100500","255901001","624","255901001","2011","520","2333","03100500",,,"2020-11-13 14:21:24.142481"
"608","03100500","255901001","624","255901001","2011","526","2330","03100500",,,"2020-11-13 14:21:24.144160"
"608","03100500","255901001","624","255901001","2011","526","2333","03100500",,,"2020-11-13 14:21:24.152811"
"608","03100500","255901001","624","255901001","2011","529","2330","03100500",,,"2020-11-13 14:21:24.154402"
"608","03100500","255901001","624","255901001","2011","529","2333","03100500",,,"2020-11-13 14:21:24.155947"
"608","03100500","255901001","624","255901001","2011","531","2330","03100500",,,"2020-11-13 14:21:24.159547"
"608","03100500","255901001","624","255901001","2011","531","2333","03100500",,,"2020-11-13 14:21:24.167225"
"608","03100500","255901001","624","255901001","2011","550","2330","03100500",,,"2020-11-13 14:21:24.168845"
