courseattemptresultdescriptorid,coursecode,courseeducationorganizationid,creditcategorydescriptorid,educationorganizationid,schoolyear,studentusi,termdescriptorid,createdate
"608","ENG-4","255901001","676","255901001","2011","427","2333","2020-11-13 14:21:47.881712"
"608","ENG-4","255901001","676","255901001","2011","413","2330","2020-11-13 14:21:47.881504"
"608","ENG-4","255901001","676","255901001","2011","467","2333","2020-11-13 14:21:47.898613"
"608","ENG-4","255901001","676","255901001","2011","486","2330","2020-11-13 14:21:47.900789"
"608","ENG-4","255901001","676","255901001","2011","486","2333","2020-11-13 14:21:47.915419"
"608","ENG-4","255901001","676","255901001","2011","515","2333","2020-11-13 14:21:47.915433"
"608","ENG-4","255901001","676","255901001","2011","542","2333","2020-11-13 14:21:47.932264"
"608","ENG-4","255901001","676","255901001","2011","538","2333","2020-11-13 14:21:47.932386"
"608","ENG-4","255901001","676","255901001","2011","547","2330","2020-11-13 14:21:47.946410"
"608","ENG-4","255901001","676","255901001","2011","564","2333","2020-11-13 14:21:47.951388"
"608","ENG-4","255901001","676","255901001","2011","578","2330","2020-11-13 14:21:47.965940"
"608","ENG-4","255901001","676","255901001","2011","611","2333","2020-11-13 14:21:47.982152"
"608","ENG-4","255901001","676","255901001","2011","623","2330","2020-11-13 14:21:47.999206"
"608","ENG-4","255901001","676","255901001","2011","630","2333","2020-11-13 14:21:48.010520"
"608","ENG-4","255901001","676","255901001","2011","668","2330","2020-11-13 14:21:48.029259"
"608","ENG-4","255901001","676","255901001","2011","674","2330","2020-11-13 14:21:48.039357"
"608","ENG-4","255901001","676","255901001","2011","680","2333","2020-11-13 14:21:48.046591"
"608","ENG-4","255901001","676","255901001","2011","689","2330","2020-11-13 14:21:48.055592"
"608","ENG-4","255901001","676","255901001","2011","689","2333","2020-11-13 14:21:48.058265"
"608","ENG-4","255901001","676","255901001","2011","698","2333","2020-11-13 14:21:48.071991"
"608","ENG-4","255901001","676","255901001","2011","703","2330","2020-11-13 14:21:48.074002"
"608","ENG-4","255901001","676","255901001","2011","709","2333","2020-11-13 14:21:48.091049"
"608","ENG-4","255901001","676","255901001","2011","748","2333","2020-11-13 14:21:48.107059"
"608","ENG-4","255901001","676","255901001","2011","774","2333","2020-11-13 14:21:48.124113"
"608","ENG-4","255901001","676","255901001","2011","819","2330","2020-11-13 14:21:48.140169"
"608","ENG-4","255901001","676","255901001","2011","838","2330","2020-11-13 14:21:48.149397"
"608","ENG-4","255901001","676","255901001","2011","864","2333","2020-11-13 14:21:48.156504"
"608","ENG-4","255901001","676","255901001","2011","886","2330","2020-11-13 14:21:48.168450"
"608","ENG-4","255901001","676","255901001","2011","912","2333","2020-11-13 14:21:48.191437"
"608","ENG-4","255901001","676","255901001","2011","943","2330","2020-11-13 14:21:48.196415"
"608","ENG-4","255901001","676","255901001","2012","18","2333","2020-11-13 14:21:48.646568"
"608","ENG-4","255901001","676","255901001","2012","30","2330","2020-11-13 14:21:48.647575"
"608","ENG-4","255901001","676","255901001","2012","42","2330","2020-11-13 14:21:48.666132"
"608","ENG-4","255901001","676","255901001","2012","38","2330","2020-11-13 14:21:48.667273"
"608","ENG-4","255901001","676","255901001","2012","47","2333","2020-11-13 14:21:48.683141"
"608","ENG-4","255901001","676","255901001","2012","53","2330","2020-11-13 14:21:48.683138"
"608","ENG-4","255901001","676","255901001","2012","78","2330","2020-11-13 14:21:48.696705"
"608","ENG-4","255901001","676","255901001","2012","127","2330","2020-11-13 14:21:48.700300"
"608","ENG-4","255901001","676","255901001","2012","135","2333","2020-11-13 14:21:48.714690"
"608","ENG-4","255901001","676","255901001","2012","179","2330","2020-11-13 14:21:48.729371"
"608","ENG-4","255901001","676","255901001","2012","206","2330","2020-11-13 14:21:48.746317"
"608","ENG-4","255901001","676","255901001","2012","209","2333","2020-11-13 14:21:48.770671"
