descriptorid,namespace,codevalue,shortdescription,description,priordescriptorid,effectivebegindate,effectiveenddate,createdate,lastmodifieddate,id,changeversion
"1","uri://ed-fi.org/AbsenceEventCategoryDescriptor","Compensatory leave time","Compensatory leave time","Compensatory leave time",,,,"2020-11-13 14:14:47.753846","2020-11-13 14:14:47.739767","4ef66a63-4b12-4494-9896-8f7f43172b95","61"
"2","uri://ed-fi.org/AbsenceEventCategoryDescriptor","Bereavement","Bereavement","Bereavement",,,,"2020-11-13 14:14:47.753831","2020-11-13 14:14:47.739775","4fa361ce-a7ef-4c6b-847f-eac44bceb01e","62"
"5","uri://ed-fi.org/AbsenceEventCategoryDescriptor","Other","Other","Other",,,,"2020-11-13 14:14:47.907371","2020-11-13 14:14:47.907242","d5c78241-8222-4ade-b14e-3a0ceb0ef81d","65"
"6","uri://ed-fi.org/AbsenceEventCategoryDescriptor","Personal","Personal","Personal",,,,"2020-11-13 14:14:47.907353","2020-11-13 14:14:47.907241","6c90b9d1-ef79-477a-aa0b-1f0d7e30a6cc","66"
"9","uri://ed-fi.org/AbsenceEventCategoryDescriptor","Sick leave","Sick leave","Sick leave",,,,"2020-11-13 14:14:47.915738","2020-11-13 14:14:47.915680","59558f3d-0135-4b9b-9182-cac249c97583","69"
"12","uri://ed-fi.org/AbsenceEventCategoryDescriptor","Vacation","Vacation","Vacation",,,,"2020-11-13 14:14:47.917785","2020-11-13 14:14:47.917723","2205ee5a-d302-4fdc-9377-86161ac300db","72"
"15","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Certificate","Certificate","Certificate",,,,"2020-11-13 14:14:47.953724","2020-11-13 14:14:47.952407","ee5e359e-6672-41ec-b97a-6fca02e432f8","75"
"14","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Awarding of units of value","Awarding of units of value","Awarding of units of value",,,,"2020-11-13 14:14:47.953726","2020-11-13 14:14:47.952431","981ccde6-af8e-4f46-917c-f5ff7fae8c2d","74"
"17","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Completion of requirement, but no units awarded","Completion of requirement, but no units of value awarded","Completion of requirement, but no units of value awarded",,,,"2020-11-13 14:14:47.962562","2020-11-13 14:14:47.962498","426af5de-63eb-4f86-b564-bce1e6e99cb4","77"
"20","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Honor society","Honor society","Honor society",,,,"2020-11-13 14:14:47.963812","2020-11-13 14:14:47.963763","cdf8b48e-e4af-431d-9840-a410549b4940","80"
"22","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Letter of student commendation","Letter of student commendation","Letter of student commendation",,,,"2020-11-13 14:14:47.971061","2020-11-13 14:14:47.970939","31fb3a84-60da-44df-83e4-bc065034e72a","82"
"24","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Honors program","Honors program","Honors program",,,,"2020-11-13 14:14:47.972267","2020-11-13 14:14:47.972219","8b9423df-9430-4623-809e-b7e9b57d5d4c","84"
"25","uri://ed-fi.org/AcademicHonorCategoryDescriptor","National Merit Scholar","National Merit Scholar","National Merit Scholar",,,,"2020-11-13 14:14:47.979507","2020-11-13 14:14:47.979405","bf6f6195-bacc-4075-b8a6-4407ecae3c25","85"
"28","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Points","Points","Points",,,,"2020-11-13 14:14:47.983400","2020-11-13 14:14:47.983324","f8fdfc32-f282-470a-a33a-8a9dd0695a8c","88"
"29","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Promotion or advancement","Promotion or advancement","Promotion or advancement",,,,"2020-11-13 14:14:47.987215","2020-11-13 14:14:47.987165","cf91604d-e919-429d-8581-f7fd202440d1","89"
"30","uri://ed-fi.org/AcademicHonorCategoryDescriptor","Scholarships","Scholarships","Scholarships",,,,"2020-11-13 14:14:48.213025","2020-11-13 14:14:48.205209","92f22aed-449a-4c01-9a90-f1b05c30a0b1","90"
"31","uri://ed-fi.org/AcademicSubjectDescriptor","English","English","English",,,,"2020-11-13 14:14:48.247322","2020-11-13 14:14:48.245796","25703058-bd6c-46ab-919e-1a698a6c6eeb","91"
"34","uri://ed-fi.org/AcademicSubjectDescriptor","English Language Arts","English Language Arts","English Language Arts",,,,"2020-11-13 14:14:48.247963","2020-11-13 14:14:48.245813","e1a36ae5-3fb2-4c86-9797-f2fe09e464b1","94"
