disciplineactionidentifier,disciplinedate,disciplinedescriptorid,studentusi,createdate
"7","2012-02-09","799","41","2020-11-13 14:18:25.942557"
"25","2012-01-18","799","30","2020-11-13 14:18:25.942589"
"12","2011-10-21","799","72","2020-11-13 14:18:25.943253"
"18","2012-01-18","799","30","2020-11-13 14:18:25.943233"
"3","2012-04-26","799","220","2020-11-13 14:18:25.961316"
"24","2012-01-28","799","301","2020-11-13 14:18:25.961349"
"20","2012-03-28","799","215","2020-11-13 14:18:25.961351"
"13","2012-01-28","799","301","2020-11-13 14:18:25.963757"
"22","2011-12-13","799","400","2020-11-13 14:18:25.971934"
"6","2011-12-13","799","400","2020-11-13 14:18:25.973234"
"9","2012-05-13","799","442","2020-11-13 14:18:25.975301"
"23","2012-05-13","799","442","2020-11-13 14:18:25.975431"
"11","2012-03-31","799","445","2020-11-13 14:18:25.982868"
"10","2011-10-18","799","446","2020-11-13 14:18:25.983883"
"8","2012-01-07","799","454","2020-11-13 14:18:25.984887"
"1","2012-02-09","799","455","2020-11-13 14:18:25.991177"
"15","2012-02-02","799","550","2020-11-13 14:18:25.995103"
"21","2012-05-02","799","570","2020-11-13 14:18:25.996568"
"4","2012-05-03","799","583","2020-11-13 14:18:25.999086"
"14","2012-04-18","799","597","2020-11-13 14:18:26.005659"
"19","2012-01-13","797","657","2020-11-13 14:18:26.007002"
"17","2012-01-04","799","703","2020-11-13 14:18:26.007759"
"2","2012-02-18","799","745","2020-11-13 14:18:26.012463"
"16","2011-12-16","799","748","2020-11-13 14:18:26.017557"
"5","2011-10-28","799","952","2020-11-13 14:18:26.019168"
