disciplineactionidentifier,disciplinedate,incidentidentifier,schoolid,studentusi,createdate
"18","2012-01-18","18","255901001","30","2020-11-13 14:18:25.943298"
"12","2011-10-21","12","255901001","72","2020-11-13 14:18:25.943292"
"3","2012-04-26","3","255901044","220","2020-11-13 14:18:25.961355"
"24","2012-01-28","13","255901001","301","2020-11-13 14:18:25.961387"
"6","2011-12-13","6","255901044","400","2020-11-13 14:18:25.973276"
"9","2012-05-13","9","255901001","442","2020-11-13 14:18:25.975342"
"11","2012-03-31","11","255901001","445","2020-11-13 14:18:25.982911"
"8","2012-01-07","8","255901001","454","2020-11-13 14:18:25.984936"
"15","2012-02-02","15","255901001","550","2020-11-13 14:18:25.995151"
"4","2012-05-03","4","255901044","583","2020-11-13 14:18:25.999124"
"19","2012-01-13","19","255901001","657","2020-11-13 14:18:26.007069"
"17","2012-01-04","17","255901001","703","2020-11-13 14:18:26.007806"
"5","2011-10-28","5","255901044","952","2020-11-13 14:18:26.019237"
"7","2012-02-09","7","255901044","41","2020-11-13 14:18:25.942912"
"13","2012-01-28","13","255901001","301","2020-11-13 14:18:25.963823"
"23","2012-05-13","9","255901001","442","2020-11-13 14:18:25.975486"
"25","2012-01-18","18","255901001","30","2020-11-13 14:18:25.942934"
"20","2012-03-28","20","255901001","215","2020-11-13 14:18:25.961390"
"22","2011-12-13","6","255901044","400","2020-11-13 14:18:25.971976"
"10","2011-10-18","10","255901001","446","2020-11-13 14:18:25.983922"
"1","2012-02-09","1","255901107","455","2020-11-13 14:18:25.991223"
"21","2012-05-02","21","255901001","570","2020-11-13 14:18:25.996628"
"14","2012-04-18","14","255901001","597","2020-11-13 14:18:26.005702"
"2","2012-02-18","2","255901107","745","2020-11-13 14:18:26.012506"
"16","2011-12-16","16","255901001","748","2020-11-13 14:18:26.017619"
