behaviordescriptorid,incidentidentifier,schoolid,behaviordetaileddescription,createdate
"255","12","255901001",,"2020-11-13 14:16:08.638278"
"255","13","255901001",,"2020-11-13 14:16:08.638290"
"255","16","255901001",,"2020-11-13 14:16:08.653148"
"255","14","255901001",,"2020-11-13 14:16:08.653307"
"257","20","255901001",,"2020-11-13 14:16:08.664008"
"254","3","255901044",,"2020-11-13 14:16:08.674542"
"254","6","255901044",,"2020-11-13 14:16:08.682935"
"257","7","255901044",,"2020-11-13 14:16:08.690495"
"257","2","255901107",,"2020-11-13 14:16:08.692669"
"257","10","255901001","State Offense Detailed Desciption","2020-11-13 14:16:08.639048"
"255","15","255901001",,"2020-11-13 14:16:08.653143"
"256","18","255901001",,"2020-11-13 14:16:08.662258"
"257","9","255901001",,"2020-11-13 14:16:08.672774"
"254","4","255901044",,"2020-11-13 14:16:08.681269"
"257","21","255901001",,"2020-11-13 14:16:08.688152"
"255","11","255901001","Robbery","2020-11-13 14:16:08.638287"
"255","17","255901001",,"2020-11-13 14:16:08.654214"
"257","19","255901001",,"2020-11-13 14:16:08.663436"
"257","8","255901001",,"2020-11-13 14:16:08.672722"
"254","5","255901044",,"2020-11-13 14:16:08.682936"
"257","1","255901107",,"2020-11-13 14:16:08.691635"
