educationorganizationid,institutiontelephonenumbertypedescriptorid,telephonenumber,createdate
"6000203","1049","(512) 471-3434","2020-11-13 14:15:10.701452"
"255950","1049","(214) 876-8290","2020-11-13 14:15:10.927600"
"255950","1048","(214) 876-8921","2020-11-13 14:15:10.928401"
"255901","1049","(950) 367-2013","2020-11-13 14:15:11.155448"
"255901","1048","(950) 366-2320","2020-11-13 14:15:11.155911"
"255901044","1049","(950) 325-3164","2020-11-13 14:15:11.414429"
"255901001","1049","(950) 325-9465","2020-11-13 14:15:11.414574"
"255901107","1049","(950) 367-1346","2020-11-13 14:15:11.414882"
"255901044","1048","(950) 366-9374","2020-11-13 14:15:11.415177"
"255901107","1048","(950) 325-1976","2020-11-13 14:15:11.415396"
"255901001","1048","(950) 393-3156","2020-11-13 14:15:11.415231"
