begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi,enddate,reasonexiteddescriptorid,servedoutsideofregularsession,discriminator,createdate,lastmodifieddate,id,changeversion
"2010-08-30","255901","255901","Bilingual","1790","34",,,"true","edfi.StudentProgramAssociation","2020-11-13 14:17:35.558855","2020-11-13 14:17:35.551110","14aa4fd1-0160-4149-a782-310ea3c50ce0","32180"
"2010-08-30","255901","255901","Bilingual","1790","45",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.559653","2020-11-13 14:17:35.551095","32af09b7-330d-49b6-a621-77f7f8b3b801","32181"
"2010-08-30","255901","255901","Bilingual","1790","70",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.559827","2020-11-13 14:17:35.551099","5304e572-9ed3-4651-b907-5f75182f1bd8","32182"
"2010-08-30","255901","255901","Bilingual","1790","71",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.559669","2020-11-13 14:17:35.551104","fdf7ef89-6274-470a-a7b6-8d5a54016b53","32183"
"2010-08-30","255901","255901","Bilingual","1790","112",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.576877","2020-11-13 14:17:35.576671","94e53f10-c759-43ea-bfff-fd291004409f","32184"
"2010-08-30","255901","255901","Bilingual","1790","146",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.576951","2020-11-13 14:17:35.576843","3e7ffa31-bf84-4abe-91b1-0acc3586615a","32185"
"2010-08-30","255901","255901","Bilingual","1790","133",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.576953","2020-11-13 14:17:35.576830","ba264625-aa2f-4ba7-b1be-5e19d9bbef77","32186"
"2010-08-30","255901","255901","Bilingual","1790","80","2010-12-17","1889",,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.579467","2020-11-13 14:17:35.579350","1123ef2a-9437-4098-b83b-964438004d20","32187"
"2010-08-30","255901","255901","Bilingual","1790","156",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.588946","2020-11-13 14:17:35.588759","4e2334e5-503e-4429-8b93-ca7cf1544e31","32188"
"2010-08-30","255901","255901","Bilingual","1790","147",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.589263","2020-11-13 14:17:35.589115","91aa2dda-bb97-4829-89aa-36ca5ac9525c","32189"
"2010-08-30","255901","255901","Bilingual","1790","160",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.589254","2020-11-13 14:17:35.588976","c90bcea9-a4c6-4c5b-8983-3cef0e427e16","32190"
"2010-08-30","255901","255901","Bilingual","1790","171",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.593304","2020-11-13 14:17:35.593166","81d10942-01c7-45b3-8a03-2de47612300d","32191"
"2010-08-30","255901","255901","Bilingual","1790","198",,,,"edfi.StudentProgramAssociation","2020-11-13 14:17:35.601051","2020-11-13 14:17:35.600684","f1111165-7c40-467f-b559-d3570d7cb7e1","32192"
