begindate,gradetypedescriptorid,gradingperioddescriptorid,gradingperiodschoolyear,gradingperiodsequence,learningstandardid,localcoursecode,schoolid,schoolyear,sectionidentifier,sessionname,studentusi,lettergradeearned,numericgradeearned,diagnosticstatement,performancebaseconversiondescriptorid,createdate
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","28",,"88.00",,,"2020-11-13 14:18:26.227853"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,"63.00",,,"2020-11-13 14:18:26.228265"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,"68.00",,,"2020-11-13 14:18:26.228401"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","43",,"92.00",,,"2020-11-13 14:18:26.228651"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","54",,"49.00",,,"2020-11-13 14:18:26.245814"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","98",,"41.00",,,"2020-11-13 14:18:26.245823"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","85",,"90.00",,,"2020-11-13 14:18:26.245847"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","61",,"100.00",,,"2020-11-13 14:18:26.246178"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","107",,"76.00",,,"2020-11-13 14:18:26.256823"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","136",,"82.00",,,"2020-11-13 14:18:26.258429"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","118",,"83.00",,,"2020-11-13 14:18:26.258662"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","120",,"73.00",,,"2020-11-13 14:18:26.258788"
"2010-08-23","966","977","2011","1","111.32.NA.A.1.D","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","149",,"64.00",,,"2020-11-13 14:18:26.268410"
