gradingperioddescriptorid,periodsequence,schoolid,schoolyear,begindate,enddate,totalinstructionaldays,discriminator,createdate,lastmodifieddate,id,changeversion
"977","1","255901107","2011","2010-08-23","2010-10-03","29","NULL","2020-11-13 14:16:06.660115","2020-11-13 14:16:06.657502","75e61729-4393-47a1-9557-de994040d09b","11799"
"977","1","255901001","2011","2010-08-23","2010-10-03","29","NULL","2020-11-13 14:16:06.660096","2020-11-13 14:16:06.657506","297c30e4-0180-4b96-b8a0-7500e59e580b","11797"
"981","2","255901107","2011","2010-10-04","2010-11-07","25","NULL","2020-11-13 14:16:06.672173","2020-11-13 14:16:06.672082","ac297020-3562-4494-bf13-cdb7b3dc93c0","11801"
"988","3","255901044","2011","2010-11-08","2010-12-17","27","NULL","2020-11-13 14:16:06.676158","2020-11-13 14:16:06.676090","81087cc0-5b5d-447a-b7e9-2702b930ddfe","11803"
"988","3","255901107","2011","2010-11-08","2010-12-17","27","NULL","2020-11-13 14:16:06.679266","2020-11-13 14:16:06.679192","64d81116-8595-4fc2-b564-e292dd92a154","11804"
"979","4","255901107","2011","2011-01-04","2011-02-21","33","NULL","2020-11-13 14:16:06.686793","2020-11-13 14:16:06.684149","ced9e1d2-90db-4845-a30e-e4417068fd1a","11807"
"972","5","255901107","2011","2011-02-22","2011-04-10","29","NULL","2020-11-13 14:16:06.689691","2020-11-13 14:16:06.689643","61e5bd9c-6528-4f23-a860-6b4de6826202","11809"
"985","6","255901044","2011","2011-04-11","2011-05-27","34","NULL","2020-11-13 14:16:06.696490","2020-11-13 14:16:06.696433","716a95e6-e212-4473-ad6f-666d0fa67c01","11812"
"981","2","255901001","2011","2010-10-04","2010-11-07","25","NULL","2020-11-13 14:16:06.659846","2020-11-13 14:16:06.657514","e81c3e38-13c6-4591-b275-a5c4c51eeb39","11798"
"988","3","255901001","2011","2010-11-08","2010-12-17","27","NULL","2020-11-13 14:16:06.672849","2020-11-13 14:16:06.672779","ffa327c9-3216-4d0a-98d8-53805276ac5c","11802"
"979","4","255901044","2011","2011-01-04","2011-02-21","33","NULL","2020-11-13 14:16:06.680572","2020-11-13 14:16:06.680528","79dd4dc8-02b5-4684-b83a-ba9aa988b9d7","11806"
"972","5","255901044","2011","2011-02-22","2011-04-10","29","NULL","2020-11-13 14:16:06.691412","2020-11-13 14:16:06.691344","0e228705-4332-422d-891e-34497258ee45","11810"
"985","6","255901107","2011","2011-04-11","2011-05-27","34","NULL","2020-11-13 14:16:06.697061","2020-11-13 14:16:06.696987","10c2ba12-e45b-472a-8bfa-dd252e17a108","11813"
"977","1","255901044","2011","2010-08-23","2010-10-03","29","NULL","2020-11-13 14:16:06.660091","2020-11-13 14:16:06.657520","a7c5317f-e449-4e4e-a3b8-83b487ffaca3","11796"
"981","2","255901044","2011","2010-10-04","2010-11-07","25","NULL","2020-11-13 14:16:06.671359","2020-11-13 14:16:06.671238","22a4fcfd-5edb-46b5-b436-d6c9b10646bd","11800"
"979","4","255901001","2011","2011-01-04","2011-02-21","33","NULL","2020-11-13 14:16:06.680494","2020-11-13 14:16:06.680356","f197e907-34d0-46f8-ad50-e08cfb4c78c3","11805"
"972","5","255901001","2011","2011-02-22","2011-04-10","29","NULL","2020-11-13 14:16:06.689339","2020-11-13 14:16:06.689275","bc9750ee-69b9-49fb-b442-cc1be4bd2b4a","11808"
"985","6","255901001","2011","2011-04-11","2011-05-27","34","NULL","2020-11-13 14:16:06.694893","2020-11-13 14:16:06.694798","f4e796af-23a0-44f3-aa06-ddbaa16b8d0e","11811"
