learningobjectiveid,namespace,objective,description,nomenclature,successcriteria,parentlearningobjectiveid,parentnamespace,discriminator,createdate,lastmodifieddate,id,changeversion
"163","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Geometry and Spatial Reasoning","The student will demonstrate an understanding of geometry and spatial reasoning.",,,,,"NULL","2020-11-13 14:15:33.735648","2020-11-13 14:15:33.727986","451d1623-a8f6-4dec-87d4-e9dea45f2f12","8713"
"239","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Probability and Statistics","The student will demonstrate an understanding of probability and statistics.",,,,,"NULL","2020-11-13 14:15:33.760360","2020-11-13 14:15:33.760198","053a09c5-3292-45f3-84f7-9ce275983e48","8718"
"24","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Basic Understanding","The student will demonstrate a basic understanding of culturally diverse written texts.",,,,,"NULL","2020-11-13 14:15:33.775722","2020-11-13 14:15:33.775568","5b205889-09f7-4199-94f0-ea11dc6a76d9","8724"
"213","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Numbers, Operations, and Quantitative Reasoning","The student will demonstrate an understanding of numbers, operations, and quantitative reasoning.",,,,,"NULL","2020-11-13 14:15:33.785715","2020-11-13 14:15:33.785525","f2de8089-ac3d-44e7-8934-5d64360c3413","8728"
"21","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Basic Understanding","The student will demonstrate a basic understanding of culturally diverse written texts.",,,,,"NULL","2020-11-13 14:15:33.796081","2020-11-13 14:15:33.795967","102584ef-7b70-460b-85b5-2c51166732fd","8732"
"191","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Mathematical Processes and Tools","The student will demonstrate an understanding of the mathematical processes and tools used in problem solving.",,,,,"NULL","2020-11-13 14:15:33.735764","2020-11-13 14:15:33.727984","dede9726-2c4f-40e3-9d78-db619d2b9d44","8716"
"254","uri://ed-fi.org/LearningObjective/LearningObjective.xml","CC.7.NS.2d","The Number System",,,,,"NULL","2020-11-13 14:15:33.735648","2020-11-13 14:15:33.727983","7101239a-76f0-4706-a3aa-ac115d3df7c2","8715"
"226","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Patterns, Relationships, and Algebraic Reasoning","The student will demonstrate an understanding of patterns, relationships, and algebraic reasoning.",,,,,"NULL","2020-11-13 14:15:33.760262","2020-11-13 14:15:33.760122","f8fd790e-73a0-4dca-9f80-4c04881daf5e","8717"
"12","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Analysis Using Critical Thinking Skills","The student will apply critical thinking skills to analyze culturally diverse written texts.",,,,,"NULL","2020-11-13 14:15:33.761414","2020-11-13 14:15:33.761184","316ebce6-124e-4b0d-a691-8f6ba16a3621","8720"
"181","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Literary Elements","The student will apply knowledge of literary elements to understand culturally diverse written texts.",,,,,"NULL","2020-11-13 14:15:33.774460","2020-11-13 14:15:33.774282","f2f95a82-e4cc-4a70-989c-128ffe472234","8722"
"197","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Measurement","The student will demonstrate an understanding of the concepts and uses of measurement.",,,,,"NULL","2020-11-13 14:15:33.784400","2020-11-13 14:15:33.784246","a38fb06a-d508-4f38-a011-4f3866ca646d","8726"
"236","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Probability and Statistics","The student will demonstrate an understanding of probability and statistics.",,,,,"NULL","2020-11-13 14:15:33.791161","2020-11-13 14:15:33.790705","6b061f41-30c4-467f-b608-06b151e50504","8729"
"178","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Literary Elements","The student will apply knowledge of literary elements to understand culturally diverse written texts.",,,,,"NULL","2020-11-13 14:15:33.795207","2020-11-13 14:15:33.794993","ff8fad4f-246e-4718-9159-9bcdedc4fba2","8731"
"200","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Measurement","The student will demonstrate an understanding of the concepts and uses of measurement.",,,,,"NULL","2020-11-13 14:15:33.735648","2020-11-13 14:15:33.727984","a0fc53f8-cd88-44fb-8372-af5e2ac4575a","8714"
"216","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Numbers, Operations, and Quantitative Reasoning","The student will demonstrate an understanding of numbers, operations, and quantitative reasoning.",,,,,"NULL","2020-11-13 14:15:33.760252","2020-11-13 14:15:33.760080","b465e75d-bf36-476c-b8e3-4fe2a9421d52","8719"
"18","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Analysis Using Reading Strategies","The student will use a variety of strategies to analyze culturally diverse written texts.",,,,,"NULL","2020-11-13 14:15:33.771166","2020-11-13 14:15:33.770876","9848228f-16f1-40bd-9bd0-6dc9932c2351","8721"
"160","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Geometry and Spatial Reasoning","The student will demonstrate an understanding of geometry and spatial reasoning.",,,,,"NULL","2020-11-13 14:15:33.774775","2020-11-13 14:15:33.774642","cf1c049f-afe1-4dfe-8281-436870f15217","8723"
"188","uri://ed-fi.org/LearningObjective/LearningObjective.xml","Mathematical Processes and Tools","The student will demonstrate an understanding of the mathematical processes and tools used in problem solving.",,,,,"NULL","2020-11-13 14:15:33.781176","2020-11-13 14:15:33.780956","b5658d25-134b-4be7-966f-9937d542c2c3","8725"
