academicsubjectdescriptorid,learningobjectiveid,namespace,createdate
"37","191","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.737554"
"37","200","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.738378"
"37","163","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.737554"
"37","254","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.738706"
"37","226","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.761056"
"37","216","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.761133"
"37","239","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.761113"
"35","12","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.762170"
"35","18","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.771947"
"35","181","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.775330"
"37","160","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.775544"
"35","24","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.776518"
"37","188","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.781923"
"37","197","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.785131"
"37","223","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.786191"
"37","213","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.786726"
"37","236","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.791940"
"35","15","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.794644"
"35","178","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.796567"
"35","21","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.796828"
"35","9","uri://ed-fi.org/LearningObjective/LearningObjective.xml","2020-11-13 14:15:33.801464"
