learningstandardid,description,learningstandarditemcode,uri,coursetitle,successcriteria,parentlearningstandardid,namespace,learningstandardcategorydescriptorid,learningstandardscopedescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"110.13.10","Reading/Comprehension of Literary Text/Literary Nonfiction. Students understand, make inferences and draw conclusions about the varied structural patterns and features of literary nonfiction and respond by providing evidence from text to support thei",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.343601","2020-11-13 14:15:12.330968","ea1c38d0-8379-4d69-a3a6-6a782777bf03","3112"
"110.13.12","Reading/Comprehension of Text/Independent Reading. Students read independently for sustained periods of time and produce evidence of their reading.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.405988","2020-11-13 14:15:12.405736","d0854082-decf-48e0-b1e3-7f5370adea16","3119"
"110.13.14.B","locate the facts that are clearly stated in a text.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.417988","2020-11-13 14:15:12.417757","8fd1d2b2-b6b9-4d71-aa78-c655a5b73554","3124"
"110.13.15.A","follow written multi-step directions.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.428732","2020-11-13 14:15:12.428469","8ac55c68-91ce-41d8-8e80-bd8dbd7f3d29","3128"
"110.13.16.A","recognize different purposes of media (e.g., informational, entertainment).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.438300","2020-11-13 14:15:12.438068","829e4029-5854-4c88-afe7-b931d4b3fc59","3131"
"110.13.17","Writing/Writing Process. Students use elements of the writing process (planning, drafting, revising, editing, and publishing) to compose text.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.447370","2020-11-13 14:15:12.447114","118f7de9-7952-42cf-969a-eb93d32c97f2","3134"
"110.13.17.E","publish and share writing with others.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.458300","2020-11-13 14:15:12.458062","3f65e71d-7cbb-423f-a58f-fcf8ab993638","3139"
"110.13.18.B","write short poems that convey sensory details.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.468231","2020-11-13 14:15:12.467971","9e1eb4b8-e725-4caa-af5c-cca091b88748","3142"
"110.13.2","Reading/Beginning Reading Skills/Phonics. Students use the relationships between letters and sounds, spelling patterns, and morphological analysis to decode written English. Students will continue to apply earlier standards with greater depth in incr",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.479147","2020-11-13 14:15:12.478876","1cad809b-afe1-4ef2-a9c1-22142f59f51e","3147"
"110.13.2.Aiv","decode multisyllabic words in context and independent of context by applying common letter-sound correspondences including vowel digraphs (e.g., ie, ue, ew) and diphthongs (e.g., oi, ou).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.490009","2020-11-13 14:15:12.489758","1793f746-4184-4514-b090-61d8a3f2c088","3151"
"110.13.2.Bi","use common syllabication patterns to decode words including closed syllable (CVC) (e.g., pic-nic, mon-ster).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.500691","2020-11-13 14:15:12.500443","4a302379-166e-4a4a-8d20-fd719897294e","3155"
"110.13.2.Bvi","use common syllabication patterns to decode words including vowel digraphs and diphthongs (e.g., boy-hood, oat-meal).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.511551","2020-11-13 14:15:12.511127","50fa626e-cdf3-45db-bbe0-810036814395","3159"
"110.13.2.E","identify and read abbreviations (e.g., Mr., Ave.).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.522257","2020-11-13 14:15:12.521950","0cda511d-3b2c-4455-96f8-89bdafdb9bfc","3163"
"110.13.20.A","write persuasive statements about issues that are important to the student for the appropriate audience in the school, home, or local community.",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.532460","2020-11-13 14:15:12.532218","1c539659-64d9-480d-ab33-0dda4eceb070","3167"
"110.13.21.Aiii","understand and use the following parts of speech in the context of reading, writing, and speaking adjectives (e.g., descriptive: old, wonderful; articles: a, an, the).",,,"English Language Arts and Reading, Grade 2, 2009-2010",,,"uri://ed-fi.org/LearningStandard/LearningStandard.xml",,"1582","NULL","2020-11-13 14:15:12.544010","2020-11-13 14:15:12.543721","f777fb8f-0ef4-46ca-b32b-5f4e601fc161","3172"
