academicsubjectdescriptorid,learningstandardid,createdate
"34","110.13.10","2020-11-13 14:15:12.346156"
"34","110.13.1.A","2020-11-13 14:15:12.346186"
"34","110.13.11","2020-11-13 14:15:12.364150"
"34","110.13.12","2020-11-13 14:15:12.406904"
"34","110.13.12.A","2020-11-13 14:15:12.406942"
"34","110.13.13.A","2020-11-13 14:15:12.417026"
"34","110.13.14.B","2020-11-13 14:15:12.418801"
"34","110.13.14.D","2020-11-13 14:15:12.428049"
"34","110.13.15.A","2020-11-13 14:15:12.429659"
"34","110.13.16","2020-11-13 14:15:12.438276"
"34","110.13.16.A","2020-11-13 14:15:12.439102"
"34","110.13.17","2020-11-13 14:15:12.448378"
"34","110.13.17.B","2020-11-13 14:15:12.450291"
"34","110.13.17.D","2020-11-13 14:15:12.458512"
"34","110.13.17.E","2020-11-13 14:15:12.459151"
"34","110.13.19.A","2020-11-13 14:15:12.469064"
"34","110.13.18.B","2020-11-13 14:15:12.469048"
"34","110.13.2.A","2020-11-13 14:15:12.479464"
"34","110.13.2","2020-11-13 14:15:12.480007"
"34","110.13.2.Aii","2020-11-13 14:15:12.490101"
"34","110.13.2.Aiv","2020-11-13 14:15:12.490901"
"34","110.13.2.Bii","2020-11-13 14:15:12.501511"
"34","110.13.2.Bi","2020-11-13 14:15:12.501564"
"34","110.13.2.Bv","2020-11-13 14:15:12.511503"
"34","110.13.2.Bvi","2020-11-13 14:15:12.512497"
"34","110.13.2.F","2020-11-13 14:15:12.522967"
"34","110.13.2.E","2020-11-13 14:15:12.523194"
"34","110.13.2.H","2020-11-13 14:15:12.532621"
"34","110.13.20.A","2020-11-13 14:15:12.533533"
"34","110.13.21.A","2020-11-13 14:15:12.542801"
"34","110.13.21.Aiii","2020-11-13 14:15:12.544868"
"34","110.13.21.Av","2020-11-13 14:15:12.554260"
"34","110.13.21.Avi","2020-11-13 14:15:12.555141"
"34","110.13.22.A","2020-11-13 14:15:12.566067"
"34","110.13.22","2020-11-13 14:15:12.566176"
"34","110.13.22.Bi","2020-11-13 14:15:12.577466"
"34","110.13.22.Bii","2020-11-13 14:15:12.577675"
"34","110.13.22.Ci","2020-11-13 14:15:12.588355"
"34","110.13.22.C","2020-11-13 14:15:12.588312"
"34","110.13.23.A","2020-11-13 14:15:12.599738"
"34","110.13.23.Bi","2020-11-13 14:15:12.601887"
"34","110.13.23.Biii","2020-11-13 14:15:12.610474"
"34","110.13.23.Bii","2020-11-13 14:15:12.610364"
"34","110.13.23.C","2020-11-13 14:15:12.620748"
"34","110.13.23.E","2020-11-13 14:15:12.620955"
"34","110.13.24.A","2020-11-13 14:15:12.632779"
"34","110.13.24.B","2020-11-13 14:15:12.632953"
"34","110.13.25.B","2020-11-13 14:15:12.643464"
"34","110.13.25.C","2020-11-13 14:15:12.644239"
"34","110.13.27.A","2020-11-13 14:15:12.655193"
"34","110.13.27","2020-11-13 14:15:12.655193"
"34","110.13.28.B","2020-11-13 14:15:12.668470"
"34","110.13.29.A","2020-11-13 14:15:12.668864"
"34","110.13.3.A","2020-11-13 14:15:12.678881"
"34","110.13.3.C","2020-11-13 14:15:12.679777"
"34","110.13.30.A","2020-11-13 14:15:12.690511"
"34","110.13.4","2020-11-13 14:15:12.691209"
"34","110.13.5.B","2020-11-13 14:15:12.702453"
"34","110.13.5.A","2020-11-13 14:15:12.703089"
"34","110.13.6","2020-11-13 14:15:12.715378"
"34","110.13.5.D","2020-11-13 14:15:12.715412"
"34","110.13.7","2020-11-13 14:15:12.835903"
"34","110.13.7.A","2020-11-13 14:15:12.838833"
"34","110.13.9.A","2020-11-13 14:15:12.847696"
"34","110.13.9.B","2020-11-13 14:15:12.848989"
"34","110.13.RC.B","2020-11-13 14:15:12.859472"
"34","110.13.RC.D","2020-11-13 14:15:12.862577"
"34","110.13.RC.E","2020-11-13 14:15:12.866347"
"34","110.13.RC.F","2020-11-13 14:15:12.871881"
"34","110.14.1.A","2020-11-13 14:15:12.874457"
"34","110.14.1.Aiii","2020-11-13 14:15:12.883468"
"34","110.14.1.Aiv","2020-11-13 14:15:12.883963"
"34","110.14.1.B","2020-11-13 14:15:12.894351"
"34","110.14.1.Bii","2020-11-13 14:15:12.894724"
"34","110.14.1.C","2020-11-13 14:15:12.906537"
"34","110.14.1.D","2020-11-13 14:15:12.912117"
"34","110.14.1.E","2020-11-13 14:15:12.913922"
"34","110.14.10.A","2020-11-13 14:15:12.917932"
"34","110.14.11","2020-11-13 14:15:12.922864"
"34","110.14.11.A","2020-11-13 14:15:12.923967"
"34","110.14.12.A","2020-11-13 14:15:12.928544"
"34","110.14.13.A","2020-11-13 14:15:12.933143"
"34","110.14.13.B","2020-11-13 14:15:12.944219"
"34","110.14.15.A","2020-11-13 14:15:12.958510"
"34","110.14.15.B","2020-11-13 14:15:12.958435"
"34","110.14.16.B","2020-11-13 14:15:12.971820"
"34","110.14.16.A","2020-11-13 14:15:12.972396"
"34","110.14.17","2020-11-13 14:15:12.985293"
"34","110.14.17.A","2020-11-13 14:15:12.986664"
"34","110.14.18","2020-11-13 14:15:12.998689"
"34","110.14.17.E","2020-11-13 14:15:13.000952"
"34","110.14.18.A","2020-11-13 14:15:13.007460"
"34","110.14.18.B","2020-11-13 14:15:13.009901"
"34","110.14.19.A","2020-11-13 14:15:13.016060"
"34","110.14.2","2020-11-13 14:15:13.020066"
"34","110.14.2.C","2020-11-13 14:15:13.030991"
"34","110.14.20.Aii","2020-11-13 14:15:13.042619"
"34","110.14.20.Aiii","2020-11-13 14:15:13.046056"
"34","110.14.20.C","2020-11-13 14:15:13.052764"
"34","110.14.21.A","2020-11-13 14:15:13.060306"
"34","110.14.22","2020-11-13 14:15:13.062026"
"34","110.14.22.Ai","2020-11-13 14:15:13.072565"
"34","110.14.22.Aiv","2020-11-13 14:15:13.075367"
"34","110.14.22.Avi","2020-11-13 14:15:13.088096"
"34","110.14.22.Aviii","2020-11-13 14:15:13.090763"
"34","110.14.22.B","2020-11-13 14:15:13.098967"
"34","110.14.22.C","2020-11-13 14:15:13.100635"
"34","110.14.23.B","2020-11-13 14:15:13.111899"
"34","110.14.23.Bii","2020-11-13 14:15:13.112932"
"34","110.14.23.Ci","2020-11-13 14:15:13.123327"
"34","110.14.23.Cii","2020-11-13 14:15:13.124900"
"34","110.14.24","2020-11-13 14:15:13.133671"
"34","110.14.23.D","2020-11-13 14:15:13.134503"
"34","110.14.24.Bii","2020-11-13 14:15:13.145686"
"34","110.14.24.B","2020-11-13 14:15:13.145595"
"34","110.14.24.Biii","2020-11-13 14:15:13.152459"
"34","110.14.24.Bv","2020-11-13 14:15:13.159143"
"34","110.14.24.D","2020-11-13 14:15:13.165742"
"34","110.14.24.E","2020-11-13 14:15:13.169596"
"34","110.14.24.G","2020-11-13 14:15:13.175129"
"34","110.14.25.A","2020-11-13 14:15:13.180087"
"34","110.14.26","2020-11-13 14:15:13.185025"
"34","110.14.26.Ai","2020-11-13 14:15:13.191059"
"34","110.14.26.Aii","2020-11-13 14:15:13.191936"
"34","110.14.26.B","2020-11-13 14:15:13.199749"
"34","110.14.26.D","2020-11-13 14:15:13.203051"
"34","110.14.28","2020-11-13 14:15:13.212822"
"34","110.14.28.A","2020-11-13 14:15:13.218800"
"34","110.14.29","2020-11-13 14:15:13.221511"
"34","110.14.3","2020-11-13 14:15:13.229421"
"34","110.14.30","2020-11-13 14:15:13.233906"
"34","110.14.31.A","2020-11-13 14:15:13.243722"
"34","110.14.4.B","2020-11-13 14:15:13.254990"
"34","110.14.4.C","2020-11-13 14:15:13.255010"
"34","110.14.5.A","2020-11-13 14:15:13.265203"
"34","110.14.7","2020-11-13 14:15:13.275335"
"34","110.14.8","2020-11-13 14:15:13.280333"
"34","110.14.8.B","2020-11-13 14:15:13.285147"
"34","110.14.9","2020-11-13 14:15:13.290085"
"34","110.14.RC.A","2020-11-13 14:15:13.294608"
"34","110.14.RC.C","2020-11-13 14:15:13.299531"
"34","110.14.RC.E","2020-11-13 14:15:13.304438"
"34","110.14.RC.F","2020-11-13 14:15:13.307327"
"34","110.15.1","2020-11-13 14:15:13.309461"
"34","110.15.10","2020-11-13 14:15:13.313620"
"34","110.15.11","2020-11-13 14:15:13.318646"
"34","110.15.11.B","2020-11-13 14:15:13.323253"
"34","110.15.11.C","2020-11-13 14:15:13.326483"
"34","110.15.12","2020-11-13 14:15:13.332783"
"34","110.15.12.A","2020-11-13 14:15:13.334149"
"34","110.15.13.B","2020-11-13 14:15:13.343077"
"34","110.15.14","2020-11-13 14:15:13.344732"
"34","110.13.1","2020-11-13 14:15:12.346466"
"34","110.13.11.A","2020-11-13 14:15:12.406990"
"34","110.13.14.A","2020-11-13 14:15:12.418429"
"34","110.13.15","2020-11-13 14:15:12.429243"
"34","110.13.15.B","2020-11-13 14:15:12.437255"
"34","110.13.16.C","2020-11-13 14:15:12.447728"
"34","110.13.18","2020-11-13 14:15:12.460031"
"34","110.13.18.A","2020-11-13 14:15:12.467854"
"34","110.13.19.B","2020-11-13 14:15:12.478455"
"34","110.13.2.Aiii","2020-11-13 14:15:12.491799"
"34","110.13.2.B","2020-11-13 14:15:12.500192"
"34","110.13.2.Biv","2020-11-13 14:15:12.511531"
"34","110.13.2.D","2020-11-13 14:15:12.521744"
