learningstandardid,title,version,uri,publicationdate,publicationyear,publicationstatusdescriptorid,mandatingeducationorganizationid,begindate,enddate,createdate
"110.13.10","State Standard",,,,,,,,,"2020-11-13 14:15:12.346087"
"110.13.10.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.346316"
"110.13.12","State Standard",,,,,,,,,"2020-11-13 14:15:12.406855"
"110.13.13","State Standard",,,,,,,,,"2020-11-13 14:15:12.407674"
"110.13.14","State Standard",,,,,,,,,"2020-11-13 14:15:12.417179"
"110.13.14.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.418730"
"110.13.14.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.427330"
"110.13.15.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.429579"
"110.13.16.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.439059"
"110.13.16.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.439975"
"110.13.17","State Standard",,,,,,,,,"2020-11-13 14:15:12.448283"
"110.13.17.A","State Standard",,,,,,,,,"2020-11-13 14:15:12.448495"
"110.13.17.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.457964"
"110.13.17.E","State Standard",,,,,,,,,"2020-11-13 14:15:12.459108"
"110.13.18.B","State Standard",,,,,,,,,"2020-11-13 14:15:12.468976"
"110.13.19","State Standard",,,,,,,,,"2020-11-13 14:15:12.469284"
"110.13.2","State Standard",,,,,,,,,"2020-11-13 14:15:12.479918"
"110.13.19.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.481229"
"110.13.2.Ai","State Standard",,,,,,,,,"2020-11-13 14:15:12.489095"
"110.13.2.Aiv","State Standard",,,,,,,,,"2020-11-13 14:15:12.490836"
"110.13.2.Bi","State Standard",,,,,,,,,"2020-11-13 14:15:12.501502"
"110.13.2.Biii","State Standard",,,,,,,,,"2020-11-13 14:15:12.501758"
"110.13.2.Bvi","State Standard",,,,,,,,,"2020-11-13 14:15:12.512401"
"110.13.2.C","State Standard",,,,,,,,,"2020-11-13 14:15:12.513084"
