gradeleveldescriptorid,learningstandardid,createdate
"955","110.13.1.A","2020-11-13 14:15:12.347872"
"955","110.13.11","2020-11-13 14:15:12.364578"
"955","110.13.12.A","2020-11-13 14:15:12.407481"
"955","110.13.13.A","2020-11-13 14:15:12.417436"
"955","110.13.14.D","2020-11-13 14:15:12.428370"
"955","110.13.16","2020-11-13 14:15:12.438714"
"955","110.13.17.B","2020-11-13 14:15:12.450730"
"955","110.13.17.D","2020-11-13 14:15:12.458931"
"955","110.13.19.A","2020-11-13 14:15:12.469478"
"955","110.13.2.A","2020-11-13 14:15:12.479887"
"955","110.13.2.Aii","2020-11-13 14:15:12.490699"
"955","110.13.2.Bii","2020-11-13 14:15:12.501907"
"955","110.13.2.Bv","2020-11-13 14:15:12.511939"
"955","110.13.2.F","2020-11-13 14:15:12.523332"
"955","110.13.2.H","2020-11-13 14:15:12.533042"
"955","110.13.21.A","2020-11-13 14:15:12.543274"
"955","110.13.21.Av","2020-11-13 14:15:12.554635"
"955","110.13.22","2020-11-13 14:15:12.566614"
"955","110.13.22.Bi","2020-11-13 14:15:12.577922"
"955","110.13.22.Ci","2020-11-13 14:15:12.588763"
"955","110.13.23.A","2020-11-13 14:15:12.600161"
"955","110.13.23.Biii","2020-11-13 14:15:12.610894"
"955","110.13.23.C","2020-11-13 14:15:12.621186"
"955","110.13.24.A","2020-11-13 14:15:12.633326"
"955","110.13.25.B","2020-11-13 14:15:12.644136"
"955","110.13.27","2020-11-13 14:15:12.655643"
"955","110.13.28.B","2020-11-13 14:15:12.668886"
"955","110.13.3.A","2020-11-13 14:15:12.679308"
"955","110.13.30.A","2020-11-13 14:15:12.691048"
"955","110.13.5.B","2020-11-13 14:15:12.702882"
"955","110.13.5.D","2020-11-13 14:15:12.715873"
"955","110.13.7","2020-11-13 14:15:12.836463"
"955","110.13.9.A","2020-11-13 14:15:12.848107"
"955","110.13.RC.B","2020-11-13 14:15:12.860121"
"955","110.13.RC.E","2020-11-13 14:15:12.866828"
"955","110.13.RC.F","2020-11-13 14:15:12.872315"
"958","110.14.1.Aiii","2020-11-13 14:15:12.883854"
"958","110.14.1.B","2020-11-13 14:15:12.894804"
"958","110.14.1.C","2020-11-13 14:15:12.906912"
"958","110.14.1.D","2020-11-13 14:15:12.912617"
"958","110.14.10.A","2020-11-13 14:15:12.918362"
"958","110.14.11","2020-11-13 14:15:12.923247"
"958","110.14.12.A","2020-11-13 14:15:12.929019"
"958","110.14.13.A","2020-11-13 14:15:12.933571"
"958","110.14.13.B","2020-11-13 14:15:12.944864"
"958","110.14.15.A","2020-11-13 14:15:12.959153"
"958","110.14.16.B","2020-11-13 14:15:12.972276"
"958","110.14.17","2020-11-13 14:15:12.985774"
"958","110.14.18","2020-11-13 14:15:12.999287"
"958","110.14.18.A","2020-11-13 14:15:13.007849"
"958","110.14.19.A","2020-11-13 14:15:13.016504"
"958","110.14.2.C","2020-11-13 14:15:13.031416"
"958","110.14.20.Aiii","2020-11-13 14:15:13.046830"
"958","110.14.20.C","2020-11-13 14:15:13.053648"
"958","110.14.22","2020-11-13 14:15:13.062481"
"958","110.14.22.Ai","2020-11-13 14:15:13.073191"
"958","110.14.22.Aviii","2020-11-13 14:15:13.091159"
"958","110.14.22.C","2020-11-13 14:15:13.101089"
"958","110.14.23.B","2020-11-13 14:15:13.112822"
"958","110.14.23.Ci","2020-11-13 14:15:13.123726"
"958","110.14.23.D","2020-11-13 14:15:13.134960"
"958","110.14.24.B","2020-11-13 14:15:13.146343"
"958","110.14.24.Biii","2020-11-13 14:15:13.154393"
"958","110.14.24.Bv","2020-11-13 14:15:13.159720"
"958","110.14.24.D","2020-11-13 14:15:13.166137"
"958","110.14.24.E","2020-11-13 14:15:13.169991"
"958","110.14.25.A","2020-11-13 14:15:13.180497"
"958","110.14.26","2020-11-13 14:15:13.185521"
"958","110.14.26.Ai","2020-11-13 14:15:13.191506"
"958","110.14.26.D","2020-11-13 14:15:13.203522"
"958","110.14.28","2020-11-13 14:15:13.213216"
"958","110.14.28.A","2020-11-13 14:15:13.219226"
"958","110.14.3","2020-11-13 14:15:13.229833"
"958","110.14.4.B","2020-11-13 14:15:13.255401"
"958","110.14.5.A","2020-11-13 14:15:13.265655"
"958","110.14.7","2020-11-13 14:15:13.275698"
"958","110.14.8","2020-11-13 14:15:13.280734"
"958","110.14.8.B","2020-11-13 14:15:13.285623"
"958","110.14.9","2020-11-13 14:15:13.290496"
"958","110.14.RC.A","2020-11-13 14:15:13.295008"
"958","110.14.RC.C","2020-11-13 14:15:13.299886"
"958","110.14.RC.E","2020-11-13 14:15:13.304887"
"945","110.15.1","2020-11-13 14:15:13.309846"
"945","110.15.10","2020-11-13 14:15:13.313991"
"945","110.15.11","2020-11-13 14:15:13.319052"
"945","110.15.11.B","2020-11-13 14:15:13.323597"
"945","110.15.12","2020-11-13 14:15:13.333356"
"945","110.15.13.B","2020-11-13 14:15:13.343864"
"945","110.15.14.B","2020-11-13 14:15:13.350777"
"945","110.15.15.A","2020-11-13 14:15:13.356549"
"945","110.15.15.D","2020-11-13 14:15:13.364368"
"945","110.15.16.A","2020-11-13 14:15:13.374494"
