classroomidentificationcode,schoolid,maximumnumberofseats,optimalnumberofseats,discriminator,createdate,lastmodifieddate,id,changeversion
"104","255901107","20","18","NULL","2020-11-13 14:15:11.518269","2020-11-13 14:15:11.517091","fe6d070a-c960-4321-b1fd-1298761eddce","3031"
"106","255901107","20","18","NULL","2020-11-13 14:15:11.528009","2020-11-13 14:15:11.527920","22d73f2c-78e9-42b0-8ba9-fcd817f84caa","3035"
"203","255901107","20","18","NULL","2020-11-13 14:15:11.534455","2020-11-13 14:15:11.534389","0de0aad0-4e69-4d15-b68a-edd44c199a2a","3041"
"205","255901107","20","18","NULL","2020-11-13 14:15:11.539234","2020-11-13 14:15:11.539148","9d593d92-026b-415c-b0a6-6e5dcc34bc42","3043"
"303","255901107","20","18","NULL","2020-11-13 14:15:11.545892","2020-11-13 14:15:11.545816","ba8987de-aa45-4377-8d56-2883b8a0114d","3048"
"504","255901107","20","18","NULL","2020-11-13 14:15:11.552297","2020-11-13 14:15:11.552226","d167cb97-720f-4e5c-9a33-489b39b14635","3053"
"506","255901107","20","18","NULL","2020-11-13 14:15:11.556245","2020-11-13 14:15:11.556171","8183bcd7-d4d2-4cd6-ae46-cb1ade92d7fc","3056"
"110","255901044","30","27","NULL","2020-11-13 14:15:11.560881","2020-11-13 14:15:11.560800","f2aaac1f-d8d0-4315-9ea5-497b8d04ca98","3059"
"113","255901044","30","27","NULL","2020-11-13 14:15:11.562988","2020-11-13 14:15:11.562930","7f05b9fd-00a3-49c9-be91-e3d19078ab59","3062"
"210","255901044","30","27","NULL","2020-11-13 14:15:11.567720","2020-11-13 14:15:11.567633","578033d7-bd46-4725-b6ad-e49721c0d3b0","3065"
"212","255901044","30","27","NULL","2020-11-13 14:15:11.572606","2020-11-13 14:15:11.572478","3084508d-8684-4c12-aab7-e5426fce609b","3067"
"GYM-S","255901044","250","225","NULL","2020-11-13 14:15:11.578725","2020-11-13 14:15:11.578645","c919faae-8171-41ba-a6cf-929c0c44ac83","3071"
"221","255901001","50","48","NULL","2020-11-13 14:15:11.587306","2020-11-13 14:15:11.587248","2a89504d-f4c4-427d-a0f5-c7f6a6226dfb","3078"
"222","255901001","50","48","NULL","2020-11-13 14:15:11.823666","2020-11-13 14:15:11.823527","ce17b372-95af-4b03-8799-5278cc3e656e","3079"
"322","255901001","50","48","NULL","2020-11-13 14:15:11.829897","2020-11-13 14:15:11.829217","438e6865-b393-4174-9bbe-057f0324a3dd","3084"
"103","255901107","20","18","NULL","2020-11-13 14:15:11.518269","2020-11-13 14:15:11.517092","e94e6c0a-fde0-4e23-affb-1c2745aa650e","3034"
"101","255901107","20","18","NULL","2020-11-13 14:15:11.518272","2020-11-13 14:15:11.517091","641fa67c-3052-4548-8bfb-a375d757658e","3033"
"105","255901107","20","18","NULL","2020-11-13 14:15:11.528269","2020-11-13 14:15:11.528182","847afb6e-7936-4b6d-a25a-dbc58c60b1c2","3036"
"108","255901107","20","18","NULL","2020-11-13 14:15:11.529658","2020-11-13 14:15:11.529599","8fbebc92-cb60-4685-86ed-11cb7207b997","3038"
"201","255901107","20","18","NULL","2020-11-13 14:15:11.533562","2020-11-13 14:15:11.533445","22a275fa-892b-4393-a044-08049f9d4b3d","3039"
"204","255901107","20","18","NULL","2020-11-13 14:15:11.535696","2020-11-13 14:15:11.535654","2d84cd6d-8d0a-4839-9ba0-db56ce2c18c5","3042"
"207","255901107","20","18","NULL","2020-11-13 14:15:11.540504","2020-11-13 14:15:11.540463","719678b8-06ea-4222-808c-402e06e12bb2","3045"
"208","255901107","20","18","NULL","2020-11-13 14:15:11.541341","2020-11-13 14:15:11.541284","3db415c6-52de-48b5-8b7b-f6395b1e7f43","3046"
