assessmentidentifier,identificationcode,namespace,maxrawscore,percentofassessment,nomenclature,description,parentidentificationcode,academicsubjectdescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","1.00000","0.0392",,,,"37","NULL","2020-11-13 14:16:18.737059","2020-11-13 14:16:18.725578","bb436295-b469-441e-a565-1fd475f2c296","13576"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","2.00000","0.0784",,,,"37","NULL","2020-11-13 14:16:18.759320","2020-11-13 14:16:18.758873","f80da5a7-5029-483a-a084-6a63eef409a1","13582"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","5.00000","0.1961",,,,"37","NULL","2020-11-13 14:16:18.776114","2020-11-13 14:16:18.775765","1a7eb6f6-3951-48a8-97d4-4791878639ab","13585"
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-3","uri://ed-fi.org/Assessment/Assessment.xml","7.00000","0.1400",,,,"37","NULL","2020-11-13 14:16:18.851391","2020-11-13 14:16:18.848663","54d19c66-6fd9-4e5f-8072-b7fd5dc69806","13588"
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-6","uri://ed-fi.org/Assessment/Assessment.xml","10.00000","0.2000",,,,"37","NULL","2020-11-13 14:16:18.886145","2020-11-13 14:16:18.885001","056d0feb-130c-4d1b-966d-18d701962b9f","13593"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","7.00000","0.1591",,,,"37","NULL","2020-11-13 14:16:18.901345","2020-11-13 14:16:18.898573","3a61ffec-1eee-44e3-a189-3eca506a30d0","13595"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","8.00000","0.1818",,,,"37","NULL","2020-11-13 14:16:18.923170","2020-11-13 14:16:18.922188","b523381e-701c-4c36-878d-97b5f59c7ca0","13599"
"SA-2011-Reading-Eighth grade","State Assessment_Reading8-3","uri://ed-fi.org/Assessment/Assessment.xml","10.00000","0.2083",,,,"35","NULL","2020-11-13 14:16:18.935822","2020-11-13 14:16:18.934984","1d49703d-38cf-410e-9471-8d07f709f09c","13602"
"SA-2011-Reading-Fifth grade","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","8.00000","0.1905",,,,"35","NULL","2020-11-13 14:16:18.950283","2020-11-13 14:16:18.949407","7ea18d66-ce0e-4bad-a802-69423a74f98b","13606"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","1.00000","0.0392",,,,"37","NULL","2020-11-13 14:16:18.737086","2020-11-13 14:16:18.725709","4542d51f-9b26-4310-a339-1b80677c2555","13578"
