assessmentidentifier,identificationcode,learningstandardid,namespace,createdate
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-3","111.24.NA.8.3.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.854244"
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-1","111.24.NA.8.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.854799"
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-2","111.24.NA.8.2.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.855146"
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-4","111.24.NA.8.4.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.865683"
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-5","111.24.NA.8.5.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.884506"
"SA-2011-Mathematics-Eighth grade","State Assessment_Mathematics8-6","111.24.NA.8.6.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.887176"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-1","111.17.5.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.899358"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-3","111.17.5.3.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.903517"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-2","111.17.5.2.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.904223"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-4","111.17.5.4.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.906560"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-5","111.17.5.5.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.922257"
"SA-2011-Mathematics-Fifth grade","State Assessment_Mathematics5-6","111.17.5.6.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.924341"
"SA-2011-Reading-Eighth grade","State Assessment_Reading8-1","110.20.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.926964"
"SA-2011-Reading-Eighth grade","State Assessment_Reading8-2","110.20.2.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.928722"
"SA-2011-Reading-Eighth grade","State Assessment_Reading8-3","110.20.3.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.936871"
"SA-2011-Reading-Eighth grade","State Assessment_Reading8-4","110.20.4.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.937497"
"SA-2011-Reading-Fifth grade","State Assessment_Reading5-1","110.16.1.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.939950"
"SA-2011-Reading-Fifth grade","State Assessment_Reading5-2","110.16.2.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.944376"
"SA-2011-Reading-Fifth grade","State Assessment_Reading5-3","110.16.3.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.955334"
"SA-2011-Reading-Fifth grade","State Assessment_Reading5-4","110.16.4.A","uri://ed-fi.org/Assessment/Assessment.xml","2020-11-13 14:16:18.955955"
