assessmentidentifier,assessmentreportingmethoddescriptorid,identificationcode,namespace,performanceleveldescriptorid,minimumscore,maximumscore,resultdatatypetypedescriptorid,createdate
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-3","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","4","2012","2020-11-13 14:16:18.854652"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","6","7","2012","2020-11-13 14:16:18.858654"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-3","uri://ed-fi.org/Assessment/Assessment.xml","1714","5","7","2012","2020-11-13 14:16:18.858689"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","6","2012","2020-11-13 14:16:18.855215"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","6","2012","2020-11-13 14:16:18.854837"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","9","10","2012","2020-11-13 14:16:18.862780"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","9","10","2012","2020-11-13 14:16:18.862985"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-2","uri://ed-fi.org/Assessment/Assessment.xml","1714","7","10","2012","2020-11-13 14:16:18.862819"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","7","10","2012","2020-11-13 14:16:18.863011"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-4","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","3","2012","2020-11-13 14:16:18.865732"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","5","5","2012","2020-11-13 14:16:18.866812"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","4","5","2012","2020-11-13 14:16:18.866827"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-5","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","5","2012","2020-11-13 14:16:18.884582"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-5","uri://ed-fi.org/Assessment/Assessment.xml","1710","7","8","2012","2020-11-13 14:16:18.885303"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-5","uri://ed-fi.org/Assessment/Assessment.xml","1714","6","8","2012","2020-11-13 14:16:18.885324"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-6","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","6","2012","2020-11-13 14:16:18.887218"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-6","uri://ed-fi.org/Assessment/Assessment.xml","1710","9","10","2012","2020-11-13 14:16:18.887863"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-6","uri://ed-fi.org/Assessment/Assessment.xml","1714","7","10","2012","2020-11-13 14:16:18.887911"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","7","2012","2020-11-13 14:16:18.899409"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","10","11","2012","2020-11-13 14:16:18.902237"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","8","11","2012","2020-11-13 14:16:18.902278"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","4","2012","2020-11-13 14:16:18.903568"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","1710","6","7","2012","2020-11-13 14:16:18.904077"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","4","2012","2020-11-13 14:16:18.904251"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","1714","5","7","2012","2020-11-13 14:16:18.904090"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","6","7","2012","2020-11-13 14:16:18.904797"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","1714","5","7","2012","2020-11-13 14:16:18.904811"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","4","2012","2020-11-13 14:16:18.906597"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","1710","6","7","2012","2020-11-13 14:16:18.909994"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","5","7","2012","2020-11-13 14:16:18.910033"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","3","2012","2020-11-13 14:16:18.922300"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","1710","5","5","2012","2020-11-13 14:16:18.923009"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","1714","4","5","2012","2020-11-13 14:16:18.923037"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","5","2012","2020-11-13 14:16:18.924415"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","1710","7","8","2012","2020-11-13 14:16:18.924951"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","1714","6","8","2012","2020-11-13 14:16:18.924978"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","9","2012","2020-11-13 14:16:18.927011"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","11","12","2012","2020-11-13 14:16:18.927713"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","10","12","2012","2020-11-13 14:16:18.927748"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","0","6","2012","2020-11-13 14:16:18.928758"
"SA-2011-Reading-Eighth grade","214","State Assessment_Reading8-2","uri://ed-fi.org/Assessment/Assessment.xml","1710","9","10","2012","2020-11-13 14:16:18.929806"
