assessmentidentifier,assessmentreportingmethoddescriptorid,identificationcode,namespace,minimumscore,maximumscore,resultdatatypetypedescriptorid,createdate
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","0","1.5","2011","2020-11-13 14:16:18.739961"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","0","1","2011","2020-11-13 14:16:18.739839"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","0","3","2011","2020-11-13 14:16:18.742430"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","0","1","2011","2020-11-13 14:16:18.742482"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","0","2","2011","2020-11-13 14:16:18.760571"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","0","4","2011","2020-11-13 14:16:18.761244"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","0","2","2011","2020-11-13 14:16:18.762699"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","0","1","2011","2020-11-13 14:16:18.767418"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","0","1","2011","2020-11-13 14:16:18.777093"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","0","5","2011","2020-11-13 14:16:18.777232"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","0","3","2011","2020-11-13 14:16:18.778378"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","0","1","2011","2020-11-13 14:16:18.816667"
"SA-2011-Mathematics-Eighth grade","213","State Assessment_Mathematics8-3","uri://ed-fi.org/Assessment/Assessment.xml","0","7","2012","2020-11-13 14:16:18.858699"
"SA-2011-Mathematics-Eighth grade","213","State Assessment_Mathematics8-1","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:18.863023"
"SA-2011-Mathematics-Eighth grade","213","State Assessment_Mathematics8-2","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:18.862832"
"SA-2011-Mathematics-Eighth grade","213","State Assessment_Mathematics8-4","uri://ed-fi.org/Assessment/Assessment.xml","0","5","2012","2020-11-13 14:16:18.866836"
"SA-2011-Mathematics-Eighth grade","213","State Assessment_Mathematics8-5","uri://ed-fi.org/Assessment/Assessment.xml","0","8","2012","2020-11-13 14:16:18.885334"
"SA-2011-Mathematics-Eighth grade","213","State Assessment_Mathematics8-6","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:18.888026"
"SA-2011-Mathematics-Fifth grade","213","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","0","11","2012","2020-11-13 14:16:18.902289"
"SA-2011-Mathematics-Fifth grade","213","State Assessment_Mathematics5-3","uri://ed-fi.org/Assessment/Assessment.xml","0","7","2012","2020-11-13 14:16:18.904099"
"SA-2011-Mathematics-Fifth grade","213","State Assessment_Mathematics5-2","uri://ed-fi.org/Assessment/Assessment.xml","0","7","2012","2020-11-13 14:16:18.904820"
"SA-2011-Mathematics-Fifth grade","213","State Assessment_Mathematics5-4","uri://ed-fi.org/Assessment/Assessment.xml","0","7","2012","2020-11-13 14:16:18.910046"
"SA-2011-Mathematics-Fifth grade","213","State Assessment_Mathematics5-5","uri://ed-fi.org/Assessment/Assessment.xml","0","5","2012","2020-11-13 14:16:18.923048"
"SA-2011-Mathematics-Fifth grade","213","State Assessment_Mathematics5-6","uri://ed-fi.org/Assessment/Assessment.xml","0","8","2012","2020-11-13 14:16:18.924999"
"SA-2011-Reading-Eighth grade","213","State Assessment_Reading8-1","uri://ed-fi.org/Assessment/Assessment.xml","0","12","2012","2020-11-13 14:16:18.927757"
"SA-2011-Reading-Eighth grade","213","State Assessment_Reading8-2","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:18.929849"
"SA-2011-Reading-Eighth grade","213","State Assessment_Reading8-3","uri://ed-fi.org/Assessment/Assessment.xml","0","10","2012","2020-11-13 14:16:18.937498"
"SA-2011-Reading-Eighth grade","213","State Assessment_Reading8-4","uri://ed-fi.org/Assessment/Assessment.xml","0","16","2012","2020-11-13 14:16:18.938246"
"SA-2011-Reading-Fifth grade","213","State Assessment_Reading5-1","uri://ed-fi.org/Assessment/Assessment.xml","0","13","2012","2020-11-13 14:16:18.940721"
"SA-2011-Reading-Fifth grade","213","State Assessment_Reading5-2","uri://ed-fi.org/Assessment/Assessment.xml","0","8","2012","2020-11-13 14:16:18.945074"
"SA-2011-Reading-Fifth grade","213","State Assessment_Reading5-3","uri://ed-fi.org/Assessment/Assessment.xml","0","8","2012","2020-11-13 14:16:18.956113"
"SA-2011-Reading-Fifth grade","213","State Assessment_Reading5-4","uri://ed-fi.org/Assessment/Assessment.xml","0","13","2012","2020-11-13 14:16:18.956665"
