identificationdocumentusedescriptorid,parentusi,personalinformationverificationdescriptorid,documenttitle,documentexpirationdate,issuerdocumentidentificationcode,issuername,issuercountrydescriptorid,createdate
"1012","2","1735",,,,,,"2020-11-13 14:15:47.692918"
"1012","1","1723",,,,,,"2020-11-13 14:15:47.692901"
"1012","3","1728",,,,,,"2020-11-13 14:15:47.692908"
"1012","4","1726",,,,,,"2020-11-13 14:15:47.694597"
"1012","5","1729",,,,,,"2020-11-13 14:15:47.725173"
"1012","6","1726",,,,,,"2020-11-13 14:15:47.727274"
"1012","7","1734",,,,,,"2020-11-13 14:15:47.732647"
"1012","8","1737",,,,,,"2020-11-13 14:15:47.738895"
"1012","9","1737",,,,,,"2020-11-13 14:15:47.751480"
"1012","10","1734",,,,,,"2020-11-13 14:15:47.754535"
"1012","11","1725",,,,,,"2020-11-13 14:15:47.755174"
"1012","12","1737",,,,,,"2020-11-13 14:15:47.764383"
"1012","13","1727",,,,,,"2020-11-13 14:15:47.776498"
"1012","14","1737",,,,,,"2020-11-13 14:15:47.777201"
"1012","15","1725",,,,,,"2020-11-13 14:15:47.777838"
"1012","16","1723",,,,,,"2020-11-13 14:15:47.789756"
"1012","18","1727",,,,,,"2020-11-13 14:15:47.799701"
"1012","17","1731",,,,,,"2020-11-13 14:15:47.799761"
"1012","19","1736",,,,,,"2020-11-13 14:15:47.800676"
"1012","20","1734",,,,,,"2020-11-13 14:15:47.820850"
"1012","21","1733",,,,,,"2020-11-13 14:15:47.821154"
"1012","22","1733",,,,,,"2020-11-13 14:15:47.823444"
"1012","23","1731",,,,,,"2020-11-13 14:15:47.841707"
"1012","24","1734",,,,,,"2020-11-13 14:15:47.842045"
"1012","25","1725",,,,,,"2020-11-13 14:15:47.844625"
"1012","26","1730",,,,,,"2020-11-13 14:15:47.846169"
"1012","28","1729",,,,,,"2020-11-13 14:15:47.871293"
"1012","27","1729",,,,,,"2020-11-13 14:15:47.871166"
