personid,sourcesystemdescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"778137","2092","NULL","2020-11-13 14:15:46.097130","2020-11-13 14:15:46.096510","fbd07713-5957-442d-b7e5-23c00821bb1a","8829"
"207284","2092","NULL","2020-11-13 14:15:46.321046","2020-11-13 14:15:46.320962","3b26f4d3-73c9-4146-b9f3-865332ecfda9","8885"
"207227","2092","NULL","2020-11-13 14:15:46.322952","2020-11-13 14:15:46.322890","17d540aa-9873-4318-b021-4a6dee807259","8886"
"207253","2092","NULL","2020-11-13 14:15:46.323725","2020-11-13 14:15:46.323642","8df34be5-bcbf-4784-a86c-71bfa70678c1","8887"
"207269","2092","NULL","2020-11-13 14:15:46.325470","2020-11-13 14:15:46.325412","fc7abf96-e855-4992-b868-47d728811997","8888"
"207279","2092","NULL","2020-11-13 14:15:46.327905","2020-11-13 14:15:46.327823","d0f83d46-c647-4e88-892f-2c96d1711387","8889"
"605362","2092","NULL","2020-11-13 14:15:46.328087","2020-11-13 14:15:46.328018","a876788d-a52c-4989-a250-90f63116d097","8890"
"207286","2092","NULL","2020-11-13 14:15:46.330357","2020-11-13 14:15:46.330273","f219c243-cc49-47c6-822a-cf30ab371064","8891"
"604950","2092","NULL","2020-11-13 14:15:46.332725","2020-11-13 14:15:46.332649","aa5d4d66-1b4a-40a8-8943-99ab41e9a0d3","8892"
"605183","2092","NULL","2020-11-13 14:15:46.332883","2020-11-13 14:15:46.332830","99b7c597-4e48-4bab-9547-ca173a9521be","8893"
