educationorganizationid,programname,programtypedescriptorid,programid,discriminator,createdate,lastmodifieddate,id,changeversion
"255901","English as a Second Language (ESL)","1803","4","NULL","2020-11-13 14:15:34.463998","2020-11-13 14:15:34.456028","c8255f77-3106-4bcb-a812-60a72ddb5b32","8818"
"255901","Gifted and Talented","1811","5","NULL","2020-11-13 14:15:34.478033","2020-11-13 14:15:34.477881","4a4a0930-1e5e-4230-b4b1-d5fd649f8ab6","8823"
"255901","Neglected and Delinquent Program","1826","10","NULL","2020-11-13 14:15:34.486801","2020-11-13 14:15:34.486686","988f7cb5-b998-412c-be9a-3ec37335520d","8827"
"255901","Career and Technical Education","1795","3","NULL","2020-11-13 14:15:34.463967","2020-11-13 14:15:34.456028","6f594fa8-3bc5-405a-a8d2-5e8505712efa","8821"
"255901","Bilingual","1790","1","NULL","2020-11-13 14:15:34.464061","2020-11-13 14:15:34.456029","5b59ccc4-f942-4982-9f0c-4ccfdee6a69e","8820"
"255901","Migrant Education","1825","8","NULL","2020-11-13 14:15:34.478659","2020-11-13 14:15:34.478461","b1fe5ab0-a515-4263-85c0-0d4dfc0d7da5","8824"
"255901","Title I Part A","1845","7","NULL","2020-11-13 14:15:34.479391","2020-11-13 14:15:34.479292","4ee49d08-2f1b-408c-9e44-1e59db4f484b","8825"
"255901","School Food Service","1797","11","NULL","2020-11-13 14:15:34.487405","2020-11-13 14:15:34.487290","0cd700e4-1619-4361-98f4-4447490d58fc","8828"
"255901","Bilingual Summer","1793","2","NULL","2020-11-13 14:15:34.463998","2020-11-13 14:15:34.456076","0f3d3dad-c8ad-44e3-8723-0f28d08b56c1","8819"
"255901","Special Education","1837","6","NULL","2020-11-13 14:15:34.477883","2020-11-13 14:15:34.477721","c2d8897a-33e2-4ded-92f9-8c70e85d19c2","8822"
"255901","Homeless","1814","9","NULL","2020-11-13 14:15:34.486183","2020-11-13 14:15:34.485960","934edba9-4b7e-4e31-b82e-c4843c103a5b","8826"
