educationorganizationid,programname,programsponsordescriptorid,programtypedescriptorid,createdate
"255901","Career and Technical Education","1780","1795","2020-11-13 14:15:34.466101"
"255901","Title I Part A","1780","1845","2020-11-13 14:15:34.480468"
"255901","Bilingual Summer","1780","1793","2020-11-13 14:15:34.466888"
"255901","Special Education","1780","1837","2020-11-13 14:15:34.478732"
"255901","Homeless","1780","1814","2020-11-13 14:15:34.487028"
"255901","Bilingual","1780","1790","2020-11-13 14:15:34.466906"
"255901","Migrant Education","1780","1825","2020-11-13 14:15:34.479501"
"255901","School Food Service","1780","1797","2020-11-13 14:15:34.488183"
"255901","English as a Second Language (ESL)","1780","1803","2020-11-13 14:15:34.465998"
"255901","Gifted and Talented","1780","1811","2020-11-13 14:15:34.479014"
"255901","Neglected and Delinquent Program","1780","1826","2020-11-13 14:15:34.487595"
