schoolyear,schoolyeardescription,currentschoolyear,createdate,lastmodifieddate,id,changeversion
"2021","2020-2021","true","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","615f7c34-4d02-4c01-a95f-a1a8223556cd","1"
"1991","1990-1991","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","0154eb8f-2a92-4729-8202-5252abca2f49","2"
"1992","1991-1992","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","d8413cbd-8c9e-471e-aff1-7c4826b72306","3"
"1993","1992-1993","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","c1264e1a-f05e-4057-817a-bafc1992b3d3","4"
"1994","1993-1994","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","2f6abb6b-bf4a-4b24-a0cb-b153c335c52e","5"
"1995","1994-1995","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","230a794f-ef40-4fac-9a6c-8aa4cf712da8","6"
"1996","1995-1996","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","4b4b5916-7c90-4f6c-af0f-8d0bba5f02b5","7"
"1997","1996-1997","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","aa6b1509-927f-4a5f-944e-3028a1eb93b4","8"
"1998","1997-1998","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","ede60a84-2d48-4a86-ad5a-58d47cb5ee0a","9"
"1999","1998-1999","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","d63433a3-e480-41f7-bf72-c938ec501e90","10"
"2000","1999-2000","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","bc7db4b1-efaf-4185-9c23-6b8e5b29396a","11"
"2001","2000-2001","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","7bd8fa8f-39e2-429c-b3d7-aff9047c26a4","12"
"2002","2001-2002","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","97a05ef5-5670-4b92-9c70-4228c5dbf57c","13"
"2003","2002-2003","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","3746da42-696c-4861-8a4d-40f68e910308","14"
"2004","2003-2004","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","5b28cdfa-0d96-46be-a1c8-bd8e4083a04a","15"
"2005","2004-2005","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","2225dd04-0f93-45f1-a1ee-6311fa16f470","16"
"2006","2005-2006","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","c6812c54-39a3-460e-9e3e-67a816ae4961","17"
"2007","2006-2007","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","876741b9-998c-4de8-9f09-3f0af6bae3ee","18"
"2008","2007-2008","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","5b4bc1d9-da5f-484e-9ed7-a0c58163a8c5","19"
"2009","2008-2009","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","f3621b78-32fd-4d15-a862-44519fc28697","20"
"2010","2009-2010","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","95aedc0d-97ab-4774-bd70-4afbe404d79c","21"
"2011","2010-2011","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","175868b8-8c21-4a24-aa82-5bcc083af4aa","22"
"2012","2011-2012","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","fe27492b-30b2-42c4-af44-4200bdd83fd1","23"
"2013","2012-2013","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","98da62fc-00d9-45f6-9372-8c29ef66b62c","24"
"2014","2013-2014","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","197cc0e2-c9ba-4db3-be61-8405b13f8e0a","25"
"2015","2014-2015","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","b5371727-09f2-4c8d-9253-a70914222745","26"
"2016","2015-2016","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","69f83455-20b4-44bc-818a-fff4869ae903","27"
"2017","2016-2017","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","8e14f9cc-06e0-4bed-b51b-0f7be6be3da7","28"
"2018","2017-2018","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","a8dd4a3c-95db-40c6-b62a-59ef9a70700e","29"
"2019","2018-2019","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","31479fda-d2cf-461e-86dd-4deca98c8cc3","30"
"2020","2019-2020","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","c3d3c181-ae91-4014-8c72-f8e6051d1dd5","31"
"2022","2021-2022","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","9feda0e6-6e94-415e-818f-fab37cc20446","32"
"2023","2022-2023","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","6f6a33c1-1078-4ce0-a38c-25fa6db8433f","33"
"2024","2023-2024","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","a17995b6-782f-4086-89be-1f6130d4be7a","34"
"2025","2024-2025","false","2020-11-13 08:14:22.846010","2020-11-13 08:14:22.846010","6de61822-9760-4fd5-a446-54298d95b65c","35"
