localcoursecode,schoolid,schoolyear,sectionidentifier,sessionname,sequenceofcourse,educationalenvironmentdescriptorid,mediumofinstructiondescriptorid,populationserveddescriptorid,availablecredits,availablecredittypedescriptorid,availablecreditconversion,instructionlanguagedescriptorid,locationschoolid,locationclassroomidentificationcode,officialattendanceperiod,sectionname,discriminator,createdate,lastmodifieddate,id,changeversion
"ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","220",,"Algebra 1","NULL","2020-11-13 14:16:11.092596","2020-11-13 14:16:11.079562","3aa26aad-0191-4d10-8940-cdd460be9764","12245"
"ALG-1","255901001","2011","25590100104Trad220ALG112011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","220",,"Algebra 1","NULL","2020-11-13 14:16:11.093292","2020-11-13 14:16:11.079560","4dfe92cd-3ef3-4d0f-9e49-7977994de03e","12246"
"ALG-2","255901001","2011","25590100105Trad220ALG212011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","220",,,"NULL","2020-11-13 14:16:11.092596","2020-11-13 14:16:11.079562","406317eb-9dbc-4091-886f-6fe798098823","12244"
"ALG-1","255901001","2011","25590100103Trad220ALG112011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","220",,"Algebra 1","NULL","2020-11-13 14:16:11.093326","2020-11-13 14:16:11.079562","d217db4e-a117-4f62-9a03-fa4bcb1d1800","12247"
"ALG-2","255901001","2011","25590100106Trad220ALG212011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","220",,,"NULL","2020-11-13 14:16:11.112766","2020-11-13 14:16:11.112551","66234a62-1c63-44a5-98d0-951d5394c0a8","12248"
"ALG-2","255901001","2011","25590100107Trad220ALG212011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","220",,,"NULL","2020-11-13 14:16:11.112907","2020-11-13 14:16:11.112700","1f7abe06-8537-4409-9e8e-2662309e6f39","12249"
"ART-1","255901001","2011","25590100102Trad322ART112011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","322",,,"NULL","2020-11-13 14:16:11.113369","2020-11-13 14:16:11.113230","c43ce75b-0cee-42ee-ba2d-cad06ef70b88","12250"
"ART-1","255901001","2011","25590100101Trad322ART112011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","322",,,"NULL","2020-11-13 14:16:11.115290","2020-11-13 14:16:11.115142","3d0f1c66-50ca-4d50-90c7-3db798b00613","12251"
"ART-1","255901001","2011","25590100107Trad322ART112011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","322",,,"NULL","2020-11-13 14:16:11.125499","2020-11-13 14:16:11.125311","662028b7-fdd0-4ca8-9db5-3714788d8ab4","12252"
"ART2-EM","255901001","2011","25590100104Trad322ART2EM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","322",,,"NULL","2020-11-13 14:16:11.126513","2020-11-13 14:16:11.126298","a7472f30-9580-45f3-9623-20ec897b05cc","12253"
"ART2-EM","255901001","2011","25590100103Trad322ART2EM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","322",,,"NULL","2020-11-13 14:16:11.127320","2020-11-13 14:16:11.127146","eedd7abc-594e-45f0-9068-05a6ae83761f","12254"
"ART2-EM","255901001","2011","25590100105Trad322ART2EM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","322",,,"NULL","2020-11-13 14:16:11.127475","2020-11-13 14:16:11.127279","cd4b890c-ac98-4c23-80e5-0c642c8b378d","12255"
"ART3-EM","255901001","2011","25590100106Trad323ART3EM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","323",,,"NULL","2020-11-13 14:16:11.138604","2020-11-13 14:16:11.138358","612decc0-8a27-41da-ad3b-3f331369bfb1","12256"
"ART3-EM","255901001","2011","25590100102Trad323ART3EM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","323",,,"NULL","2020-11-13 14:16:11.138910","2020-11-13 14:16:11.138649","533bb506-d0ed-46cc-8170-f5e59556861e","12257"
"ART3-EM","255901001","2011","25590100107Trad323ART3EM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","323",,,"NULL","2020-11-13 14:16:11.140593","2020-11-13 14:16:11.140437","a2771c66-0e81-4241-a058-dded7b78ec44","12258"
"BIO","255901001","2011","25590100103Trad222BIO12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","222",,,"NULL","2020-11-13 14:16:11.141017","2020-11-13 14:16:11.140790","5bfed950-aac7-421d-9e9a-b23c2bc876b3","12259"
"BIO","255901001","2011","25590100104Trad222BIO12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","222",,,"NULL","2020-11-13 14:16:11.151595","2020-11-13 14:16:11.151390","d26a53a7-f518-4629-b680-1b012f17cf2a","12260"
"BIO","255901001","2011","25590100105Trad222BIO12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","222",,,"NULL","2020-11-13 14:16:11.151644","2020-11-13 14:16:11.151405","9e9d7011-dad6-4e58-8fdb-b91dcd65bf9e","12261"
"CHEM","255901001","2011","25590100103Trad223CHEM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","223",,,"NULL","2020-11-13 14:16:11.152745","2020-11-13 14:16:11.152567","ab1bf7c0-eae4-4050-9cc6-b029062c4775","12262"
"CHEM","255901001","2011","25590100104Trad223CHEM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","223",,,"NULL","2020-11-13 14:16:11.154055","2020-11-13 14:16:11.153911","a77ef548-e0ee-467b-9906-e9cb61a4b3a7","12263"
"CHEM","255901001","2011","25590100105Trad223CHEM12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","223",,,"NULL","2020-11-13 14:16:11.164889","2020-11-13 14:16:11.164587","2008545a-10b5-4069-8b50-a649f79b04cb","12264"
"CREAT-WR","255901001","2011","25590100103Trad321CREATWR12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","321",,,"NULL","2020-11-13 14:16:11.165635","2020-11-13 14:16:11.165459","23c060c6-0761-42ff-97f2-c3d9a2c66a21","12265"
"CREAT-WR","255901001","2011","25590100101Trad321CREATWR12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","321",,,"NULL","2020-11-13 14:16:11.165923","2020-11-13 14:16:11.165756","270bbb4c-64b3-49a5-9b30-690e335f5caa","12266"
"CREAT-WR","255901001","2011","25590100102Trad321CREATWR12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","321",,,"NULL","2020-11-13 14:16:11.166081","2020-11-13 14:16:11.165777","e4ce881c-9483-4855-8106-a389d1e76001","12267"
"ECO-FE","255901001","2011","25590100102Trad124ECOFE12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","124",,,"NULL","2020-11-13 14:16:11.177668","2020-11-13 14:16:11.177314","ca161c19-6415-4e7b-bab7-4fe232570592","12268"
"ECO-FE","255901001","2011","25590100103Trad124ECOFE12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","124",,,"NULL","2020-11-13 14:16:11.177891","2020-11-13 14:16:11.177718","780a6f02-0509-4a91-9180-0f2f64506532","12269"
"ECO-FE","255901001","2011","25590100104Trad124ECOFE12011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","124",,,"NULL","2020-11-13 14:16:11.178525","2020-11-13 14:16:11.178368","f81002ec-e96c-40be-a858-5e891c465ffd","12270"
"ENG-1","255901001","2011","25590100101Trad120ENG112011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","120",,,"NULL","2020-11-13 14:16:11.179334","2020-11-13 14:16:11.179211","c39a16a6-d9bf-41b6-85d3-b4252cf6fe57","12271"
"ENG-1","255901001","2011","25590100102Trad120ENG112011","2010-2011 Fall Semester","1","810",,,"1.000",,,,"255901001","120",,,"NULL","2020-11-13 14:16:11.190016","2020-11-13 14:16:11.189828","d62a580a-b18b-4f37-ab72-0ca64e05691e","12272"
