gradingperioddescriptorid,periodsequence,schoolid,schoolyear,sessionname,createdate
"979","4","255901001","2011","2010-2011 Spring Semester","2020-11-13 14:16:07.363367"
"972","5","255901001","2011","2010-2011 Spring Semester","2020-11-13 14:16:07.363734"
"985","6","255901001","2011","2010-2011 Spring Semester","2020-11-13 14:16:07.363748"
"979","4","255901107","2011","2010-2011 Spring Semester","2020-11-13 14:16:07.377708"
"972","5","255901107","2011","2010-2011 Spring Semester","2020-11-13 14:16:07.377775"
"985","6","255901107","2011","2010-2011 Spring Semester","2020-11-13 14:16:07.377832"
"977","1","255901001","2011","2010-2011 Fall Semester","2020-11-13 14:16:07.363367"
"981","2","255901001","2011","2010-2011 Fall Semester","2020-11-13 14:16:07.363732"
"988","3","255901001","2011","2010-2011 Fall Semester","2020-11-13 14:16:07.363748"
"977","1","255901107","2011","2010-2011 Fall Semester","2020-11-13 14:16:07.379336"
"981","2","255901107","2011","2010-2011 Fall Semester","2020-11-13 14:16:07.379397"
"988","3","255901107","2011","2010-2011 Fall Semester","2020-11-13 14:16:07.379439"
"979","4","255901044","2011","2010-2011 Spring Semester","2020-11-13 14:16:07.363369"
"972","5","255901044","2011","2010-2011 Spring Semester","2020-11-13 14:16:07.363749"
"985","6","255901044","2011","2010-2011 Spring Semester","2020-11-13 14:16:07.363764"
"977","1","255901044","2011","2010-2011 Fall Semester","2020-11-13 14:16:07.363367"
"981","2","255901044","2011","2010-2011 Fall Semester","2020-11-13 14:16:07.363738"
"988","3","255901044","2011","2010-2011 Fall Semester","2020-11-13 14:16:07.363750"
