incidentidentifier,schoolid,staffusi,discriminator,createdate,lastmodifieddate,id,changeversion
"13","255901001","56","NULL","2020-11-13 14:16:09.909757","2020-11-13 14:16:09.907074","0e24af92-91d7-4818-8f28-ae7626539b80","12218"
"11","255901001","67","NULL","2020-11-13 14:16:09.909758","2020-11-13 14:16:09.907079","d3f797d6-6393-489d-83f1-946e29b4c9ae","12219"
"15","255901001","8","NULL","2020-11-13 14:16:09.927081","2020-11-13 14:16:09.926953","3e28e75b-40fe-4a0e-9124-7ae2875fadff","12222"
"16","255901001","68","NULL","2020-11-13 14:16:09.928905","2020-11-13 14:16:09.928825","69f6eafd-333d-4a1e-927f-e0570ab526a0","12224"
"19","255901001","53","NULL","2020-11-13 14:16:09.938279","2020-11-13 14:16:09.938115","2177c7b2-5f2d-44fc-a759-0d76d8a64ae0","12226"
"20","255901001","66","NULL","2020-11-13 14:16:09.939166","2020-11-13 14:16:09.939078","6a97b173-5186-4862-9103-af4e025a6c49","12228"
"8","255901001","60","NULL","2020-11-13 14:16:09.947673","2020-11-13 14:16:09.947486","cb7515ef-b947-42e7-b902-c3e10f734d69","12229"
"9","255901001","9","NULL","2020-11-13 14:16:09.950219","2020-11-13 14:16:09.950097","a9ce8665-1ec6-423c-935d-e2b7aeea3480","12230"
"3","255901044","43","NULL","2020-11-13 14:16:09.951291","2020-11-13 14:16:09.951185","81cd5d24-59f5-411b-a0a8-fc6c0913fe62","12231"
"7","255901044","50","NULL","2020-11-13 14:16:09.960929","2020-11-13 14:16:09.960815","31547101-1abe-4041-b0f5-fbe3a084f20d","12235"
"2","255901107","16","NULL","2020-11-13 14:16:09.969531","2020-11-13 14:16:09.969371","4faa0e1e-8727-43d3-8194-f74b1e014cd7","12237"
"10","255901001","64","NULL","2020-11-13 14:16:09.909755","2020-11-13 14:16:09.907061","354d9bc4-32c0-4248-b734-0226354de1b2","12220"
"17","255901001","65","NULL","2020-11-13 14:16:09.927177","2020-11-13 14:16:09.927071","053d12b2-7a6a-40c3-9af1-eb9500a524e9","12223"
"21","255901001","59","NULL","2020-11-13 14:16:09.938551","2020-11-13 14:16:09.938452","63eefd8d-ad9e-4880-89ad-cdab859c6f45","12227"
"6","255901044","48","NULL","2020-11-13 14:16:09.960266","2020-11-13 14:16:09.960164","22e2ef28-7291-4266-8f4a-0a615f296f71","12234"
"12","255901001","11","NULL","2020-11-13 14:16:09.909833","2020-11-13 14:16:09.907061","3cb3425b-b21b-40a1-9ddb-3efeb445f229","12217"
"14","255901001","55","NULL","2020-11-13 14:16:09.926909","2020-11-13 14:16:09.926715","ccb00ac7-f9f1-49c3-8374-dcfb731986f4","12221"
"18","255901001","12","NULL","2020-11-13 14:16:09.937381","2020-11-13 14:16:09.937206","437b1ee1-b196-420a-a206-e7be61ac6f94","12225"
"4","255901044","44","NULL","2020-11-13 14:16:09.951454","2020-11-13 14:16:09.951239","3f40043a-849e-4311-ba05-7efaf4ce5ea2","12232"
"5","255901044","47","NULL","2020-11-13 14:16:09.958356","2020-11-13 14:16:09.958230","261493a2-4417-4300-807f-3b649a5644bb","12233"
"1","255901107","66","NULL","2020-11-13 14:16:09.961760","2020-11-13 14:16:09.961685","007f048a-4f49-4359-9365-267c67e1942c","12236"
