disciplineincidentparticipationcodedescriptorid,incidentidentifier,schoolid,staffusi,createdate
"807","10","255901001","64","2020-11-13 14:16:09.912414"
"807","13","255901001","56","2020-11-13 14:16:09.912177"
"809","13","255901001","56","2020-11-13 14:16:09.912547"
"807","17","255901001","65","2020-11-13 14:16:09.928263"
"807","16","255901001","68","2020-11-13 14:16:09.929942"
"807","21","255901001","59","2020-11-13 14:16:09.939644"
"807","20","255901001","66","2020-11-13 14:16:09.940210"
"807","9","255901001","9","2020-11-13 14:16:09.951292"
"807","6","255901044","48","2020-11-13 14:16:09.961367"
"807","12","255901001","11","2020-11-13 14:16:09.912254"
"807","14","255901001","55","2020-11-13 14:16:09.928199"
"807","18","255901001","12","2020-11-13 14:16:09.938414"
"807","4","255901044","44","2020-11-13 14:16:09.952820"
"807","5","255901044","47","2020-11-13 14:16:09.959420"
"807","1","255901107","66","2020-11-13 14:16:09.962817"
"807","11","255901001","67","2020-11-13 14:16:09.912300"
"807","15","255901001","8","2020-11-13 14:16:09.928194"
"807","19","255901001","53","2020-11-13 14:16:09.939283"
"807","8","255901001","60","2020-11-13 14:16:09.948892"
"807","3","255901044","43","2020-11-13 14:16:09.952224"
"809","3","255901044","43","2020-11-13 14:16:09.952271"
"807","7","255901044","50","2020-11-13 14:16:09.962007"
"807","2","255901107","16","2020-11-13 14:16:09.970564"
"809","2","255901107","16","2020-11-13 14:16:09.970632"
