begindate,educationorganizationid,staffclassificationdescriptorid,staffusi,positiontitle,enddate,orderofassignment,employmenteducationorganizationid,employmentstatusdescriptorid,employmenthiredate,credentialidentifier,stateofissuestateabbreviationdescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"2006-12-12","255901107","2122","16","1st Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.687110","2020-11-13 14:16:07.685206","243956ef-ac0a-4401-8e2d-37458d0c7734","11900"
"2005-11-19","255901107","2122","13","1st Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.687589","2020-11-13 14:16:07.685205","39787929-7c34-499c-99dd-67e152a42ea8","11901"
"1993-07-04","255901107","2122","15","1st Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.687746","2020-11-13 14:16:07.685206","72ada1ca-25a5-44d7-92a2-3e0233530948","11902"
"2007-02-09","255901107","2122","20","1st Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.688126","2020-11-13 14:16:07.685205","f0ed6cfc-6e53-485f-a9e1-fcf78de67f66","11903"
"2000-08-16","255901107","2122","17","2nd Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.700024","2020-11-13 14:16:07.699941","de966bc3-1e02-424c-9a8c-bf1b08ade82b","11904"
"2002-05-15","255901107","2122","18","2nd Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.700019","2020-11-13 14:16:07.699941","15b3522f-038b-4808-9eb8-aca22da4174d","11905"
"1997-02-26","255901107","2122","19","2nd Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.700025","2020-11-13 14:16:07.699935","5333371e-c0c5-4204-93a5-ffb86b87f839","11906"
"1996-10-16","255901107","2122","14","2nd Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.701127","2020-11-13 14:16:07.701005","06bae313-b5f4-47f8-8dbe-b699fe276fd0","11907"
"2003-11-21","255901107","2122","24","3rd Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.707857","2020-11-13 14:16:07.707786","163ed8fe-60b1-430e-81aa-5a82266a8000","11908"
"1998-01-14","255901107","2122","23","3rd Grade teacher",,,,,,,,"NULL","2020-11-13 14:16:07.709019","2020-11-13 14:16:07.708921","33ebf441-0ddb-481d-bbf0-a5b312ef2b2a","11909"
