educationorganizationid,employmentstatusdescriptorid,hiredate,staffusi,enddate,separationdescriptorid,separationreasondescriptorid,department,fulltimeequivalency,offerdate,hourlywage,credentialidentifier,stateofissuestateabbreviationdescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"255901107","865","1993-07-04","15",,,"2073","721","1.0000",,,,,"NULL","2020-11-13 14:16:06.985954","2020-11-13 14:16:06.983885","ab10e546-929d-4594-885a-5a5a42c95136","11821"
"255901107","865","2002-05-15","18",,,"2073","530","1.0000",,,,,"NULL","2020-11-13 14:16:06.999550","2020-11-13 14:16:06.999468","8a211ee8-dd4d-4f67-a40c-62dd169972e1","11825"
"255901107","865","2003-11-21","24",,,"2073","206","1.0000",,,,,"NULL","2020-11-13 14:16:07.008182","2020-11-13 14:16:07.008045","ecc8d9c3-1a3e-4a60-87ec-0761f8c5bf45","11829"
"255901107","865","2009-01-30","27",,,"2073","555","1.0000",,,,,"NULL","2020-11-13 14:16:07.019292","2020-11-13 14:16:07.019217","251943fb-be6a-470f-a354-19bf6666d1f5","11834"
"255901107","865","1994-11-06","32",,,"2073","666","1.0000",,,,,"NULL","2020-11-13 14:16:07.028473","2020-11-13 14:16:07.028370","d221e46a-c04a-4120-8db4-9a22fd993025","11838"
"255901107","865","2009-12-28","33",,,"2073","375","1.0000",,,,,"NULL","2020-11-13 14:16:07.037489","2020-11-13 14:16:07.037402","f8d478c7-9d6c-4ce6-97c3-724469db27a6","11841"
"255901107","865","2012-07-11","40",,,"2073","330","1.0000",,,,,"NULL","2020-11-13 14:16:07.046370","2020-11-13 14:16:07.046284","d006ea34-e482-4ed2-97a4-526d314bd5f1","11845"
"255901107","865","2010-09-02","42",,,"2073","893","1.0000",,,,,"NULL","2020-11-13 14:16:07.050352","2020-11-13 14:16:07.050267","1c5cecdc-6ce6-4bfb-ac18-ed2ce03f6694","11848"
"255901","865","2005-01-25","4",,,,"845","1.0000",,,,,"NULL","2020-11-13 14:16:07.054239","2020-11-13 14:16:07.054164","e958a5da-ce74-466b-8ce7-c325141b2143","11850"
"255901044","865","2008-01-28","41",,,"2073","253","1.0000",,,,,"NULL","2020-11-13 14:16:07.065539","2020-11-13 14:16:07.065455","efda431b-12f6-43ef-854c-c2e44e7d2a05","11855"
"255901044","865","2008-03-06","45",,,"2073","820","1.0000",,,,,"NULL","2020-11-13 14:16:07.074852","2020-11-13 14:16:07.074764","ba878d7e-138c-42ef-a80c-b984149ff646","11857"
"255901044","865","2005-07-09","51",,,"2073","609","1.0000",,,,,"NULL","2020-11-13 14:16:07.085799","2020-11-13 14:16:07.085477","9c619db6-f6f3-4d02-9be7-90f20c13e412","11862"
"255901044","865","1992-08-01","5",,,"2073","239","1.0000",,,,,"NULL","2020-11-13 14:16:07.093222","2020-11-13 14:16:07.093096","6d551ae4-f896-4027-85b8-2e680e4bf58d","11865"
"255901001","865","2007-04-28","56",,,"2073","899","1.0000",,,,,"NULL","2020-11-13 14:16:07.104230","2020-11-13 14:16:07.104155","20dda88b-b557-449d-9adb-fe96449b6dfe","11871"
"255901001","865","1989-10-03","58",,,"2073","413","1.0000",,,,,"NULL","2020-11-13 14:16:07.110934","2020-11-13 14:16:07.110865","19d740db-858b-43a4-9313-40573f9c6e67","11874"
"255901001","865","2008-05-14","60",,,"2073","681","1.0000",,,,,"NULL","2020-11-13 14:16:07.114543","2020-11-13 14:16:07.114483","88680cef-fcd2-40cc-86d6-ce23cea24c46","11876"
"255901001","865","2008-09-28","63",,,"2073","772","1.0000",,,,,"NULL","2020-11-13 14:16:07.120040","2020-11-13 14:16:07.119962","c4205b9d-c4d7-452a-a9d5-fa881570ec26","11878"
"255901001","865","2006-06-26","62",,,"2073","971","1.0000",,,,,"NULL","2020-11-13 14:16:07.123245","2020-11-13 14:16:07.123195","a8f23361-1c96-4d1c-b6d4-ce180f2fd490","11880"
"255901001","865","1999-11-28","64",,,"2073","825","1.0000",,,,,"NULL","2020-11-13 14:16:07.128351","2020-11-13 14:16:07.128207","7bc1b222-f428-493c-a38d-84a1d75a28e5","11881"
"255901001","865","2007-11-01","66",,,"2073","373","1.0000",,,,,"NULL","2020-11-13 14:16:07.131498","2020-11-13 14:16:07.131409","de0bcc2c-e37e-4765-ae28-60d7e8913fe9","11884"
"255901001","865","2001-05-06","68",,,"2073","903","1.0000",,,,,"NULL","2020-11-13 14:16:07.137293","2020-11-13 14:16:07.137164","210ac26d-b9b9-4852-987f-1b6de442ce69","11885"
"255901107","865","2006-12-12","16",,,"2073","914","1.0000",,,,,"NULL","2020-11-13 14:16:06.985857","2020-11-13 14:16:06.983885","9999927c-8f6f-4e8c-8c96-4339898e748d","11824"
"255901107","865","2005-11-19","13",,,"2073","830","1.0000",,,,,"NULL","2020-11-13 14:16:06.985853","2020-11-13 14:16:06.983885","397315d5-03fe-4ac9-ad1e-8915c2bfe677","11823"
"255901107","865","1996-10-16","14",,,"2073","539","1.0000",,,,,"NULL","2020-11-13 14:16:06.999767","2020-11-13 14:16:06.999688","f392fb57-7db0-40cf-9748-9fbb2e380d84","11827"
"255901107","865","1997-02-26","19",,,"2073","563","1.0000",,,,,"NULL","2020-11-13 14:16:06.999794","2020-11-13 14:16:06.999721","e442f10f-bcc9-4e99-abd3-a528041db149","11828"
"255901107","865","1998-01-14","23",,,"2073","146","1.0000",,,,,"NULL","2020-11-13 14:16:07.009075","2020-11-13 14:16:07.008991","35f7c723-ebe0-4656-bbf2-0ea0609225b5","11831"
"255901107","865","1981-12-30","22",,,"2073","804","1.0000",,,,,"NULL","2020-11-13 14:16:07.009177","2020-11-13 14:16:07.009080","50bde274-7800-41a8-ac2a-434737b5644c","11832"
"255901107","865","2008-01-06","25",,,"2073","460","1.0000",,,,,"NULL","2020-11-13 14:16:07.018952","2020-11-13 14:16:07.018832","15f3a7cc-1e8e-42da-8786-15395a27607c","11833"
"255901107","865","2003-12-15","28",,,"2073","204","1.0000",,,,,"NULL","2020-11-13 14:16:07.021905","2020-11-13 14:16:07.021847","2fc2e789-2428-42a4-b222-68971e8a43dc","11836"
"255901107","865","1997-12-22","29",,,"2073","244","1.0000",,,,,"NULL","2020-11-13 14:16:07.028069","2020-11-13 14:16:07.027862","71b93000-ef47-4ebe-b2e3-1979056c71d1","11837"
"255901107","865","1999-06-09","31",,,"2073","997","1.0000",,,,,"NULL","2020-11-13 14:16:07.029414","2020-11-13 14:16:07.029350","ac6b2be7-4516-4160-8b87-69d9994f42b0","11839"
"255901107","865","2008-07-30","35",,,"2073","713","1.0000",,,,,"NULL","2020-11-13 14:16:07.039037","2020-11-13 14:16:07.038975","f0ef7d9d-96cd-40bd-8ae3-bc04423a3d58","11843"
"255901107","865","2010-11-12","36",,,"2073","575","1.0000",,,,,"NULL","2020-11-13 14:16:07.039156","2020-11-13 14:16:07.039087","2d50a4f5-a9ad-466e-bef3-fb587e3d80d8","11844"
"255901107","865","1991-03-28","38",,,"2073","146","1.0000",,,,,"NULL","2020-11-13 14:16:07.047611","2020-11-13 14:16:07.047531","117ec1d6-82ff-4218-a03a-32ea7889af7d","11846"
"255901107","865","2009-09-01","7",,,"2073","383","1.0000",,,,,"NULL","2020-11-13 14:16:07.055754","2020-11-13 14:16:07.055675","e769db4b-2e86-4688-82b4-3286de1d9039","11851"
"255901044","865","2018-09-28","39",,,"2073","306","1.0000",,,,,"NULL","2020-11-13 14:16:07.064834","2020-11-13 14:16:07.064666","e87edee5-4821-468e-b0a7-2cde69ff11e9","11853"
"255901044","865","2000-03-12","44",,,"2073","206","1.0000",,,,,"NULL","2020-11-13 14:16:07.066967","2020-11-13 14:16:07.066901","c7912f9e-3ed5-47e5-89bd-927891ef589a","11856"
"255901044","865","2008-11-21","46",,,"2073","243","1.0000",,,,,"NULL","2020-11-13 14:16:07.075828","2020-11-13 14:16:07.075681","87f99e93-13b8-4a14-91c7-c04bb3aaedd6","11859"
"255901044","865","2011-09-16","47",,,"2073","251","1.0000",,,,,"NULL","2020-11-13 14:16:07.076054","2020-11-13 14:16:07.075988","15e6fe9e-e87f-4a02-af04-f584c19372de","11860"
"255901044","865","2007-05-26","48",,,"2073","220","1.0000",,,,,"NULL","2020-11-13 14:16:07.084330","2020-11-13 14:16:07.083948","32e4e4d7-d201-41b6-96c4-db56a8e0732b","11861"
"255901044","865","2002-09-05","50",,,"2073","260","1.0000",,,,,"NULL","2020-11-13 14:16:07.086639","2020-11-13 14:16:07.086569","bb90390d-21ef-4ca1-bcad-297663cd82c7","11864"
"255901044","865","2007-01-28","54",,,"2073","457","1.0000",,,,,"NULL","2020-11-13 14:16:07.093302","2020-11-13 14:16:07.093233","cf927ca7-7e28-4fde-8527-8df39f31e97c","11866"
"255901044","865","2008-04-17","1",,,"2073","551","1.0000",,,,,"NULL","2020-11-13 14:16:07.095422","2020-11-13 14:16:07.095357","d4930da3-1795-4371-adf5-94b2fcb627ac","11868"
"255901001","865","1984-11-14","12",,,"2073","557","1.0000",,,,,"NULL","2020-11-13 14:16:07.101906","2020-11-13 14:16:07.101809","38906d9e-5417-463a-8dc5-683c815c0471","11870"
"255901001","865","1997-01-20","57",,,"2073","262","1.0000",,,,,"NULL","2020-11-13 14:16:07.112080","2020-11-13 14:16:07.112016","62c5e793-cfeb-4e46-992a-9b1624cd2969","11875"
"255901001","865","2000-03-10","61",,,"2073","729","1.0000",,,,,"NULL","2020-11-13 14:16:07.120844","2020-11-13 14:16:07.120763","af92ed89-0bf3-4836-a110-74a9893425bf","11879"
"255901001","865","2005-10-26","67",,,"2073","646","1.0000",,,,,"NULL","2020-11-13 14:16:07.129071","2020-11-13 14:16:07.128985","71a83688-2383-498f-aa1b-5e08cf04ee10","11882"
"255901001","865","2006-02-18","9",,,"2073","449","1.0000",,,,,"NULL","2020-11-13 14:16:07.138212","2020-11-13 14:16:07.138141","e967ac8e-2da1-4803-9fb0-1f4160f51fd0","11887"
"255901","865","2004-02-10","10",,,"2073","111","1.0000",,,,,"NULL","2020-11-13 14:16:07.139434","2020-11-13 14:16:07.139368","5bbfb489-60dc-4dfe-b04f-fca48f0e31dc","11888"
"255901107","865","2007-02-09","20",,,"2073","521","1.0000",,,,,"NULL","2020-11-13 14:16:06.985852","2020-11-13 14:16:06.983884","169b8f60-6dc4-485a-a125-8d710b67102c","11822"
"255901107","865","2000-08-16","17",,,"2073","169","1.0000",,,,,"NULL","2020-11-13 14:16:06.999759","2020-11-13 14:16:06.999674","1e3f7942-e4bf-4a0c-9d94-14fba69ae309","11826"
"255901107","865","2010-02-08","21",,,"2073","881","1.0000",,,,,"NULL","2020-11-13 14:16:07.008775","2020-11-13 14:16:07.008688","7292f0d6-ad8b-4051-8754-a6e3e707a6d1","11830"
"255901107","865","2009-09-28","26",,,"2073","170","1.0000",,,,,"NULL","2020-11-13 14:16:07.019464","2020-11-13 14:16:07.019380","216ac85d-a073-4776-ab39-8307c2f3df08","11835"
"255901107","865","2007-11-12","30",,,"2073","836","1.0000",,,,,"NULL","2020-11-13 14:16:07.029896","2020-11-13 14:16:07.029851","0d050639-7c6c-44e8-9005-216867fb171c","11840"
"255901107","865","2010-12-14","34",,,"2073","734","1.0000",,,,,"NULL","2020-11-13 14:16:07.037601","2020-11-13 14:16:07.037522","54205caf-2a28-4042-8c04-2142a880e7b1","11842"
"255901107","865","2010-08-27","37",,,"2073","677","1.0000",,,,,"NULL","2020-11-13 14:16:07.048434","2020-11-13 14:16:07.048363","45a77a58-97e3-43ca-8e19-9937755cc19e","11847"
