staffidentificationsystemdescriptorid,staffusi,identificationcode,assigningorganizationidentificationcode,createdate
"2149","4","207288",,"2020-11-13 14:16:01.124496"
"2149","3","207264",,"2020-11-13 14:16:01.124496"
"2149","2","207249",,"2020-11-13 14:16:01.124790"
"2149","1","207265",,"2020-11-13 14:16:01.124686"
"2149","5","207263",,"2020-11-13 14:16:01.166452"
"2149","7","207248",,"2020-11-13 14:16:01.166468"
"2149","6","207247",,"2020-11-13 14:16:01.166456"
"2149","8","207266",,"2020-11-13 14:16:01.169059"
"2149","9","207284",,"2020-11-13 14:16:01.195665"
"2149","10","207285",,"2020-11-13 14:16:01.196141"
"2149","11","207283",,"2020-11-13 14:16:01.198069"
"2149","12","207267",,"2020-11-13 14:16:01.199450"
"2149","16","207220",,"2020-11-13 14:16:01.254473"
"2149","15","207222",,"2020-11-13 14:16:01.254468"
"2149","13","207221",,"2020-11-13 14:16:01.254479"
"2149","14","207225",,"2020-11-13 14:16:01.254457"
"2149","17","207226",,"2020-11-13 14:16:01.281766"
"2149","18","207223",,"2020-11-13 14:16:01.281937"
"2149","19","207224",,"2020-11-13 14:16:01.282166"
"2149","20","207219",,"2020-11-13 14:16:01.284271"
"2149","21","207229",,"2020-11-13 14:16:01.309768"
"2149","22","207230",,"2020-11-13 14:16:01.309910"
"2149","23","207228",,"2020-11-13 14:16:01.311808"
"2149","24","207227",,"2020-11-13 14:16:01.314978"
"2149","25","207231",,"2020-11-13 14:16:01.332884"
"2149","26","207234",,"2020-11-13 14:16:01.334706"
"2149","27","207233",,"2020-11-13 14:16:01.334791"
"2149","28","207232",,"2020-11-13 14:16:01.351926"
"2149","29","207235",,"2020-11-13 14:16:01.356669"
"2149","30","207236",,"2020-11-13 14:16:01.357688"
"2149","31","207238",,"2020-11-13 14:16:01.360567"
"2149","34","207239",,"2020-11-13 14:16:01.383930"
"2149","33","207240",,"2020-11-13 14:16:01.383930"
"2149","32","207237",,"2020-11-13 14:16:01.383930"
"2149","35","207241",,"2020-11-13 14:16:01.390495"
"2149","36","207242",,"2020-11-13 14:16:01.407359"
"2149","37","207245",,"2020-11-13 14:16:01.407559"
"2149","38","207244",,"2020-11-13 14:16:01.408757"
"2149","39","207250",,"2020-11-13 14:16:01.413553"
"2149","40","207243",,"2020-11-13 14:16:01.432905"
"2149","41","207252",,"2020-11-13 14:16:01.437409"
"2149","42","207246",,"2020-11-13 14:16:01.438328"
"2149","43","207251",,"2020-11-13 14:16:01.446401"
"2149","44","207253",,"2020-11-13 14:16:01.459894"
"2149","45","207255",,"2020-11-13 14:16:01.460862"
"2149","46","207257",,"2020-11-13 14:16:01.461184"
"2149","47","207256",,"2020-11-13 14:16:01.472166"
"2149","49","207254",,"2020-11-13 14:16:01.487377"
"2149","48","207258",,"2020-11-13 14:16:01.487372"
"2149","50","207259",,"2020-11-13 14:16:01.495612"
"2149","51","207260",,"2020-11-13 14:16:01.501400"
"2149","52","207261",,"2020-11-13 14:16:01.510400"
"2149","53","207269",,"2020-11-13 14:16:01.513518"
"2149","54","207262",,"2020-11-13 14:16:01.520308"
"2149","55","207270",,"2020-11-13 14:16:01.528188"
"2149","56","207268",,"2020-11-13 14:16:01.544548"
"2149","57","207272",,"2020-11-13 14:16:01.544726"
"2149","58","207271",,"2020-11-13 14:16:01.550858"
"2149","59","207274",,"2020-11-13 14:16:01.556408"
"2149","61","207276",,"2020-11-13 14:16:01.569060"
"2149","60","207273",,"2020-11-13 14:16:01.569024"
"2149","62","207277",,"2020-11-13 14:16:01.574874"
"2149","63","207275",,"2020-11-13 14:16:01.583649"
"2149","64","207278",,"2020-11-13 14:16:01.592643"
"2149","65","207279",,"2020-11-13 14:16:01.594248"
"2149","66","207281",,"2020-11-13 14:16:01.600692"
"2149","67","207280",,"2020-11-13 14:16:01.615262"
"2149","68","207282",,"2020-11-13 14:16:01.630204"
