racedescriptorid,staffusi,createdate
"1881","4","2020-11-13 14:16:01.127598"
"1883","2","2020-11-13 14:16:01.127619"
"1885","1","2020-11-13 14:16:01.127616"
"1883","3","2020-11-13 14:16:01.127592"
"1885","6","2020-11-13 14:16:01.167466"
"1885","7","2020-11-13 14:16:01.167459"
"1885","5","2020-11-13 14:16:01.167422"
"1883","8","2020-11-13 14:16:01.170058"
"1883","9","2020-11-13 14:16:01.196583"
"1886","10","2020-11-13 14:16:01.197119"
"1883","11","2020-11-13 14:16:01.199085"
"1883","12","2020-11-13 14:16:01.200763"
"1885","13","2020-11-13 14:16:01.255653"
"1883","16","2020-11-13 14:16:01.255639"
"1883","15","2020-11-13 14:16:01.255643"
"1883","14","2020-11-13 14:16:01.256171"
"1883","17","2020-11-13 14:16:01.282499"
"1883","18","2020-11-13 14:16:01.282502"
"1885","19","2020-11-13 14:16:01.282713"
"1885","20","2020-11-13 14:16:01.284861"
"1885","22","2020-11-13 14:16:01.310562"
"1885","21","2020-11-13 14:16:01.310395"
"1883","23","2020-11-13 14:16:01.312446"
"1883","24","2020-11-13 14:16:01.315544"
"1883","25","2020-11-13 14:16:01.333437"
"1883","26","2020-11-13 14:16:01.335222"
"1883","27","2020-11-13 14:16:01.335344"
"1883","28","2020-11-13 14:16:01.352519"
"1885","29","2020-11-13 14:16:01.357236"
"1885","30","2020-11-13 14:16:01.358487"
"1885","31","2020-11-13 14:16:01.361113"
"1883","34","2020-11-13 14:16:01.384513"
"1883","33","2020-11-13 14:16:01.384516"
"1883","32","2020-11-13 14:16:01.384657"
"1885","35","2020-11-13 14:16:01.391036"
"1883","36","2020-11-13 14:16:01.407938"
"1885","37","2020-11-13 14:16:01.408203"
"1885","38","2020-11-13 14:16:01.409323"
"1883","39","2020-11-13 14:16:01.414112"
"1885","40","2020-11-13 14:16:01.433511"
"1885","41","2020-11-13 14:16:01.437976"
"1883","42","2020-11-13 14:16:01.438722"
"1885","43","2020-11-13 14:16:01.446979"
"1885","44","2020-11-13 14:16:01.460550"
"1885","45","2020-11-13 14:16:01.461425"
"1885","46","2020-11-13 14:16:01.461708"
"1885","47","2020-11-13 14:16:01.472789"
"1883","48","2020-11-13 14:16:01.488018"
"1885","49","2020-11-13 14:16:01.487998"
"1885","50","2020-11-13 14:16:01.496253"
"1885","51","2020-11-13 14:16:01.501938"
"1883","52","2020-11-13 14:16:01.510995"
"1885","53","2020-11-13 14:16:01.514348"
"1885","54","2020-11-13 14:16:01.520894"
"1883","55","2020-11-13 14:16:01.528887"
"1883","56","2020-11-13 14:16:01.545010"
"1883","57","2020-11-13 14:16:01.545217"
"1885","58","2020-11-13 14:16:01.551360"
"1885","59","2020-11-13 14:16:01.557060"
"1885","61","2020-11-13 14:16:01.569589"
"1885","60","2020-11-13 14:16:01.569587"
"1885","62","2020-11-13 14:16:01.575408"
"1885","63","2020-11-13 14:16:01.588538"
"1885","64","2020-11-13 14:16:01.593231"
"1883","65","2020-11-13 14:16:01.594872"
"1883","66","2020-11-13 14:16:01.604514"
"1883","67","2020-11-13 14:16:01.616378"
"1885","68","2020-11-13 14:16:01.630832"
