academicsubjectdescriptorid,programassignmentdescriptorid,schoolid,staffusi,createdate
"34","1769","255901107","20","2020-11-13 14:16:08.226582"
"34","1769","255901107","15","2020-11-13 14:16:08.226757"
"37","1769","255901107","15","2020-11-13 14:16:08.226924"
"37","1769","255901107","20","2020-11-13 14:16:08.226898"
"39","1769","255901107","15","2020-11-13 14:16:08.226940"
"39","1769","255901107","20","2020-11-13 14:16:08.226912"
"41","1769","255901107","15","2020-11-13 14:16:08.226948"
"41","1769","255901107","20","2020-11-13 14:16:08.226920"
"34","1769","255901107","19","2020-11-13 14:16:08.247825"
"34","1769","255901107","17","2020-11-13 14:16:08.247817"
"37","1769","255901107","19","2020-11-13 14:16:08.247862"
"37","1769","255901107","17","2020-11-13 14:16:08.247871"
"39","1769","255901107","19","2020-11-13 14:16:08.247873"
"39","1769","255901107","17","2020-11-13 14:16:08.247884"
"41","1769","255901107","19","2020-11-13 14:16:08.247881"
"41","1769","255901107","17","2020-11-13 14:16:08.247896"
"34","1769","255901107","24","2020-11-13 14:16:08.261877"
"37","1769","255901107","24","2020-11-13 14:16:08.261917"
"39","1769","255901107","24","2020-11-13 14:16:08.261926"
"34","1769","255901107","22","2020-11-13 14:16:08.262424"
"41","1769","255901107","24","2020-11-13 14:16:08.261934"
"37","1769","255901107","22","2020-11-13 14:16:08.262465"
"39","1769","255901107","22","2020-11-13 14:16:08.262474"
"41","1769","255901107","22","2020-11-13 14:16:08.262481"
"34","1769","255901107","28","2020-11-13 14:16:08.276217"
"34","1769","255901107","27","2020-11-13 14:16:08.276426"
"37","1769","255901107","28","2020-11-13 14:16:08.276251"
"37","1769","255901107","27","2020-11-13 14:16:08.276469"
"39","1769","255901107","28","2020-11-13 14:16:08.276260"
"39","1769","255901107","27","2020-11-13 14:16:08.276478"
"41","1769","255901107","28","2020-11-13 14:16:08.276269"
"41","1769","255901107","27","2020-11-13 14:16:08.276487"
"34","1769","255901107","31","2020-11-13 14:16:08.290014"
"34","1769","255901107","30","2020-11-13 14:16:08.290116"
"37","1769","255901107","31","2020-11-13 14:16:08.290064"
"37","1769","255901107","30","2020-11-13 14:16:08.290214"
"39","1769","255901107","31","2020-11-13 14:16:08.290082"
"39","1769","255901107","30","2020-11-13 14:16:08.290240"
"41","1769","255901107","31","2020-11-13 14:16:08.290095"
"41","1769","255901107","30","2020-11-13 14:16:08.290248"
"40","1769","255901107","35","2020-11-13 14:16:08.317108"
"40","1769","255901107","33","2020-11-13 14:16:08.317307"
"40","1769","255901107","38","2020-11-13 14:16:08.331014"
"44","1769","255901107","42","2020-11-13 14:16:08.332486"
"34","1769","255901044","43","2020-11-13 14:16:08.345049"
"37","1769","255901044","44","2020-11-13 14:16:08.346311"
"39","1769","255901044","47","2020-11-13 14:16:08.359795"
"39","1769","255901044","46","2020-11-13 14:16:08.359844"
"44","1769","255901044","50","2020-11-13 14:16:08.372732"
"44","1769","255901044","52","2020-11-13 14:16:08.373520"
"34","1769","255901001","56","2020-11-13 14:16:08.386292"
"34","1769","255901001","55","2020-11-13 14:16:08.388202"
"41","1769","255901001","60","2020-11-13 14:16:08.400000"
"41","1769","255901001","57","2020-11-13 14:16:08.400145"
"39","1769","255901001","63","2020-11-13 14:16:08.418652"
"48","1769","255901001","62","2020-11-13 14:16:08.421114"
"48","1769","255901001","65","2020-11-13 14:16:08.433668"
"48","1769","255901001","64","2020-11-13 14:16:08.433778"
"34","1769","255901107","16","2020-11-13 14:16:08.226574"
"37","1769","255901107","16","2020-11-13 14:16:08.226899"
"39","1769","255901107","16","2020-11-13 14:16:08.226916"
"41","1769","255901107","16","2020-11-13 14:16:08.226925"
"34","1769","255901107","14","2020-11-13 14:16:08.247789"
"37","1769","255901107","14","2020-11-13 14:16:08.247830"
"39","1769","255901107","14","2020-11-13 14:16:08.247841"
"41","1769","255901107","14","2020-11-13 14:16:08.247848"
"34","1769","255901107","21","2020-11-13 14:16:08.263756"
