localcoursecode,schoolid,schoolyear,sectionidentifier,sessionname,staffusi,classroompositiondescriptorid,begindate,enddate,highlyqualifiedteacher,teacherstudentdatalinkexclusion,percentagecontribution,discriminator,createdate,lastmodifieddate,id,changeversion
"ELA-01","255901107","2011","25590110701Trad101ELA0122011","2010-2011 Spring Semester","20","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.345540","2020-11-13 14:16:14.343859","52b871c9-f5d1-47a3-b72c-e7bb3a7775da","12804"
"MATH-01","255901107","2011","25590110703Trad101MATH0112011","2010-2011 Fall Semester","20","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.345474","2020-11-13 14:16:14.343859","21efaa97-f081-4fde-abbb-0d2bfd944a40","12806"
"SS-01","255901107","2011","25590110705Trad101SS0112011","2010-2011 Fall Semester","20","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.360779","2020-11-13 14:16:14.360646","b11555c5-a319-4675-a0a1-d43127697f3d","12809"
"SCI-01","255901107","2011","25590110704Trad101SCI0112011","2010-2011 Fall Semester","20","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.361112","2020-11-13 14:16:14.360713","a59f5e1b-e9f7-4155-a18b-60d379454d13","12810"
"ELA-01","255901107","2011","25590110701Trad102ELA0112011","2010-2011 Fall Semester","16","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.370381","2020-11-13 14:16:14.370071","83dbd6e5-8130-49fb-be6e-b5e902858010","12812"
"MATH-01","255901107","2011","25590110702Trad102MATH0122011","2010-2011 Spring Semester","16","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.372679","2020-11-13 14:16:14.372622","d201ef15-55f8-449a-b6fb-898f8fa56a7b","12815"
"SCI-01","255901107","2011","25590110704Trad102SCI0122011","2010-2011 Spring Semester","16","305","2011-01-04","2011-05-27",,,,"NULL","2020-11-13 14:16:14.380395","2020-11-13 14:16:14.380313","80076023-399e-4425-af31-0f44ebe5be9e","12816"
"SCI-01","255901107","2011","25590110704Trad102SCI0112011","2010-2011 Fall Semester","16","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.380430","2020-11-13 14:16:14.380324","87c37991-ce46-4d54-a5f3-a24b0d83a1c7","12817"
"ELA-01","255901107","2011","25590110701Trad103ELA0112011","2010-2011 Fall Semester","13","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.389885","2020-11-13 14:16:14.389751","25ed7179-9233-47f4-9307-76be079b8ff4","12820"
"MATH-01","255901107","2011","25590110702Trad103MATH0112011","2010-2011 Fall Semester","13","305","2010-08-23","2010-12-17",,,,"NULL","2020-11-13 14:16:14.392425","2020-11-13 14:16:14.392362","7ddbe5f7-7228-4754-804f-6d529a1a4f9d","12822"
