assessmentidentifier,namespace,studentassessmentidentifier,studentusi,administrationdate,administrationenddate,serialnumber,administrationlanguagedescriptorid,administrationenvironmentdescriptorid,retestindicatordescriptorid,reasonnottesteddescriptorid,whenassessedgradeleveldescriptorid,eventcircumstancedescriptorid,eventdescription,schoolyear,platformtypedescriptorid,discriminator,createdate,lastmodifieddate,id,changeversion
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","/3yOGsJIN9QQhavO5qGlXgHV1ZLCQDLFr87Vvscj","911","2010-12-01 16:00:00.000000",,"1837805","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.030312","2020-11-13 14:16:31.017732","acd0a0b1-4c57-4d4d-bcc2-df6506cbe875","16441"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","1ssRs3pUmQjqhyhV8D102LJ2hVZfcPTiI/u/0ewV","708","2010-12-01 16:00:00.000000",,"1186238","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.061410","2020-11-13 14:16:31.061215","a8f9faf1-cdf1-4061-8f4d-9f1b81dab858","16447"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","5E8d6XWWz/a9ZEQJ/lUl++tG948S6Q99ONnzqBI6","691","2010-12-01 16:00:00.000000",,"4715423","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.075360","2020-11-13 14:16:31.075175","60d84aa5-bf6d-4529-a5ff-01f4c6d932af","16450"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","+ZQtFxFX43lS6bqTFiu4tTlU+NpvEjb1ClG0gXfP","326","2010-12-01 16:00:00.000000",,"1224617","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.080100","2020-11-13 14:16:31.079550","06690be1-59cd-46a5-a5ec-fde2ea92a580","16451"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","7wuHeT5vumQ5eiFvwNx7nexWYljunQMh1S5x8FUf","767","2010-12-01 16:00:00.000000",,"1999537","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.090963","2020-11-13 14:16:31.089413","e0518169-ae27-440d-9920-1d41a8e3197d","16454"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","fTd+7hpBBT2lWZ8WdUoKLu54RmANO13U0Pu3BFao","711","2010-12-01 16:00:00.000000",,"1444513","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.133626","2020-11-13 14:16:31.132259","210462cf-9c54-451b-83ef-0f1887ad61ef","16460"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","gVTCzDxYNYf6w+LeL+LAfIBu/+XeyUCojydi4b7c","636","2010-10-01 16:00:00.000000",,"1722073","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.148043","2020-11-13 14:16:31.147795","503acd01-0b34-4403-aa9f-2cb9d51369ce","16463"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","kD0ii6MGj+VfGMw+bTkSkC6guUT88ghI/k/KO7IK","854","2010-12-01 16:00:00.000000",,"1181567","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.186710","2020-11-13 14:16:31.186478","d523ed49-5c54-4a4b-a6e8-c5f32b4313a3","16472"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","kSeHwl2GFR4+S8eodsCLcoM7c70T5fq94c3TV6kC","896","2010-12-01 16:00:00.000000",,"1514106","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.205537","2020-11-13 14:16:31.205337","e6af0a2f-85b5-4523-ab2a-ffb7fdd8b682","16476"
"ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","meq8e6h09fbaGqQHOatkeepxud/jsK0YOuUZajvS","631","2010-12-01 16:00:00.000000",,"1359366","1181","101",,,"942",,,"2011","1739","NULL","2020-11-13 14:16:31.220196","2020-11-13 14:16:31.219960","362bd1e6-1540-46a1-833b-b3bdca6855da","16479"
