accommodationdescriptorid,assessmentidentifier,namespace,studentassessmentidentifier,studentusi,createdate
"51","ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","+ZQtFxFX43lS6bqTFiu4tTlU+NpvEjb1ClG0gXfP","326","2020-11-13 14:16:31.081488"
"51","ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","f1UhXHo7CGJ3PoMyH8AClKD37kkrueeY06d2v64t","846","2020-11-13 14:16:31.135209"
"51","ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","hmdqqTKa1B65RxOPmwnYFLd1Vl4ohhujtPyioeB0","895","2020-11-13 14:16:31.163834"
"51","ACT Composite","uri://ed-fi.org/Assessment/Assessment.xml","N0zNFjE04enP/Z+8lnY0TD7yKVoSJaXUdapsOid7","368","2020-11-13 14:16:31.234322"
"51","ACT English","uri://ed-fi.org/Assessment/Assessment.xml","+d+Jv5OFFV4DV7OIVFMkCknNv9MbjwUyoJCjsiDy","846","2020-11-13 14:16:31.377666"
"51","ACT English","uri://ed-fi.org/Assessment/Assessment.xml","0nZJsXpUzRVC1Hul5MFsJM52Yv9RlAuxsUqweyEH","326","2020-11-13 14:16:31.400117"
"51","ACT English","uri://ed-fi.org/Assessment/Assessment.xml","AnduBX4MRX2bQjHHJEbnL8WpYuOxHnFKTwftyobW","368","2020-11-13 14:16:31.500620"
"51","ACT English","uri://ed-fi.org/Assessment/Assessment.xml","ZifphGmyah4jKKUF6B1V100MjGDwPkm7CGOorumJ","895","2020-11-13 14:16:31.767975"
"51","ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","1JcWI39c+RJin9cxu1FAKykjq4tfFtSbt0+gMDz9","895","2020-11-13 14:16:31.777329"
"51","ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","4CQ5YtPQXjOBeX3XC4TpZBr1sSs7xROiggX/F7Dn","846","2020-11-13 14:16:31.788103"
"51","ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","AqPgYfEwcT6cp5Zh7E5zgjZbhLuuVLt9b+3vDSPn","368","2020-11-13 14:16:31.820154"
"51","ACT Reading","uri://ed-fi.org/Assessment/Assessment.xml","NDXpUnIrFtgAXXb9C/fXh2/P3OrqebJCrnAf0kFs","326","2020-11-13 14:16:31.943418"
"51","ACT Science","uri://ed-fi.org/Assessment/Assessment.xml","3+oQ8/xlQVJebtUp1lQ9h07xRYMY0OruerLiTVyu","326","2020-11-13 14:16:32.100879"
"51","ACT Science","uri://ed-fi.org/Assessment/Assessment.xml","Il7bMz0JeHzIo67/VWOcFniHb4VR66a1pJI60gPH","895","2020-11-13 14:16:32.196406"
"51","ACT Science","uri://ed-fi.org/Assessment/Assessment.xml","xmSvr7t/TkFBhHKnwxSDBtWOTU8wk6ssQoQVnHlM","368","2020-11-13 14:16:32.363261"
"51","ACT Science","uri://ed-fi.org/Assessment/Assessment.xml","zx7IdAAugALDu0NG/qnsbkb2Cn2TCC6xJqpn3tJC","846","2020-11-13 14:16:32.410007"
"51","ACT Writing","uri://ed-fi.org/Assessment/Assessment.xml","a9lzXs7waGPhRaXjArTlVewfiYC7mzbFSWYTToz9","846","2020-11-13 14:16:32.445739"
"51","ACT Writing","uri://ed-fi.org/Assessment/Assessment.xml","J9gyUcL2NBK+F8enK97nysMvyAHa88pDbkGdtTvN","368","2020-11-13 14:16:32.560532"
"51","ACT Writing","uri://ed-fi.org/Assessment/Assessment.xml","rPtE0RKesA6DABf9ui0AFOe/Cy0W6q6Uuus2uT62","895","2020-11-13 14:16:32.670633"
"51","ACT Writing","uri://ed-fi.org/Assessment/Assessment.xml","UYZKfKmfqO3QfIkqu2+GirEAjLudXmSiGTeq+vRm","326","2020-11-13 14:16:32.870765"
"57","01774fa3-06f1-47fe-8801-c8b1e65057f2","uri://ed-fi.org/Assessment/Assessment.xml","Nmg+l9gk5807+W2bCTTg/swG3YCtfXsf59ZSt5YC","942","2020-11-13 14:16:36.588892"
"58","01774fa3-06f1-47fe-8801-c8b1e65057f2","uri://ed-fi.org/Assessment/Assessment.xml","Nmg+l9gk5807+W2bCTTg/swG3YCtfXsf59ZSt5YC","942","2020-11-13 14:16:36.588933"
"57","01774fa3-06f1-47fe-8801-c8b1e65057f2","uri://ed-fi.org/Assessment/Assessment.xml","sqkezxfayULjbQETCb4I1H2oHvdvKUaq/Xo2a/ze","200","2020-11-13 14:16:36.689733"
"58","01774fa3-06f1-47fe-8801-c8b1e65057f2","uri://ed-fi.org/Assessment/Assessment.xml","sqkezxfayULjbQETCb4I1H2oHvdvKUaq/Xo2a/ze","200","2020-11-13 14:16:36.689799"
"57","19bcfe00-9c75-4d4f-ac2c-706e7479070f","uri://ed-fi.org/Assessment/Assessment.xml","82bD2hykbjJXDXrhQnGVbwdotR6JgFVNM69A0VQd","200","2020-11-13 14:16:36.932576"
"58","19bcfe00-9c75-4d4f-ac2c-706e7479070f","uri://ed-fi.org/Assessment/Assessment.xml","82bD2hykbjJXDXrhQnGVbwdotR6JgFVNM69A0VQd","200","2020-11-13 14:16:36.932618"
"57","19bcfe00-9c75-4d4f-ac2c-706e7479070f","uri://ed-fi.org/Assessment/Assessment.xml","uGASrnLXR8rsMaPmjJ1QTecJqacL5NVO5LcIUL3N","942","2020-11-13 14:16:37.389256"
"58","19bcfe00-9c75-4d4f-ac2c-706e7479070f","uri://ed-fi.org/Assessment/Assessment.xml","uGASrnLXR8rsMaPmjJ1QTecJqacL5NVO5LcIUL3N","942","2020-11-13 14:16:37.389312"
