assessmentidentifier,identificationcode,namespace,studentassessmentidentifier,studentusi,assessmentresponse,descriptivefeedback,responseindicatordescriptorid,assessmentitemresultdescriptorid,rawscoreresult,timeassessed,createdate
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848478","uri://ed-fi.org/Assessment/Assessment.xml","+/l/63fX4iCcs9VvArcOYu5tdg9d1APkRaehrKbx","714","C",,"1994","179",,,"2020-11-13 14:16:32.981600"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848478","uri://ed-fi.org/Assessment/Assessment.xml","+1L0Z4bMVQSSHHpaMJY9UkR45g7+OAFiVvaAxOB5","160","G",,"1994","179",,,"2020-11-13 14:16:32.981600"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848478","uri://ed-fi.org/Assessment/Assessment.xml","/Us/msJ4w7K3E3e9dyPfOGMUTo3V13VnkwiUpGXv","338","F",,"1994","179",,,"2020-11-13 14:16:32.985564"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848480","uri://ed-fi.org/Assessment/Assessment.xml","+/l/63fX4iCcs9VvArcOYu5tdg9d1APkRaehrKbx","714","C",,"1994","179",,,"2020-11-13 14:16:32.981963"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848480","uri://ed-fi.org/Assessment/Assessment.xml","/Us/msJ4w7K3E3e9dyPfOGMUTo3V13VnkwiUpGXv","338","F",,"1994","179",,,"2020-11-13 14:16:32.985645"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848480","uri://ed-fi.org/Assessment/Assessment.xml","+1L0Z4bMVQSSHHpaMJY9UkR45g7+OAFiVvaAxOB5","160","G",,"1994","179",,,"2020-11-13 14:16:32.981962"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848481","uri://ed-fi.org/Assessment/Assessment.xml","/Us/msJ4w7K3E3e9dyPfOGMUTo3V13VnkwiUpGXv","338","F",,"1994","179",,,"2020-11-13 14:16:32.985690"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848481","uri://ed-fi.org/Assessment/Assessment.xml","+/l/63fX4iCcs9VvArcOYu5tdg9d1APkRaehrKbx","714","C",,"1994","179",,,"2020-11-13 14:16:32.981979"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848481","uri://ed-fi.org/Assessment/Assessment.xml","+1L0Z4bMVQSSHHpaMJY9UkR45g7+OAFiVvaAxOB5","160","G",,"1994","179",,,"2020-11-13 14:16:32.981980"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848484","uri://ed-fi.org/Assessment/Assessment.xml","/Us/msJ4w7K3E3e9dyPfOGMUTo3V13VnkwiUpGXv","338","F",,"1994","179",,,"2020-11-13 14:16:32.985725"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848484","uri://ed-fi.org/Assessment/Assessment.xml","+/l/63fX4iCcs9VvArcOYu5tdg9d1APkRaehrKbx","714","C",,"1994","179",,,"2020-11-13 14:16:32.981992"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848486","uri://ed-fi.org/Assessment/Assessment.xml","/Us/msJ4w7K3E3e9dyPfOGMUTo3V13VnkwiUpGXv","338","F",,"1994","179",,,"2020-11-13 14:16:32.985759"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848486","uri://ed-fi.org/Assessment/Assessment.xml","+/l/63fX4iCcs9VvArcOYu5tdg9d1APkRaehrKbx","714","C",,"1994","179",,,"2020-11-13 14:16:32.982019"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848484","uri://ed-fi.org/Assessment/Assessment.xml","+1L0Z4bMVQSSHHpaMJY9UkR45g7+OAFiVvaAxOB5","160","G",,"1994","179",,,"2020-11-13 14:16:32.981992"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848487","uri://ed-fi.org/Assessment/Assessment.xml","/Us/msJ4w7K3E3e9dyPfOGMUTo3V13VnkwiUpGXv","338","F",,"1994","179",,,"2020-11-13 14:16:32.985792"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848487","uri://ed-fi.org/Assessment/Assessment.xml","+/l/63fX4iCcs9VvArcOYu5tdg9d1APkRaehrKbx","714","C",,"1994","179",,,"2020-11-13 14:16:32.982047"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848486","uri://ed-fi.org/Assessment/Assessment.xml","+1L0Z4bMVQSSHHpaMJY9UkR45g7+OAFiVvaAxOB5","160","G",,"1994","179",,,"2020-11-13 14:16:32.982099"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848488","uri://ed-fi.org/Assessment/Assessment.xml","/Us/msJ4w7K3E3e9dyPfOGMUTo3V13VnkwiUpGXv","338","F",,"1994","179",,,"2020-11-13 14:16:32.985827"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848489","uri://ed-fi.org/Assessment/Assessment.xml","/Us/msJ4w7K3E3e9dyPfOGMUTo3V13VnkwiUpGXv","338","F",,"1994","179",,,"2020-11-13 14:16:32.985860"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848488","uri://ed-fi.org/Assessment/Assessment.xml","+/l/63fX4iCcs9VvArcOYu5tdg9d1APkRaehrKbx","714","C",,"1994","179",,,"2020-11-13 14:16:32.982060"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848490","uri://ed-fi.org/Assessment/Assessment.xml","/Us/msJ4w7K3E3e9dyPfOGMUTo3V13VnkwiUpGXv","338","F",,"1994","179",,,"2020-11-13 14:16:32.985889"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848489","uri://ed-fi.org/Assessment/Assessment.xml","+/l/63fX4iCcs9VvArcOYu5tdg9d1APkRaehrKbx","714","C",,"1994","179",,,"2020-11-13 14:16:32.982070"
"ae049cb3-33d0-431f-b0f3-a751df7217ef","9848491","uri://ed-fi.org/Assessment/Assessment.xml","/Us/msJ4w7K3E3e9dyPfOGMUTo3V13VnkwiUpGXv","338","F",,"1994","179",,,"2020-11-13 14:16:32.985918"
