assessmentidentifier,assessmentreportingmethoddescriptorid,namespace,studentassessmentidentifier,studentusi,result,resultdatatypetypedescriptorid,createdate
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","+aLioBUaC8eYKxboMN/eiCJpBmlqstlA9qsvmt64","581","17","2012","2020-11-13 14:16:31.033983"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","0wlcUvuxcdhrnJH+V29GNSO36wWNYCJTcmxwEg7r","137","17","2012","2020-11-13 14:16:31.059734"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","4e7AG6cah/PVmM1YHDybJxcffqEhfwkiO7Day5hb","833","21","2012","2020-11-13 14:16:31.072995"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","6xNAAWoLFw0HCc2YjloCpY58Kt1FjxQ/7lWUuefT","367","11","2012","2020-11-13 14:16:31.089439"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","aRkziUG8QJQfZ3LXIKWcMFH0AnUR3pViBrWmmVuf","63","19","2012","2020-11-13 14:16:31.102465"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","cdEG7vAqG21Ve+3dVusKnTnQAcEZDBk+ANv85ouA","493","14","2012","2020-11-13 14:16:31.123401"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","f1UhXHo7CGJ3PoMyH8AClKD37kkrueeY06d2v64t","846","19","2012","2020-11-13 14:16:31.135239"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","hBj0jy10h330yw9W0gYD/AyXWpB5AL2BVJT7qtd8","425","20","2012","2020-11-13 14:16:31.155888"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","hUaMZdLFFAwBKfT2uuwHcjPAb+G1/5Mjk5mhGTsA","446","14","2012","2020-11-13 14:16:31.170524"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","i4wa3/POfmDCNxNeuH4NOZxo+tUBDNdGHFavik4h","647","18","2012","2020-11-13 14:16:31.176425"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","J8ez6WNEqMpbE655h65oZuAH31ETH0wcElF0UDOy","320","25","2012","2020-11-13 14:16:31.185863"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","kKN4ClAlazFoy9Jrm81WwYImGp8hvdvUJHY9//g6","806","16","2012","2020-11-13 14:16:31.204186"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","LTx2Bc84Nb9jEMtV11r7+rLGjUgiryvBAR2qxXzB","597","16","2012","2020-11-13 14:16:31.218786"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","N4J+XLQzUY+BNKysmmJNK1D+pb5WTkYzt6nXJPp3","295","23","2012","2020-11-13 14:16:31.234179"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","ODBo2u+wI19knn9kiDXKmjFJkRs+dH1QO5WEVmcX","95","19","2012","2020-11-13 14:16:31.238900"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","oIBXF9RP/e9EAAMbsSQr/cKIeHQ8jiK4fzxXEEa/","655","21","2012","2020-11-13 14:16:31.246694"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","ommS84yeVVj//cygzlMUPEZWa5Lc7p4iI/2S81oP","67","16","2012","2020-11-13 14:16:31.275022"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","pxYLVicYyB7ZN7in6U5IkU9hWtviDEIn3wpSzTD9","649","20","2012","2020-11-13 14:16:31.293806"
"ACT Composite","194","uri://ed-fi.org/Assessment/Assessment.xml","QlaLPqY9ggsLRKVeKw0SCJuUM77MGA9fOJ3+hCkG","453","15","2012","2020-11-13 14:16:31.300613"
