assessmentidentifier,identificationcode,namespace,studentassessmentidentifier,studentusi,createdate
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.946902"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.946823"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.946858"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947810"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947827"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947841"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947827"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947843"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947859"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947851"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947835"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947871"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947859"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947843"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947882"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947868"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947853"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947895"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947877"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947861"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947907"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947884"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947918"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947893"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947868"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947902"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947932"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947878"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947909"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947943"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2020-11-13 14:16:40.947918"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947954"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-46","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947886"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2020-11-13 14:16:40.947967"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-47","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947894"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-48","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","2020-11-13 14:16:40.947903"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010008"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010657"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010712"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010760"
"MP-2013-Mathematics-Seventh grade","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","39WpRfpk8zZJQXNPVFEDS2PqkEJt4vmbcO4rvOF7","23","2020-11-13 14:16:41.010791"
