assessmentidentifier,assessmentreportingmethoddescriptorid,identificationcode,namespace,performanceleveldescriptorid,studentassessmentidentifier,studentusi,performancelevelmet,createdate
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-1","uri://ed-fi.org/Assessment/Assessment.xml","1714","lNl7s4QWt1w3fqtHpVumZUqqUZCJi/eV1bUfe+VS","31","true","2020-11-13 14:16:42.180858"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","JFqbtT/jCC+2JCoZQQhpzHvNjwkesqWYcYT12G9G","92","true","2020-11-13 14:16:42.180995"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","OjX8IQUGvsqbSe/0GqWMclKG33q8VLPCxcdxdwym","23","true","2020-11-13 14:16:42.181099"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-2","uri://ed-fi.org/Assessment/Assessment.xml","1714","lNl7s4QWt1w3fqtHpVumZUqqUZCJi/eV1bUfe+VS","31","true","2020-11-13 14:16:42.182895"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","JFqbtT/jCC+2JCoZQQhpzHvNjwkesqWYcYT12G9G","92","true","2020-11-13 14:16:42.183108"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","OjX8IQUGvsqbSe/0GqWMclKG33q8VLPCxcdxdwym","23","true","2020-11-13 14:16:42.183098"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-3","uri://ed-fi.org/Assessment/Assessment.xml","1714","lNl7s4QWt1w3fqtHpVumZUqqUZCJi/eV1bUfe+VS","31","true","2020-11-13 14:16:42.182930"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-3","uri://ed-fi.org/Assessment/Assessment.xml","1714","JFqbtT/jCC+2JCoZQQhpzHvNjwkesqWYcYT12G9G","92","true","2020-11-13 14:16:42.183141"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-3","uri://ed-fi.org/Assessment/Assessment.xml","1714","OjX8IQUGvsqbSe/0GqWMclKG33q8VLPCxcdxdwym","23","true","2020-11-13 14:16:42.183174"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-4","uri://ed-fi.org/Assessment/Assessment.xml","1713","JFqbtT/jCC+2JCoZQQhpzHvNjwkesqWYcYT12G9G","92","true","2020-11-13 14:16:42.183155"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","lNl7s4QWt1w3fqtHpVumZUqqUZCJi/eV1bUfe+VS","31","true","2020-11-13 14:16:42.182941"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-4","uri://ed-fi.org/Assessment/Assessment.xml","1713","OjX8IQUGvsqbSe/0GqWMclKG33q8VLPCxcdxdwym","23","true","2020-11-13 14:16:42.183187"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-5","uri://ed-fi.org/Assessment/Assessment.xml","1710","JFqbtT/jCC+2JCoZQQhpzHvNjwkesqWYcYT12G9G","92","true","2020-11-13 14:16:42.183164"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-5","uri://ed-fi.org/Assessment/Assessment.xml","1713","lNl7s4QWt1w3fqtHpVumZUqqUZCJi/eV1bUfe+VS","31","true","2020-11-13 14:16:42.182952"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-5","uri://ed-fi.org/Assessment/Assessment.xml","1714","OjX8IQUGvsqbSe/0GqWMclKG33q8VLPCxcdxdwym","23","true","2020-11-13 14:16:42.183198"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-6","uri://ed-fi.org/Assessment/Assessment.xml","1713","JFqbtT/jCC+2JCoZQQhpzHvNjwkesqWYcYT12G9G","92","true","2020-11-13 14:16:42.183174"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-6","uri://ed-fi.org/Assessment/Assessment.xml","1710","lNl7s4QWt1w3fqtHpVumZUqqUZCJi/eV1bUfe+VS","31","true","2020-11-13 14:16:42.182962"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-6","uri://ed-fi.org/Assessment/Assessment.xml","1713","OjX8IQUGvsqbSe/0GqWMclKG33q8VLPCxcdxdwym","23","true","2020-11-13 14:16:42.183209"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-1","uri://ed-fi.org/Assessment/Assessment.xml","1713","Q2r+DTj0fn3hc5YEUb1PUDAHCTzbjgIXZsezBgbx","26","true","2020-11-13 14:16:42.210402"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-2","uri://ed-fi.org/Assessment/Assessment.xml","1713","Q2r+DTj0fn3hc5YEUb1PUDAHCTzbjgIXZsezBgbx","26","true","2020-11-13 14:16:42.212706"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-3","uri://ed-fi.org/Assessment/Assessment.xml","1714","Q2r+DTj0fn3hc5YEUb1PUDAHCTzbjgIXZsezBgbx","26","true","2020-11-13 14:16:42.212728"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-4","uri://ed-fi.org/Assessment/Assessment.xml","1714","Q2r+DTj0fn3hc5YEUb1PUDAHCTzbjgIXZsezBgbx","26","true","2020-11-13 14:16:42.212742"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-5","uri://ed-fi.org/Assessment/Assessment.xml","1713","Q2r+DTj0fn3hc5YEUb1PUDAHCTzbjgIXZsezBgbx","26","true","2020-11-13 14:16:42.212752"
"SA-2011-Mathematics-Eighth grade","214","State Assessment_Mathematics8-6","uri://ed-fi.org/Assessment/Assessment.xml","1713","Q2r+DTj0fn3hc5YEUb1PUDAHCTzbjgIXZsezBgbx","26","true","2020-11-13 14:16:42.212762"
"SA-2011-Mathematics-Fifth grade","214","State Assessment_Mathematics5-1","uri://ed-fi.org/Assessment/Assessment.xml","1710","/UHGKQv5EAgBmai4ZIjWZFX+o+GZptxEfl9uWO/k","147","true","2020-11-13 14:16:42.215067"
