assessmentidentifier,assessmentreportingmethoddescriptorid,identificationcode,namespace,studentassessmentidentifier,studentusi,result,resultdatatypetypedescriptorid,createdate
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","3","2011","2020-11-13 14:16:40.947978"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","0","2011","2020-11-13 14:16:40.947911"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2","2011","2020-11-13 14:16:40.947926"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","1","2011","2020-11-13 14:16:40.950939"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","0","2011","2020-11-13 14:16:40.950937"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","1","2011","2020-11-13 14:16:40.951043"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","1","2011","2020-11-13 14:16:40.950956"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","0","2011","2020-11-13 14:16:40.950975"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","0","2011","2020-11-13 14:16:40.951057"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-37","uri://ed-fi.org/Assessment/Assessment.xml","2d7QI2vH16MgtmjvEgP5KZiJNE1dtBTjJ7dGBp8d","92","3","2011","2020-11-13 14:16:40.947913"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","0","2011","2020-11-13 14:16:40.951033"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","1","2011","2020-11-13 14:16:40.950967"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","1","2011","2020-11-13 14:16:40.951066"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","1","2011","2020-11-13 14:16:40.951077"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2","2011","2020-11-13 14:16:40.950978"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-41","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","1","2011","2020-11-13 14:16:40.951059"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-38","uri://ed-fi.org/Assessment/Assessment.xml","2d7QI2vH16MgtmjvEgP5KZiJNE1dtBTjJ7dGBp8d","92","0","2011","2020-11-13 14:16:40.952100"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","1","2011","2020-11-13 14:16:40.951087"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","4","2011","2020-11-13 14:16:40.950988"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-42","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","0","2011","2020-11-13 14:16:40.951070"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-39","uri://ed-fi.org/Assessment/Assessment.xml","2d7QI2vH16MgtmjvEgP5KZiJNE1dtBTjJ7dGBp8d","92","1","2011","2020-11-13 14:16:40.952117"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","2","2011","2020-11-13 14:16:40.950998"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","1","2011","2020-11-13 14:16:40.951096"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-43","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","1","2011","2020-11-13 14:16:40.951082"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","1","2011","2020-11-13 14:16:40.951009"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","0","2011","2020-11-13 14:16:40.951107"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-44","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","0","2011","2020-11-13 14:16:40.951091"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","0+KxanZG+CdQReWPdaJiMPEjaCZJQP2IDP0mU2I4","645","3","2011","2020-11-13 14:16:40.951019"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","2r87Bg5TTt4i87HP/UHCx43UQh4yVGjz7GC+hNU7","724","1","2011","2020-11-13 14:16:40.951116"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-45","uri://ed-fi.org/Assessment/Assessment.xml","1YOGV0cm24SP4bh1mizCMUwkcVpqBwfb8hYYAZgr","877","2","2011","2020-11-13 14:16:40.951101"
"MP-2013-Mathematics-Seventh grade","214","Seventh grade Mathematics-40","uri://ed-fi.org/Assessment/Assessment.xml","2d7QI2vH16MgtmjvEgP5KZiJNE1dtBTjJ7dGBp8d","92","0","2011","2020-11-13 14:16:40.952127"
