begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi,nontraditionalgenderstatus,privatecteprogram,technicalskillsassessmentdescriptorid
"2010-08-30","255901","255901","Career and Technical Education","1795","27",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","28",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","12",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","2",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","61",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","43",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","79",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","63",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","98",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","148",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","209",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","120",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","211",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","215",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","225",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","221",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","233",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","268",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","243",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","272",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","283",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","300",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","314",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","315",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","321",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","226",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","357",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","355",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","367",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","477",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","402",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","404",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","481",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","489",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","498",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","493",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","508",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","515",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","564",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","567",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","574",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","587",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","601",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","627",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","636",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","631",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","647",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","666",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","696",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","710",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","735",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","767",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","748",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","789",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","783",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","791",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","794",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","808",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","829",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","895",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","901",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","908",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","920",,,
"2010-08-30","255901","255901","Career and Technical Education","1795","954",,,
