educationorganizationid,languagedescriptorid,studentusi,createdate
"255901","1160","1","2020-11-13 14:17:28.513948"
"255901","1322","2","2020-11-13 14:17:28.513922"
"255901","1529","6","2020-11-13 14:17:28.548431"
"255901","1489","11","2020-11-13 14:17:28.584793"
"255901","1492","14","2020-11-13 14:17:28.604208"
"255901","1469","16","2020-11-13 14:17:28.605977"
"255901","1284","17","2020-11-13 14:17:28.624321"
"255901","1160","21","2020-11-13 14:17:28.652107"
"255901","1398","25","2020-11-13 14:17:28.676196"
"255901","1076","28","2020-11-13 14:17:28.701528"
"255901","1469","29","2020-11-13 14:17:28.710059"
"255901","1134","31","2020-11-13 14:17:28.723684"
"255901","1181","32","2020-11-13 14:17:28.723661"
"255901","1463","33","2020-11-13 14:17:28.727340"
"255901","1218","34","2020-11-13 14:17:28.738932"
"255901","1230","50","2020-11-13 14:17:28.846684"
"255901","1432","51","2020-11-13 14:17:28.856708"
"255901","1529","56","2020-11-13 14:17:28.885159"
"255901","1160","57","2020-11-13 14:17:28.897194"
"255901","1158","58","2020-11-13 14:17:28.901002"
"255901","1136","59","2020-11-13 14:17:28.907407"
"255901","1179","60","2020-11-13 14:17:28.913195"
"255901","1187","62","2020-11-13 14:17:28.932430"
"255901","1317","66","2020-11-13 14:17:28.972396"
"255901","1162","69","2020-11-13 14:17:28.987110"
"255901","1313","72","2020-11-13 14:17:29.010676"
"255901","1498","76","2020-11-13 14:17:29.040293"
"255901","1460","82","2020-11-13 14:17:29.070184"
"255901","1076","83","2020-11-13 14:17:29.074689"
"255901","1335","85","2020-11-13 14:17:29.093223"
"255901","1227","87","2020-11-13 14:17:29.108749"
"255901","1204","88","2020-11-13 14:17:29.113819"
"255901","1317","92","2020-11-13 14:17:29.142373"
"255901","1479","93","2020-11-13 14:17:29.148893"
"255901","1309","95","2020-11-13 14:17:29.162552"
"255901","1469","98","2020-11-13 14:17:29.175336"
"255901","1479","99","2020-11-13 14:17:29.190149"
"255901","1201","100","2020-11-13 14:17:29.192794"
"255901","1201","104","2020-11-13 14:17:29.218665"
"255901","1429","106","2020-11-13 14:17:29.238044"
"255901","1328","107","2020-11-13 14:17:29.243526"
"255901","1130","111","2020-11-13 14:17:29.271734"
"255901","1204","112","2020-11-13 14:17:29.275633"
"255901","1313","113","2020-11-13 14:17:29.296544"
"255901","1201","115","2020-11-13 14:17:29.299336"
"255901","1543","114","2020-11-13 14:17:29.299693"
"255901","1543","116","2020-11-13 14:17:29.303728"
"255901","1284","118","2020-11-13 14:17:29.324428"
"255901","1264","123","2020-11-13 14:17:29.352497"
"255901","1187","125","2020-11-13 14:17:29.374086"
"255901","1489","126","2020-11-13 14:17:29.379729"
"255901","1162","131","2020-11-13 14:17:29.407106"
"255901","1203","136","2020-11-13 14:17:29.438013"
"255901","1313","138","2020-11-13 14:17:29.455592"
"255901","1187","139","2020-11-13 14:17:29.455927"
"255901","1460","140","2020-11-13 14:17:29.464550"
"255901","1543","141","2020-11-13 14:17:29.475598"
"255901","1309","143","2020-11-13 14:17:29.483334"
"255901","1181","145","2020-11-13 14:17:29.504666"
"255901","1204","147","2020-11-13 14:17:29.512883"
