educationorganizationid,languagedescriptorid,languageusedescriptorid,studentusi,createdate
"255901","1160","1568","1","2020-11-13 14:17:28.515215"
"255901","1322","1568","2","2020-11-13 14:17:28.515639"
"255901","1529","1568","6","2020-11-13 14:17:28.549187"
"255901","1489","1568","11","2020-11-13 14:17:28.585794"
"255901","1492","1568","14","2020-11-13 14:17:28.604745"
"255901","1469","1568","16","2020-11-13 14:17:28.606795"
"255901","1284","1568","17","2020-11-13 14:17:28.624985"
"255901","1160","1568","21","2020-11-13 14:17:28.652507"
"255901","1398","1568","25","2020-11-13 14:17:28.676786"
"255901","1076","1568","28","2020-11-13 14:17:28.702091"
"255901","1469","1568","29","2020-11-13 14:17:28.711248"
"255901","1134","1568","31","2020-11-13 14:17:28.724164"
"255901","1181","1568","32","2020-11-13 14:17:28.724206"
"255901","1463","1568","33","2020-11-13 14:17:28.727844"
"255901","1218","1568","34","2020-11-13 14:17:28.739536"
"255901","1230","1568","50","2020-11-13 14:17:28.847279"
"255901","1432","1568","51","2020-11-13 14:17:28.857744"
"255901","1529","1568","56","2020-11-13 14:17:28.885870"
"255901","1160","1568","57","2020-11-13 14:17:28.897922"
"255901","1158","1568","58","2020-11-13 14:17:28.901741"
"255901","1136","1568","59","2020-11-13 14:17:28.907907"
"255901","1179","1568","60","2020-11-13 14:17:28.913954"
"255901","1187","1568","62","2020-11-13 14:17:28.933351"
"255901","1317","1568","66","2020-11-13 14:17:28.973402"
"255901","1162","1568","69","2020-11-13 14:17:28.987880"
"255901","1313","1568","72","2020-11-13 14:17:29.011404"
"255901","1498","1568","76","2020-11-13 14:17:29.041039"
"255901","1460","1568","82","2020-11-13 14:17:29.070818"
"255901","1076","1568","83","2020-11-13 14:17:29.075451"
"255901","1335","1568","85","2020-11-13 14:17:29.093694"
"255901","1227","1568","87","2020-11-13 14:17:29.109487"
"255901","1204","1568","88","2020-11-13 14:17:29.114339"
"255901","1317","1568","92","2020-11-13 14:17:29.142876"
"255901","1479","1568","93","2020-11-13 14:17:29.149546"
"255901","1309","1568","95","2020-11-13 14:17:29.163197"
"255901","1469","1568","98","2020-11-13 14:17:29.175972"
"255901","1479","1568","99","2020-11-13 14:17:29.190592"
"255901","1201","1568","100","2020-11-13 14:17:29.193468"
"255901","1201","1568","104","2020-11-13 14:17:29.219197"
"255901","1429","1568","106","2020-11-13 14:17:29.238582"
"255901","1328","1568","107","2020-11-13 14:17:29.244013"
"255901","1130","1568","111","2020-11-13 14:17:29.272294"
"255901","1204","1568","112","2020-11-13 14:17:29.276078"
"255901","1313","1568","113","2020-11-13 14:17:29.297227"
"255901","1201","1568","115","2020-11-13 14:17:29.299828"
"255901","1543","1568","114","2020-11-13 14:17:29.300374"
"255901","1543","1568","116","2020-11-13 14:17:29.304242"
"255901","1284","1568","118","2020-11-13 14:17:29.325393"
"255901","1264","1568","123","2020-11-13 14:17:29.353203"
"255901","1187","1568","125","2020-11-13 14:17:29.374577"
"255901","1489","1568","126","2020-11-13 14:17:29.380502"
"255901","1162","1568","131","2020-11-13 14:17:29.407576"
"255901","1203","1568","136","2020-11-13 14:17:29.438514"
"255901","1313","1568","138","2020-11-13 14:17:29.456282"
"255901","1187","1568","139","2020-11-13 14:17:29.456636"
"255901","1460","1568","140","2020-11-13 14:17:29.465726"
"255901","1543","1568","141","2020-11-13 14:17:29.476048"
"255901","1309","1568","143","2020-11-13 14:17:29.484030"
"255901","1181","1568","145","2020-11-13 14:17:29.505122"
"255901","1204","1568","147","2020-11-13 14:17:29.513635"
"255901","1469","1568","150","2020-11-13 14:17:29.532854"
"255901","1543","1568","149","2020-11-13 14:17:29.532791"
"255901","1398","1568","154","2020-11-13 14:17:29.560359"
"255901","1076","1568","160","2020-11-13 14:17:29.603875"
"255901","1136","1568","162","2020-11-13 14:17:29.611281"
"255901","1324","1568","163","2020-11-13 14:17:29.857932"
"255901","1541","1568","167","2020-11-13 14:17:29.882436"
"255901","1158","1568","169","2020-11-13 14:17:29.889064"
"255901","1429","1568","172","2020-11-13 14:17:29.910967"
"255901","1429","1568","173","2020-11-13 14:17:29.914748"
"255901","1134","1568","179","2020-11-13 14:17:29.944564"
"255901","1324","1568","180","2020-11-13 14:17:29.993589"
"255901","1521","1568","181","2020-11-13 14:17:29.993620"
"255901","1498","1568","177","2020-11-13 14:17:29.993877"
"255901","1201","1568","187","2020-11-13 14:17:30.040091"
"255901","1170","1568","184","2020-11-13 14:17:30.040416"
"255901","1134","1568","186","2020-11-13 14:17:30.040491"
"255901","1181","1568","193","2020-11-13 14:17:30.089898"
"255901","1134","1568","192","2020-11-13 14:17:30.090007"
"255901","1335","1568","195","2020-11-13 14:17:30.098344"
"255901","1179","1568","197","2020-11-13 14:17:30.117740"
"255901","1335","1568","201","2020-11-13 14:17:30.148912"
"255901","1160","1568","203","2020-11-13 14:17:30.161966"
"255901","1204","1568","206","2020-11-13 14:17:30.175615"
"255901","1152","1568","207","2020-11-13 14:17:30.188490"
"255901","1529","1568","208","2020-11-13 14:17:30.191461"
"255901","1136","1568","209","2020-11-13 14:17:30.199214"
"255901","1479","1568","210","2020-11-13 14:17:30.201750"
"255901","1483","1568","212","2020-11-13 14:17:30.216375"
"255901","1489","1568","216","2020-11-13 14:17:30.244126"
"255901","1489","1568","220","2020-11-13 14:17:30.270406"
"255901","1181","1568","221","2020-11-13 14:17:30.271181"
"255901","1264","1568","226","2020-11-13 14:17:30.305336"
"255901","1538","1568","231","2020-11-13 14:17:30.341365"
"255901","1469","1568","233","2020-11-13 14:17:30.353738"
"255901","1152","1568","234","2020-11-13 14:17:30.357714"
"255901","1479","1568","236","2020-11-13 14:17:30.381520"
"255901","1469","1568","238","2020-11-13 14:17:30.386719"
"255901","1429","1568","241","2020-11-13 14:17:30.409425"
"255901","1152","1568","243","2020-11-13 14:17:30.417133"
"255901","1284","1568","244","2020-11-13 14:17:30.431643"
"255901","1538","1568","246","2020-11-13 14:17:30.438496"
"255901","1316","1568","248","2020-11-13 14:17:30.465641"
"255901","1152","1568","249","2020-11-13 14:17:30.465862"
"255901","1479","1568","251","2020-11-13 14:17:30.474480"
"255901","1218","1568","253","2020-11-13 14:17:30.507397"
"255901","1076","1568","254","2020-11-13 14:17:30.509171"
"255901","1364","1568","258","2020-11-13 14:17:30.537561"
"255901","1201","1568","262","2020-11-13 14:17:30.567657"
"255901","1218","1568","264","2020-11-13 14:17:30.577541"
"255901","1398","1568","265","2020-11-13 14:17:30.586648"
"255901","1317","1568","266","2020-11-13 14:17:30.595666"
"255901","1335","1568","268","2020-11-13 14:17:30.605171"
"255901","1410","1568","269","2020-11-13 14:17:30.615112"
"255901","1101","1568","274","2020-11-13 14:17:30.646467"
"255901","1264","1568","276","2020-11-13 14:17:30.658524"
"255901","1204","1568","280","2020-11-13 14:17:30.689141"
"255901","1322","1568","282","2020-11-13 14:17:30.706398"
"255901","1398","1568","283","2020-11-13 14:17:30.706622"
"255901","1529","1568","286","2020-11-13 14:17:30.731789"
"255901","1119","1568","287","2020-11-13 14:17:30.736140"
"255901","1432","1568","291","2020-11-13 14:17:30.763391"
"255901","1460","1568","297","2020-11-13 14:17:30.803991"
"255901","1328","1568","298","2020-11-13 14:17:30.811807"
"255901","1206","1568","301","2020-11-13 14:17:30.833589"
"255901","1483","1568","306","2020-11-13 14:17:30.860420"
"255901","1130","1568","307","2020-11-13 14:17:30.868462"
"255901","1398","1568","308","2020-11-13 14:17:30.871161"
"255901","1543","1568","309","2020-11-13 14:17:30.884410"
"255901","1203","1568","311","2020-11-13 14:17:30.896817"
"255901","1364","1568","313","2020-11-13 14:17:30.911511"
"255901","1498","1568","315","2020-11-13 14:17:30.921679"
"255901","1264","1568","319","2020-11-13 14:17:30.955027"
"255901","1136","1568","321","2020-11-13 14:17:30.963030"
"255901","1324","1568","324","2020-11-13 14:17:30.980784"
"255901","1162","1568","325","2020-11-13 14:17:30.988797"
"255901","1410","1568","327","2020-11-13 14:17:30.997827"
"255901","1201","1568","328","2020-11-13 14:17:31.006954"
"255901","1179","1568","334","2020-11-13 14:17:31.038847"
"255901","1498","1568","340","2020-11-13 14:17:31.064699"
"255901","1463","1568","339","2020-11-13 14:17:31.085389"
"255901","1206","1568","343","2020-11-13 14:17:31.093636"
"255901","1328","1568","352","2020-11-13 14:17:31.155743"
"255901","1119","1568","351","2020-11-13 14:17:31.159837"
"255901","1309","1568","357","2020-11-13 14:17:31.188759"
"255901","1208","1568","362","2020-11-13 14:17:31.226417"
"255901","1237","1568","364","2020-11-13 14:17:31.235041"
"255901","1218","1568","365","2020-11-13 14:17:31.243997"
"255901","1203","1568","366","2020-11-13 14:17:31.255064"
"255901","1410","1568","378","2020-11-13 14:17:31.334456"
"255901","1398","1568","385","2020-11-13 14:17:31.391339"
"255901","1483","1568","388","2020-11-13 14:17:31.413576"
"255901","1541","1568","391","2020-11-13 14:17:31.431284"
"255901","1364","1568","393","2020-11-13 14:17:31.445354"
"255901","1101","1568","398","2020-11-13 14:17:31.471059"
"255901","1541","1568","402","2020-11-13 14:17:31.507765"
"255901","1119","1568","409","2020-11-13 14:17:31.538850"
"255901","1230","1568","415","2020-11-13 14:17:31.578095"
"255901","1313","1568","425","2020-11-13 14:17:31.641384"
"255901","1543","1568","429","2020-11-13 14:17:31.668849"
"255901","1187","1568","442","2020-11-13 14:17:31.767942"
"255901","1101","1568","448","2020-11-13 14:17:31.796004"
"255901","1211","1567","458","2020-11-13 14:17:31.868628"
"255901","1237","1568","468","2020-11-13 14:17:31.925367"
"255901","1136","1568","470","2020-11-13 14:17:31.956773"
"255901","1237","1568","480","2020-11-13 14:17:32.005477"
"255901","1432","1568","487","2020-11-13 14:17:32.051730"
"255901","1324","1568","492","2020-11-13 14:17:32.077337"
"255901","1160","1568","496","2020-11-13 14:17:32.101139"
"255901","1521","1568","499","2020-11-13 14:17:32.127667"
"255901","1230","1568","502","2020-11-13 14:17:32.152105"
"255901","1134","1568","505","2020-11-13 14:17:32.162598"
"255901","1158","1568","512","2020-11-13 14:17:32.201876"
"255901","1529","1568","526","2020-11-13 14:17:32.293414"
"255901","1152","1568","529","2020-11-13 14:17:32.318995"
"255901","1521","1568","534","2020-11-13 14:17:32.342937"
"255901","1460","1568","537","2020-11-13 14:17:32.368851"
"255901","1529","1568","557","2020-11-13 14:17:32.495078"
"255901","1538","1568","568","2020-11-13 14:17:32.574236"
"255901","1410","1568","575","2020-11-13 14:17:32.626587"
"255901","1543","1568","578","2020-11-13 14:17:32.649572"
"255901","1489","1568","586","2020-11-13 14:17:32.703914"
"255901","1158","1568","591","2020-11-13 14:17:32.728013"
"255901","1316","1568","597","2020-11-13 14:17:32.771594"
"255901","1316","1568","602","2020-11-13 14:17:32.805969"
"255901","1130","1568","610","2020-11-13 14:17:32.856628"
"255901","1483","1568","614","2020-11-13 14:17:32.883777"
"255901","1160","1568","620","2020-11-13 14:17:32.919269"
"255901","1364","1568","630","2020-11-13 14:17:32.984775"
"255901","1206","1568","633","2020-11-13 14:17:33.012335"
"255901","1237","1568","635","2020-11-13 14:17:33.020068"
"255901","1541","1568","657","2020-11-13 14:17:33.173376"
"255901","1181","1568","670","2020-11-13 14:17:33.247163"
"255901","1317","1568","685","2020-11-13 14:17:33.345624"
"255901","1230","1568","694","2020-11-13 14:17:33.396124"
"255901","1208","1568","709","2020-11-13 14:17:33.495971"
"255901","1322","1568","713","2020-11-13 14:17:33.521074"
"255901","1328","1568","729","2020-11-13 14:17:33.624973"
"255901","1152","1568","737","2020-11-13 14:17:33.674119"
"255901","1284","1568","745","2020-11-13 14:17:33.724477"
"255901","1364","1568","754","2020-11-13 14:17:33.775097"
"255901","1521","1568","759","2020-11-13 14:17:33.827563"
"255901","1162","1568","779","2020-11-13 14:17:33.960389"
"255901","1162","1568","782","2020-11-13 14:17:33.978970"
"255901","1119","1568","789","2020-11-13 14:17:34.027369"
"255901","1492","1568","790","2020-11-13 14:17:34.036750"
"255901","1206","1568","803","2020-11-13 14:17:34.111927"
"255901","1162","1568","814","2020-11-13 14:17:34.189000"
"255901","1489","1568","828","2020-11-13 14:17:34.289521"
"255901","1181","1568","836","2020-11-13 14:17:34.340661"
"255901","1179","1568","841","2020-11-13 14:17:34.364880"
"255901","1479","1568","853","2020-11-13 14:17:34.443692"
"255901","1203","1568","854","2020-11-13 14:17:34.454074"
"255901","1463","1568","865","2020-11-13 14:17:34.526120"
"255901","1335","1568","867","2020-11-13 14:17:34.536762"
