educationorganizationid,racedescriptorid,studentusi,createdate
"255901","1886","3","2020-11-13 14:17:28.513928"
"255901","1885","4","2020-11-13 14:17:28.513956"
"255901","1886","1","2020-11-13 14:17:28.516059"
"255901","1883","2","2020-11-13 14:17:28.516158"
"255901","1884","8","2020-11-13 14:17:28.548264"
"255901","1884","7","2020-11-13 14:17:28.548471"
"255901","1885","6","2020-11-13 14:17:28.549735"
"255901","1881","5","2020-11-13 14:17:28.551569"
"255901","1883","12","2020-11-13 14:17:28.577239"
"255901","1881","9","2020-11-13 14:17:28.578579"
"255901","1885","10","2020-11-13 14:17:28.579616"
"255901","1884","11","2020-11-13 14:17:28.586360"
"255901","1885","13","2020-11-13 14:17:28.600893"
"255901","1886","14","2020-11-13 14:17:28.605209"
"255901","1881","16","2020-11-13 14:17:28.607284"
"255901","1885","15","2020-11-13 14:17:28.610435"
"255901","1885","17","2020-11-13 14:17:28.625370"
"255901","1886","18","2020-11-13 14:17:28.626898"
"255901","1886","19","2020-11-13 14:17:28.629154"
"255901","1885","21","2020-11-13 14:17:28.652992"
"255901","1885","22","2020-11-13 14:17:28.653062"
"255901","1881","23","2020-11-13 14:17:28.654029"
"255901","1881","26","2020-11-13 14:17:28.673666"
"255901","1885","20","2020-11-13 14:17:28.673630"
"255901","1883","24","2020-11-13 14:17:28.673653"
"255901","1885","25","2020-11-13 14:17:28.677303"
"255901","1884","27","2020-11-13 14:17:28.700186"
"255901","1885","28","2020-11-13 14:17:28.702624"
"255901","1881","30","2020-11-13 14:17:28.704610"
"255901","1886","29","2020-11-13 14:17:28.711848"
"255901","1883","32","2020-11-13 14:17:28.724639"
"255901","1884","31","2020-11-13 14:17:28.724603"
"255901","1885","33","2020-11-13 14:17:28.728313"
"255901","1885","34","2020-11-13 14:17:28.739943"
"255901","1883","35","2020-11-13 14:17:28.745987"
"255901","1886","36","2020-11-13 14:17:28.748233"
"255901","1883","37","2020-11-13 14:17:28.757131"
"255901","1886","38","2020-11-13 14:17:28.768042"
"255901","1883","39","2020-11-13 14:17:28.772130"
