educationorganizationid,studentcharacteristicdescriptorid,studentusi,designatedby,createdate
"255901","2235","177",,"2020-11-13 14:17:29.994741"
"255901","2243","244",,"2020-11-13 14:17:30.432631"
"255901","2235","244",,"2020-11-13 14:17:30.433083"
"255901","2243","346",,"2020-11-13 14:17:31.120119"
"255901","2243","348",,"2020-11-13 14:17:31.128551"
"255901","2243","361",,"2020-11-13 14:17:31.215600"
"255901","2236","361",,"2020-11-13 14:17:31.216049"
"255901","2243","415",,"2020-11-13 14:17:31.579896"
"255901","2236","415",,"2020-11-13 14:17:31.580359"
"255901","2243","585",,"2020-11-13 14:17:32.689026"
"255901","2235","585",,"2020-11-13 14:17:32.689481"
"255901","2235","586",,"2020-11-13 14:17:32.704808"
"255901","2243","677",,"2020-11-13 14:17:33.296438"
"255901","2234","677",,"2020-11-13 14:17:33.297354"
"255901","2235","722",,"2020-11-13 14:17:33.572912"
"255901","2235","732",,"2020-11-13 14:17:33.648708"
"255901","2236","899",,"2020-11-13 14:17:34.748160"
"255901","2235","181",,"2020-11-13 14:17:29.994553"
"255901","2243","259",,"2020-11-13 14:17:30.540159"
"255901","2235","259",,"2020-11-13 14:17:30.540693"
"255901","2243","382",,"2020-11-13 14:17:31.357775"
"255901","2236","382",,"2020-11-13 14:17:31.358248"
"255901","2243","444",,"2020-11-13 14:17:31.767720"
"255901","2243","457",,"2020-11-13 14:17:31.849267"
"255901","2243","616",,"2020-11-13 14:17:32.888981"
"255901","2231","616",,"2020-11-13 14:17:32.889769"
"255901","2243","716",,"2020-11-13 14:17:33.551621"
"255901","2235","716",,"2020-11-13 14:17:33.552134"
"255901","2243","180",,"2020-11-13 14:17:29.994577"
"255901","2235","180",,"2020-11-13 14:17:29.995352"
"255901","2235","271",,"2020-11-13 14:17:30.624894"
"255901","2236","350",,"2020-11-13 14:17:31.146736"
"255901","2243","409",,"2020-11-13 14:17:31.539928"
"255901","2236","409",,"2020-11-13 14:17:31.540628"
"255901","2236","471",,"2020-11-13 14:17:31.946002"
"255901","2243","552",,"2020-11-13 14:17:32.509199"
"255901","2231","552",,"2020-11-13 14:17:32.509769"
"255901","2235","552",,"2020-11-13 14:17:32.509784"
"255901","2243","572",,"2020-11-13 14:17:32.603718"
"255901","2235","572",,"2020-11-13 14:17:32.604235"
"255901","2243","751",,"2020-11-13 14:17:33.773635"
"255901","2235","751",,"2020-11-13 14:17:33.774077"
"255901","2239","751",,"2020-11-13 14:17:33.774089"
"255901","2243","757",,"2020-11-13 14:17:33.805315"
"255901","2235","757",,"2020-11-13 14:17:33.805830"
"255901","2243","852",,"2020-11-13 14:17:34.439884"
"255901","2243","942",,"2020-11-13 14:17:35.019220"
"255901","2236","942",,"2020-11-13 14:17:35.019608"
"255901","2236","949",,"2020-11-13 14:17:35.061967"
