begindate,dateassigned,gradebookentrytitle,localcoursecode,schoolid,schoolyear,sectionidentifier,sessionname,studentusi,datefulfilled,lettergradeearned,numericgradeearned,competencyleveldescriptorid,diagnosticstatement,discriminator,createdate,lastmodifieddate,id,changeversion
"2010-08-23","2010-08-26","Assignment 2","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,,"48.00",,,"NULL","2020-11-13 14:21:12.511960","2020-11-13 14:21:12.510641","a2fa3e7c-3ae4-4cb7-82da-f3daab6c4887","88099"
"2010-08-23","2010-08-23","Assignment 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,,"74.00",,,"NULL","2020-11-13 14:21:12.512531","2020-11-13 14:21:12.510652","f3cd2c0f-71ac-4769-86da-bd593a7edb55","88100"
"2010-08-23","2010-09-07","Quiz 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,,"64.00",,,"NULL","2020-11-13 14:21:12.512647","2020-11-13 14:21:12.510665","f132486d-e233-4ff1-91bb-089c8f565269","88101"
"2010-08-23","2010-09-01","Assignment 3","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,,"71.00",,,"NULL","2020-11-13 14:21:12.513068","2020-11-13 14:21:12.510660","880b2d90-a37f-4b50-85fc-e4f6529bdeff","88102"
"2010-08-23","2010-09-10","Assignment 4","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,,"72.00",,,"NULL","2020-11-13 14:21:12.525859","2020-11-13 14:21:12.525810","07ff903f-caa2-4c61-8348-f64532b50726","88103"
"2010-08-23","2010-09-21","Assignment 6","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,,"50.00",,,"NULL","2020-11-13 14:21:12.525822","2020-11-13 14:21:12.525743","1976996f-986c-445c-b4f6-804e4662d386","88104"
"2010-08-23","2010-09-15","Assignment 5","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,,"49.00",,,"NULL","2020-11-13 14:21:12.525811","2020-11-13 14:21:12.525719","ca4f7f62-694c-460c-a8ec-8b40c07bd6a4","88105"
"2010-08-23","2010-09-29","Unit 1 Test","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,,"54.00",,,"NULL","2020-11-13 14:21:12.538674","2020-11-13 14:21:12.538597","dd96fd6a-6708-46e1-beed-3947f993cfca","88106"
"2010-08-23","2010-09-30","Assignment 7","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","2",,,"69.00",,,"NULL","2020-11-13 14:21:12.540671","2020-11-13 14:21:12.540489","e7d2af80-a9e3-4298-875b-4829a4f9d34b","88107"
"2010-08-23","2010-08-23","Assignment 1","ALG-1","255901001","2011","25590100102Trad220ALG112011","2010-2011 Fall Semester","27",,,"62.00",,,"NULL","2020-11-13 14:21:12.540736","2020-11-13 14:21:12.539748","b9be1a69-108d-49b2-91fb-a34de8e1fd5d","88108"
