begindate,educationorganizationid,programeducationorganizationid,programname,programtypedescriptorid,studentusi,homelessprimarynighttimeresidencedescriptorid,awaitingfostercare,homelessunaccompaniedyouth
"2010-08-30","255901","255901","Homeless","1814","176",,,
"2010-08-30","255901","255901","Homeless","1814","310",,,
"2010-08-30","255901","255901","Homeless","1814","267",,,
"2010-08-30","255901","255901","Homeless","1814","178",,,
"2010-08-30","255901","255901","Homeless","1814","552",,,
"2010-08-30","255901","255901","Homeless","1814","639",,,
"2010-08-30","255901","255901","Homeless","1814","616",,,
"2010-08-30","255901","255901","Homeless","1814","577",,,
"2010-08-30","255901","255901","Homeless","1814","731",,,
"2010-08-30","255901","255901","Homeless","1814","884",,,
"2010-08-30","255901","255901","Homeless","1814","861",,,
